date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c2h6sfire,other_dms
2018-07-27,3.130000e+01,-9.770000e+01,2.918209e+03,9.318224e+02,5.623462e-10,2.127005e-11,3.030729e-11,1.814250e-11,4.560177e-11,8.879542e-09,1.341095e-11,1.562799e-13,7.195093e-13,7.333879e-12,3.296249e-12,2.243010e-13,1.977474e-13,4.366515e-12,2.943746e-12,1.270219e-12,5.740091e-12,4.347868e-12,4.180666e-12,3.180208e-12,1.431737e-12,2.592464e-12,1.291973e-13,1.507213e-12,5.705993e-13,8.302371e-13,5.176773e-14,2.280266e-13,1.331931e-13,6.339993e-13,1.694216e-13,2.516977e-11,1.164641e-12,1.270219e-12,2.760463e-11,1.213734e-11,1.452604e-12,2.943746e-12,1.653369e-11,2.243010e-13,2.243010e-13,2.592464e-12,5.798252e-12,1.291973e-13,8.519912e-12,1.008796e-11,4.180666e-12,1.356723e-11,2.783585e-11,1.977474e-13,1.977474e-13,5.623462e-10,1.814250e-11,4.560177e-11,3.030729e-11,2.918209e+03,9.318224e+02,8.879542e-09,3.850032e+03,,
2018-07-27,3.150000e+01,-9.870000e+01,,,1.874487e-10,8.508022e-12,1.010243e-11,9.071251e-12,2.280089e-11,3.551816e-09,5.029106e-12,6.251197e-14,2.398364e-13,3.143091e-12,1.098750e-12,,,1.746606e-12,1.261605e-12,5.080873e-13,1.913364e-12,1.739147e-12,1.791714e-12,1.272083e-12,7.158686e-13,1.036986e-12,4.306577e-14,5.024044e-13,2.445426e-13,3.320948e-13,1.882463e-14,1.140133e-13,6.659656e-14,2.717140e-13,8.471082e-14,1.001994e-11,5.370347e-13,5.080873e-13,1.106506e-11,4.744245e-12,5.954620e-13,1.261605e-12,6.601312e-12,,,1.036986e-12,2.462474e-12,4.306577e-14,3.542526e-12,3.652511e-12,1.791714e-12,5.091618e-12,1.053584e-11,,,1.874487e-10,9.071251e-12,2.280089e-11,1.010243e-11,,,3.551816e-09,3.781240e-09,,
2018-07-27,3.150000e+01,-1.093000e+02,2.499557e+02,3.000165e+02,1.218417e-09,4.254010e-11,6.566581e-11,4.233250e-11,1.026040e-10,1.953499e-08,2.849826e-11,3.438159e-13,1.678855e-12,1.676315e-11,6.592497e-12,4.486019e-13,1.977474e-13,9.606331e-12,6.308026e-12,2.540437e-12,1.339354e-11,9.565308e-12,9.555808e-12,6.360415e-12,3.579343e-12,5.703421e-12,3.014604e-13,3.265629e-12,1.222713e-12,1.743498e-12,1.129478e-13,4.560532e-13,2.663863e-13,1.449141e-12,3.953172e-13,5.057937e-11,2.566898e-12,2.540437e-12,5.568671e-11,2.662128e-11,3.079158e-12,6.308026e-12,3.600846e-11,4.486019e-13,4.486019e-13,5.703421e-12,1.318567e-11,3.014604e-13,1.919056e-11,2.295885e-11,9.555808e-12,2.884208e-11,6.135674e-11,1.977474e-13,1.977474e-13,1.218417e-09,4.233250e-11,1.026040e-10,6.566581e-11,2.499557e+02,3.000165e+02,1.953499e-08,5.499722e+02,,
2018-07-27,3.170000e+01,-9.870000e+01,,,9.372436e-10,3.403209e-11,5.051216e-11,3.023750e-11,6.840266e-11,1.420727e-08,2.179279e-11,2.500479e-13,1.199182e-12,1.257237e-11,4.944373e-12,4.486019e-13,1.977474e-13,6.986423e-12,4.625886e-12,2.032349e-12,9.566818e-12,6.956588e-12,7.166855e-12,4.452291e-12,2.505540e-12,4.147942e-12,2.153289e-13,2.260820e-12,8.966561e-13,1.328379e-12,8.471082e-14,3.420399e-13,1.997897e-13,1.041570e-12,2.823694e-13,3.968356e-11,1.865769e-12,2.032349e-12,4.358168e-11,1.977756e-11,2.309746e-12,4.625886e-12,2.671319e-11,4.486019e-13,4.486019e-13,4.147942e-12,9.491964e-12,2.153289e-13,1.385523e-11,1.652341e-11,7.166855e-12,2.204284e-11,4.573310e-11,1.977474e-13,1.977474e-13,9.372436e-10,3.023750e-11,6.840266e-11,5.051216e-11,,,1.420727e-08,1.529366e-08,,
2018-07-27,3.310000e+01,-1.169000e+02,,,4.779942e-09,1.744144e-10,2.626632e-10,1.632825e-10,3.876151e-10,7.725201e-08,1.139931e-10,1.359635e-12,6.715419e-12,6.495722e-11,2.636999e-11,2.018709e-12,1.186484e-12,3.667872e-11,2.481157e-11,1.016175e-11,5.548754e-11,3.826123e-11,3.762599e-11,2.480562e-11,1.360150e-11,2.125821e-11,1.162776e-12,1.256011e-11,4.809337e-12,6.973992e-12,4.423787e-13,2.052240e-12,1.198738e-12,5.615422e-12,1.496558e-12,2.059355e-10,1.036296e-11,1.016175e-11,2.264602e-10,1.038873e-10,1.222571e-11,2.481157e-11,1.409246e-10,2.018709e-12,2.018709e-12,2.125821e-11,5.028022e-11,1.162776e-12,7.270121e-11,9.374877e-11,3.762599e-11,1.153527e-10,2.467275e-10,1.186484e-12,1.186484e-12,4.779942e-09,1.632825e-10,3.876151e-10,2.626632e-10,,,7.725201e-08,8.284559e-08,7.201308e-14,7.201308e-14
2018-07-27,3.350000e+01,-1.109000e+02,,,2.811731e-10,1.276203e-11,2.020486e-11,1.209500e-11,2.280089e-11,5.327725e-09,8.381843e-12,9.376796e-14,4.796728e-13,4.190788e-12,1.648124e-12,2.243010e-13,,2.619909e-12,1.682140e-12,7.621310e-13,3.826727e-12,2.608721e-12,2.388952e-12,1.908125e-12,1.073803e-12,1.555478e-12,8.613155e-14,7.536066e-13,3.260568e-13,4.981423e-13,2.823694e-14,1.140133e-13,6.659656e-14,3.622853e-13,1.129478e-13,1.514983e-11,6.558429e-13,7.621310e-13,1.656781e-11,6.592519e-12,8.524360e-13,1.682140e-12,9.127096e-12,2.243010e-13,2.243010e-13,1.555478e-12,3.693712e-12,8.613155e-14,5.335322e-12,6.435448e-12,2.388952e-12,8.475611e-12,1.730001e-11,,,2.811731e-10,1.209500e-11,2.280089e-11,2.020486e-11,,,5.327725e-09,5.663999e-09,,
2018-07-27,3.350000e+01,-1.165000e+02,1.300026e+03,5.500155e+02,5.623462e-10,2.127005e-11,3.030729e-11,2.116625e-11,4.560177e-11,9.767495e-09,1.341095e-11,1.719079e-13,7.195093e-13,8.381577e-12,3.296249e-12,2.243010e-13,1.977474e-13,4.366515e-12,2.943746e-12,1.270218e-12,7.653454e-12,4.347868e-12,4.777903e-12,3.180208e-12,1.789671e-12,2.592464e-12,1.291973e-13,1.507213e-12,5.705993e-13,8.302371e-13,5.647388e-14,2.280266e-13,1.331931e-13,6.792849e-13,1.976586e-13,2.516977e-11,1.238163e-12,1.270218e-12,2.767815e-11,1.318504e-11,1.457310e-12,2.943746e-12,1.758610e-11,2.243010e-13,2.243010e-13,2.592464e-12,6.156186e-12,1.291973e-13,8.877847e-12,1.200132e-11,4.777903e-12,1.358286e-11,3.036208e-11,1.977474e-13,1.977474e-13,5.623462e-10,2.116625e-11,4.560177e-11,3.030729e-11,1.300026e+03,5.500155e+02,9.767495e-09,1.850042e+03,,
2018-07-27,3.370000e+01,-1.167000e+02,1.244678e+03,1.846601e+03,8.416447e-08,3.067141e-09,4.667323e-09,2.908847e-09,6.760463e-09,1.369225e-06,2.013319e-09,2.409837e-11,1.184792e-10,1.150371e-09,4.653204e-10,3.521525e-11,1.997249e-11,6.418777e-10,4.352537e-10,1.816412e-10,9.700752e-10,6.808761e-10,6.611424e-10,4.420488e-10,2.423215e-10,3.800552e-10,2.054237e-11,2.203044e-10,8.436718e-11,1.226260e-10,7.802809e-12,3.523011e-11,2.077813e-11,9.913032e-11,2.671215e-11,3.627669e-09,1.818507e-10,1.816412e-10,3.991161e-09,1.835996e-09,2.147960e-10,4.352537e-10,2.486046e-09,3.521525e-11,3.521525e-11,3.800552e-10,8.841992e-10,2.054237e-11,1.284797e-09,1.650951e-09,6.611424e-10,2.037417e-09,4.349511e-09,1.997249e-11,1.997249e-11,8.416447e-08,2.908847e-09,6.760463e-09,4.667323e-09,1.244678e+03,1.846601e+03,1.369225e-06,3.091279e+03,1.512275e-12,1.512275e-12
2018-07-27,3.390000e+01,-1.111000e+02,,,4.686218e-10,1.701604e-11,2.525608e-11,1.511875e-11,3.420133e-11,7.103633e-09,1.173458e-11,1.250239e-13,7.195093e-13,6.286183e-12,2.746874e-12,2.243010e-13,1.977474e-13,3.493212e-12,2.523210e-12,1.016175e-12,5.740091e-12,3.478294e-12,3.583428e-12,2.544166e-12,1.431737e-12,2.073971e-12,1.291973e-13,1.256011e-12,4.890851e-13,6.641897e-13,4.235541e-14,2.280266e-13,1.331931e-13,5.434279e-13,1.411847e-13,2.027972e-11,1.045832e-12,1.016175e-12,2.234173e-11,1.028907e-11,1.195630e-12,2.523210e-12,1.400791e-11,2.243010e-13,2.243010e-13,2.073971e-12,4.924949e-12,1.291973e-13,7.128118e-12,9.218385e-12,3.583428e-12,1.185960e-11,2.466142e-11,1.977474e-13,1.977474e-13,4.686218e-10,1.511875e-11,3.420133e-11,2.525608e-11,,,7.103633e-09,7.646831e-09,,
2018-07-27,3.390000e+01,-1.061000e+02,,,1.312141e-09,5.955615e-11,7.071702e-11,4.233250e-11,1.596062e-10,1.243136e-08,2.346916e-11,2.187919e-13,3.357710e-12,1.466776e-11,7.141873e-12,1.345806e-12,2.768463e-12,1.222624e-11,5.887491e-12,3.556611e-12,2.678709e-11,1.217403e-11,8.361332e-12,8.904582e-12,5.011081e-12,6.221914e-12,6.029209e-13,3.516831e-12,1.141199e-12,1.162332e-12,6.588619e-14,1.596186e-12,9.323519e-13,6.339993e-13,3.953172e-13,7.181845e-11,3.557855e-12,3.556611e-12,7.893292e-11,2.532646e-11,2.369417e-12,5.887491e-12,3.358337e-11,1.345806e-12,1.345806e-12,6.221914e-12,1.723732e-11,6.029209e-13,2.406216e-11,3.896112e-11,8.361332e-12,2.368795e-11,7.101041e-11,2.768463e-12,2.768463e-12,1.312141e-09,4.233250e-11,1.596062e-10,7.071702e-11,,,1.243136e-08,1.401716e-08,1.008183e-12,1.008183e-12
