date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms
2018-07-31,3.110000e+01,-9.770000e+01,2.850008e+03,8.249788e+02,1.874487e-10,8.508022e-12,1.010243e-11,6.047501e-12,1.140044e-11,2.663862e-09,5.029106e-12,4.688398e-14,2.398364e-13,2.095394e-12,1.098750e-12,1.746606e-12,8.410702e-13,5.080874e-13,1.913364e-12,1.739147e-12,1.194476e-12,6.360416e-13,3.579343e-13,1.036986e-12,4.306577e-14,5.024044e-13,1.630284e-13,2.490711e-13,1.882463e-14,1.140133e-13,6.659656e-14,2.264283e-13,5.647388e-14,9.383901e-12,4.635120e-13,5.080874e-13,1.035550e-11,3.696548e-12,4.309241e-13,8.410702e-13,4.968543e-12,1.036986e-12,2.104540e-12,4.306577e-14,3.184591e-12,3.652511e-12,1.194476e-12,5.075990e-12,9.922977e-12,1.874487e-10,6.047501e-12,1.140044e-11,1.010243e-11,2.850008e+03,8.249788e+02,2.663862e-09,3.674986e+03,,,,,,,,
2018-07-31,3.210000e+01,-1.007000e+02,,,2.249385e-09,8.082620e-11,1.212292e-10,7.559375e-11,1.824071e-10,3.640612e-08,5.364379e-11,6.407477e-13,3.117873e-12,3.038322e-11,1.208625e-11,1.659275e-11,1.135445e-11,4.826830e-12,2.487373e-11,1.826104e-11,1.731990e-11,1.144875e-11,6.442818e-12,9.851363e-12,5.598551e-13,5.777651e-12,2.200883e-12,3.237925e-12,2.070709e-13,9.121064e-13,5.327725e-13,2.626568e-12,7.059235e-13,9.539282e-11,4.777371e-12,4.826830e-12,1.049970e-10,4.824711e-11,5.645879e-12,1.135445e-11,6.524744e-11,9.851363e-12,2.303557e-11,5.598551e-13,3.344679e-11,4.313477e-11,1.731990e-11,5.428454e-11,1.147392e-10,2.249385e-09,7.559375e-11,1.824071e-10,1.212292e-10,,,3.640612e-08,3.903481e-08,8.972039e-13,5.932421e-13,7.201308e-14,8.972039e-13,8.972039e-13,5.932421e-13,5.932421e-13,7.201308e-14
2018-07-31,3.230000e+01,-1.019000e+02,,,8.435192e-10,2.977808e-11,4.546094e-11,2.721375e-11,6.840266e-11,1.331931e-08,1.844006e-11,2.344199e-13,1.199182e-12,1.047697e-11,4.394999e-12,6.113120e-12,4.205351e-12,1.778306e-12,9.566818e-12,6.087014e-12,5.972379e-12,4.452291e-12,2.147606e-12,3.629450e-12,2.153289e-13,2.009618e-12,8.151419e-13,1.162332e-12,7.529851e-14,3.420399e-13,1.997897e-13,9.509988e-13,2.541325e-13,3.542955e-11,1.746961e-12,1.778306e-12,3.895482e-11,1.688159e-11,2.052772e-12,4.205351e-12,2.313971e-11,3.629450e-12,8.260725e-12,2.153289e-13,1.210550e-11,1.565383e-11,5.972379e-12,1.867448e-11,4.030069e-11,8.435192e-10,2.721375e-11,6.840266e-11,4.546094e-11,,,1.331931e-08,1.430391e-08,2.243010e-13,1.977474e-13,,2.243010e-13,2.243010e-13,1.977474e-13,1.977474e-13,
2018-07-31,3.290000e+01,-9.490001e+01,,,3.748974e-10,1.701604e-11,2.020486e-11,1.209500e-11,4.560177e-11,3.551816e-09,6.705474e-12,6.251197e-14,9.593457e-13,4.190788e-12,2.197499e-12,3.493212e-12,1.682140e-12,1.016175e-12,7.653454e-12,3.478294e-12,2.388952e-12,2.544166e-12,1.431737e-12,2.073971e-12,1.722631e-13,1.004809e-12,3.260568e-13,3.320948e-13,1.882463e-14,4.560532e-13,2.663863e-13,1.811426e-13,1.129478e-13,2.051955e-11,1.016530e-12,1.016175e-12,2.255226e-11,7.393097e-12,6.769762e-13,1.682140e-12,9.752213e-12,2.073971e-12,4.924949e-12,1.722631e-13,7.171183e-12,1.113175e-11,2.388952e-12,6.767986e-12,2.028869e-11,3.748974e-10,1.209500e-11,4.560177e-11,2.020486e-11,,,3.551816e-09,4.004904e-09,4.486019e-13,7.909896e-13,2.880523e-13,4.486019e-13,4.486019e-13,7.909896e-13,7.909896e-13,2.880523e-13
2018-07-31,3.330000e+01,-9.470000e+01,,,1.499590e-09,5.530214e-11,8.081946e-11,5.140375e-11,1.140044e-10,2.397476e-08,3.520374e-11,4.219558e-13,2.158528e-12,1.990625e-11,8.240623e-12,1.135294e-11,7.569632e-12,3.302568e-12,1.722027e-11,1.217403e-11,1.194476e-11,7.632499e-12,4.295212e-12,6.740406e-12,3.445262e-13,4.019235e-12,1.467255e-12,2.158616e-12,1.364785e-13,5.700666e-13,3.329828e-13,1.766141e-12,4.800280e-13,6.509317e-11,3.149218e-12,3.302568e-12,7.154495e-11,3.216610e-11,3.762350e-12,7.569632e-12,4.349809e-11,6.740406e-12,1.564815e-11,3.445262e-13,2.273308e-11,2.939430e-11,1.194476e-11,3.562569e-11,7.696475e-11,1.499590e-09,5.140375e-11,1.140044e-10,8.081946e-11,,,2.397476e-08,2.572058e-08,6.729029e-13,3.954948e-13,,6.729029e-13,6.729029e-13,3.954948e-13,3.954948e-13,
2018-07-31,3.350000e+01,-1.175000e+02,,,2.043191e-08,7.444518e-10,1.131472e-09,7.045338e-10,1.641664e-09,3.320949e-07,4.878233e-10,5.844869e-12,2.878037e-11,2.786874e-10,1.131712e-10,1.563212e-10,1.055543e-10,4.420360e-11,2.353437e-10,1.652190e-10,1.606570e-10,1.074910e-10,5.870122e-11,9.229172e-11,4.995630e-12,5.350607e-11,2.046006e-11,2.972249e-11,1.891875e-12,8.550998e-12,4.994742e-12,2.404669e-11,6.466259e-12,8.807232e-10,4.405869e-11,4.420360e-11,9.689856e-10,4.453647e-10,5.207442e-11,1.055543e-10,6.029934e-10,9.229172e-11,2.150224e-10,4.995630e-12,3.123098e-10,4.005627e-10,1.606570e-10,4.936682e-10,1.054888e-09,2.043191e-08,7.045338e-10,1.641664e-09,1.131472e-09,,,3.320949e-07,3.560048e-07,8.523436e-12,4.745937e-12,3.600654e-13,8.523436e-12,8.523436e-12,4.745937e-12,4.745937e-12,3.600654e-13
2018-07-31,3.370000e+01,-9.590001e+01,,,2.343109e-09,8.508021e-11,1.313316e-10,8.164126e-11,1.824071e-10,3.818203e-08,5.532017e-11,6.720037e-13,3.357710e-12,3.143091e-11,1.318500e-11,1.746606e-11,1.219552e-11,5.080874e-12,2.678709e-11,1.913062e-11,1.851438e-11,1.208479e-11,6.800752e-12,1.036986e-11,5.598551e-13,6.028853e-12,2.363911e-12,3.403972e-12,2.164832e-13,1.026120e-12,5.993690e-13,2.762425e-12,7.341605e-13,1.005227e-10,5.122075e-12,5.080874e-12,1.107257e-10,5.064476e-11,5.984367e-12,1.219552e-11,6.882465e-11,1.036986e-11,2.426681e-11,5.598551e-13,3.519652e-11,4.591771e-11,1.851438e-11,5.599217e-11,1.204243e-10,2.343109e-09,8.164126e-11,1.824071e-10,1.313316e-10,,,3.818203e-08,4.092059e-08,8.972039e-13,5.932421e-13,7.201308e-14,8.972039e-13,8.972039e-13,5.932421e-13,5.932421e-13,7.201308e-14
2018-07-31,3.430000e+01,-1.103000e+02,,,8.060295e-09,3.658449e-10,4.344046e-10,2.600425e-10,9.804381e-10,7.636405e-08,1.441677e-10,1.344007e-12,2.062593e-11,9.010195e-11,4.394999e-11,7.510405e-11,3.616602e-11,2.184776e-11,1.645493e-10,7.478332e-11,5.136246e-11,5.469957e-11,3.078235e-11,4.044244e-11,3.703657e-12,2.160339e-11,7.010220e-12,7.140039e-12,4.047295e-13,9.805145e-12,5.727304e-12,3.894567e-12,2.428377e-12,4.411704e-10,2.185539e-11,2.184776e-11,4.848736e-10,1.556553e-10,1.455499e-11,3.616602e-11,2.063763e-10,4.044244e-11,1.058864e-10,3.703657e-12,1.500325e-10,2.393326e-10,5.136246e-11,1.455117e-10,4.362068e-10,8.060295e-09,2.600425e-10,9.804381e-10,4.344046e-10,,,7.636405e-08,8.610542e-08,7.850534e-12,1.700627e-11,6.193125e-12,7.850534e-12,7.850534e-12,1.700627e-11,1.700627e-11,6.193125e-12
2018-07-31,3.450000e+01,-1.109000e+02,9.946930e+02,7.783431e+02,2.286875e-08,8.295321e-10,1.262804e-09,7.861751e-10,1.835471e-09,3.711648e-07,5.464961e-10,6.532501e-12,3.213808e-11,3.122138e-10,1.263562e-10,1.737873e-10,1.177498e-10,4.928447e-11,2.621308e-10,1.843496e-10,1.791714e-10,1.202118e-10,6.585991e-11,1.026616e-10,5.598552e-12,5.953493e-11,2.282397e-11,3.320948e-11,2.113064e-12,9.577118e-12,5.594111e-12,2.685440e-11,7.228657e-12,9.818819e-10,4.925428e-11,4.928447e-11,1.080421e-09,4.981049e-10,5.814652e-11,1.177498e-10,6.740013e-10,1.026616e-10,2.396472e-10,5.598552e-12,3.479073e-10,4.464804e-10,1.791714e-10,5.530286e-10,1.178680e-09,2.286875e-08,7.861751e-10,1.835471e-09,1.262804e-09,9.946930e+02,7.783431e+02,3.711648e-07,1.773036e+03,9.644941e-12,5.339179e-12,3.600654e-13,9.644941e-12,9.644941e-12,5.339179e-12,5.339179e-12,3.600654e-13
2018-07-31,3.490000e+01,-1.115000e+02,,,3.936423e-09,1.786684e-10,2.121511e-10,1.269975e-10,4.788186e-10,3.729407e-08,7.040748e-11,6.563757e-13,1.007313e-11,4.400328e-11,2.142562e-11,3.667872e-11,1.766247e-11,1.066983e-11,8.036127e-11,3.652209e-11,2.508399e-11,2.671374e-11,1.503324e-11,2.022122e-11,1.808763e-12,1.055049e-11,3.423596e-12,3.486996e-12,1.976586e-13,4.788559e-12,2.797056e-12,1.901998e-12,1.185952e-12,2.154553e-10,1.067356e-11,1.066983e-11,2.367987e-10,7.597939e-11,7.108251e-12,1.766247e-11,1.007501e-10,2.022122e-11,5.171196e-11,1.808763e-12,7.374194e-11,1.168834e-10,2.508399e-11,7.106386e-11,2.130312e-10,3.936423e-09,1.269975e-10,4.788186e-10,2.121511e-10,,,3.729407e-08,4.205149e-08,3.813116e-12,8.305390e-12,3.024549e-12,3.813116e-12,3.813116e-12,8.305390e-12,8.305390e-12,3.024549e-12
2018-07-31,3.550000e+01,-9.970000e+01,,,2.811731e-10,1.276203e-11,1.515365e-11,9.071251e-12,2.280089e-11,4.439771e-09,6.705474e-12,7.813996e-14,4.796728e-13,4.190788e-12,1.648124e-12,2.619909e-12,1.682140e-12,7.621310e-13,3.826727e-12,2.608721e-12,2.388952e-12,1.272083e-12,7.158686e-13,1.555478e-12,8.613155e-14,7.536066e-13,3.260568e-13,4.151185e-13,2.823694e-14,1.140133e-13,6.659656e-14,3.622853e-13,8.471082e-14,1.451379e-11,6.276060e-13,7.621310e-13,1.590353e-11,6.592519e-12,7.694123e-13,1.682140e-12,9.044072e-12,1.555478e-12,3.335777e-12,8.613155e-14,4.977387e-12,6.435448e-12,2.388952e-12,6.783614e-12,1.560801e-11,2.811731e-10,9.071251e-12,2.280089e-11,1.515365e-11,,,4.439771e-09,4.767970e-09,2.243010e-13,,,2.243010e-13,2.243010e-13,,,
2018-07-31,3.550000e+01,-1.117000e+02,1.436662e+03,5.242947e+02,2.624282e-09,1.191123e-10,1.414340e-10,8.466501e-11,3.192124e-10,2.486272e-08,4.693832e-11,4.375838e-13,6.715419e-12,2.933552e-11,1.428375e-11,2.445248e-11,1.177498e-11,7.113222e-12,5.357418e-11,2.434805e-11,1.672266e-11,1.780916e-11,1.002216e-11,1.348081e-11,1.205842e-12,7.033662e-12,2.282397e-12,2.324664e-12,1.317724e-13,3.192373e-12,1.864704e-12,1.267999e-12,7.906344e-13,1.436369e-10,7.115709e-12,7.113222e-12,1.578658e-10,5.065292e-11,4.738833e-12,1.177498e-11,6.716674e-11,1.348081e-11,3.447464e-11,1.205842e-12,4.916130e-11,7.792224e-11,1.672266e-11,4.737591e-11,1.420208e-10,2.624282e-09,8.466501e-11,3.192124e-10,1.414340e-10,1.436662e+03,5.242947e+02,2.486272e-08,1.960957e+03,2.467311e-12,5.536927e-12,2.016366e-12,2.467311e-12,2.467311e-12,5.536927e-12,5.536927e-12,2.016366e-12
