date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,c2h6sfire,c4h10fire,terpenes_monoterpenes,terpenes_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-01,3.130000e+01,-9.609999e+01,1.301025e-10,1.118575e-11,1.051769e-11,2.098694e-12,7.912706e-12,1.232605e-09,4.549588e-12,2.169384e-14,1.867339e-13,1.454350e-12,6.058947e-13,4.947542e-13,8.496867e-13,2.918808e-13,5.289724e-13,2.656017e-12,3.017725e-12,1.243575e-12,1.324372e-12,2.778511e-13,5.718355e-13,8.967200e-14,1.743519e-13,5.657656e-14,5.762427e-14,3.266403e-15,4.622268e-14,2.828828e-13,7.839366e-14,1.269685e-11,4.074991e-13,5.289724e-13,1.363333e-11,2.234597e-12,1.174672e-13,2.918808e-13,2.643945e-12,4.947542e-13,4.947542e-13,5.718355e-13,1.127538e-12,8.967200e-14,1.789045e-12,5.673742e-12,1.243575e-12,4.571282e-12,1.148860e-11,1.301025e-10,2.098694e-12,7.912706e-12,1.051769e-11,1.232605e-09,1.383236e-09,,,,,,,,,,
2018-08-01,3.170000e+01,-1.019000e+02,1.496179e-09,5.592874e-11,8.414155e-11,5.246736e-11,1.266033e-10,2.465210e-08,3.639671e-11,4.338769e-13,2.240807e-12,2.108808e-11,8.482526e-12,7.421314e-13,1.189561e-11,7.880782e-12,3.350158e-12,1.726411e-11,1.207090e-11,1.202123e-11,7.946233e-12,4.445618e-12,6.862027e-12,3.586880e-13,4.010095e-12,1.527567e-12,2.247347e-12,1.404553e-13,3.697814e-13,1.791591e-12,4.899604e-13,6.611578e-11,3.284399e-12,3.350158e-12,7.275034e-11,3.358070e-11,3.915369e-12,7.880782e-12,4.537685e-11,7.421314e-13,7.421314e-13,6.862027e-12,1.634123e-11,3.586880e-13,2.356195e-11,2.933501e-11,1.202123e-11,3.683058e-11,7.818681e-11,1.496179e-09,5.246736e-11,1.266033e-10,8.414155e-11,2.465210e-08,2.641154e-08,4.117516e-13,4.998212e-14,6.330658e-13,4.117516e-13,4.117516e-13,4.998212e-14,,,,
2018-08-01,3.170000e+01,-1.017000e+02,4.878845e-09,1.789720e-10,2.699541e-10,1.699943e-10,3.956353e-10,7.950301e-08,1.167728e-10,1.399253e-12,6.909154e-12,6.690012e-11,2.726526e-11,1.979017e-12,3.738622e-11,2.539363e-11,1.057945e-11,5.577635e-11,3.923042e-11,3.855083e-11,2.560453e-11,1.417041e-11,2.230159e-11,1.195627e-12,1.272769e-11,4.922161e-12,7.145410e-12,4.540300e-13,1.201790e-12,5.751950e-12,1.548275e-12,2.114857e-10,1.055948e-11,1.057945e-11,2.326246e-10,1.068931e-10,1.252160e-11,2.539363e-11,1.448083e-10,1.979017e-12,1.979017e-12,2.230159e-11,5.155662e-11,1.195627e-12,7.505384e-11,9.500677e-11,3.855083e-11,1.181720e-10,2.517296e-10,4.878845e-09,1.699943e-10,3.956353e-10,2.699541e-10,7.950301e-08,8.521754e-08,1.098004e-12,9.996425e-14,2.057464e-12,1.098004e-12,1.098004e-12,9.996425e-14,,,,
2018-08-01,3.170000e+01,-9.690001e+01,9.757691e-10,3.728583e-11,5.258847e-11,3.357911e-11,7.912707e-11,1.602386e-08,2.274794e-11,2.820200e-13,1.307137e-12,1.308915e-11,5.453053e-12,4.947542e-13,7.647180e-12,4.961974e-12,2.115889e-12,1.062407e-11,7.846084e-12,7.461450e-12,5.297489e-12,2.778511e-12,4.574684e-12,2.391253e-13,2.615279e-12,9.618015e-13,1.440607e-12,9.145928e-14,2.311134e-13,1.131531e-12,3.135747e-13,4.389046e-11,2.071885e-12,2.115889e-12,4.807823e-11,2.115749e-11,2.493868e-12,4.961974e-12,2.861333e-11,4.947542e-13,4.947542e-13,4.574684e-12,1.042569e-11,2.391253e-13,1.523950e-11,1.847015e-11,7.461450e-12,2.302996e-11,4.896156e-11,9.757691e-10,3.357911e-11,7.912707e-11,5.258847e-11,1.602386e-08,7.999918e+02,2.745011e-13,,3.956661e-13,2.745011e-13,2.745011e-13,,3.499878e+02,4.500040e+02,3.499878e+02,4.500040e+02
2018-08-01,3.190000e+01,-1.019000e+02,2.602051e-10,1.118575e-11,1.402359e-11,8.394778e-12,2.373812e-11,4.314117e-09,6.066118e-12,7.592845e-14,3.734678e-13,3.635876e-12,1.211789e-12,,1.699373e-12,1.459404e-12,5.289724e-13,2.656017e-12,2.414180e-12,2.072625e-12,1.324372e-12,8.335534e-13,1.143671e-12,5.978134e-14,6.974078e-13,2.828828e-13,4.033699e-13,2.286482e-14,4.622268e-14,3.143142e-13,7.839366e-14,1.288359e-11,5.180638e-13,5.289724e-13,1.393062e-11,5.545074e-12,7.091175e-13,1.459404e-12,7.713595e-12,,,1.143671e-12,2.532927e-12,5.978134e-14,3.736379e-12,5.070197e-12,2.072625e-12,6.142046e-12,1.328487e-11,2.602051e-10,8.394778e-12,2.373812e-11,1.402359e-11,4.314117e-09,4.620478e-09,,,7.913323e-14,,,,,,,
2018-08-01,3.210000e+01,-1.007000e+02,1.170923e-09,4.101441e-11,6.310616e-11,3.987520e-11,9.495248e-11,1.910538e-08,2.729753e-11,3.362546e-13,1.680605e-12,1.599785e-11,6.664842e-12,4.947542e-13,8.496867e-12,6.129497e-12,2.468538e-12,1.328008e-11,9.656719e-12,9.119550e-12,6.180404e-12,3.334214e-12,5.146520e-12,2.690160e-13,2.963983e-12,1.188108e-12,1.671104e-12,1.077913e-13,2.773361e-13,1.382983e-12,3.723699e-13,4.887542e-11,2.507488e-12,2.468538e-12,5.385144e-11,2.562668e-11,2.967003e-12,6.129497e-12,3.472318e-11,4.947542e-13,4.947542e-13,5.146520e-12,1.183108e-11,2.690160e-13,1.724662e-11,2.293680e-11,9.119550e-12,2.763378e-11,5.969014e-11,1.170923e-09,3.987520e-11,9.495248e-11,6.310616e-11,1.910538e-08,2.047423e-08,2.745011e-13,,4.747993e-13,2.745011e-13,2.745011e-13,,,,,
2018-08-01,3.210000e+01,-9.690001e+01,5.204102e-10,1.864292e-11,2.804718e-11,1.678956e-11,3.956353e-11,8.011932e-09,1.213224e-11,1.410100e-13,7.469356e-13,7.271752e-12,3.029474e-12,2.473771e-13,4.248434e-12,2.626927e-12,1.057945e-12,5.312034e-12,4.224815e-12,4.145250e-12,2.648745e-12,1.389256e-12,2.287342e-12,1.195627e-13,1.394816e-12,5.091890e-13,7.491156e-13,4.572964e-14,1.386680e-13,5.971970e-13,1.567873e-13,2.203859e-11,1.130052e-12,1.057945e-12,2.422659e-11,1.169604e-11,1.304034e-12,2.626927e-12,1.562700e-11,2.473771e-13,2.473771e-13,2.287342e-12,5.637689e-12,1.195627e-13,8.044594e-12,9.536849e-12,4.145250e-12,1.227324e-11,2.595534e-11,5.204102e-10,1.678956e-11,3.956353e-11,2.804718e-11,8.011932e-09,8.616742e-09,1.372505e-13,,2.373997e-13,1.372505e-13,1.372505e-13,,,,,
2018-08-01,3.230000e+01,-1.019000e+02,4.033179e-09,1.491433e-10,2.243775e-10,1.406125e-10,3.244210e-10,6.594436e-08,9.705788e-11,1.160621e-12,5.788751e-12,5.526532e-11,2.241811e-11,1.731640e-12,3.143841e-11,2.101542e-11,8.816206e-12,4.648030e-11,3.259143e-11,3.191843e-11,2.118996e-11,1.166975e-11,1.829874e-11,9.863920e-13,1.063547e-11,4.073512e-12,5.935300e-12,3.756363e-13,1.016899e-12,4.777576e-12,1.293495e-12,1.761220e-10,8.828902e-12,8.816206e-12,1.937671e-10,8.831889e-11,1.038445e-11,2.101542e-11,1.197188e-10,1.731640e-12,1.731640e-12,1.829874e-11,4.310816e-11,9.863920e-13,6.239328e-11,7.907172e-11,3.191843e-11,9.821850e-11,2.092087e-10,4.033179e-09,1.406125e-10,3.244210e-10,2.243775e-10,6.594436e-08,7.066700e-08,9.607538e-13,4.998212e-14,1.740931e-12,9.607538e-13,9.607538e-13,4.998212e-14,,,,
2018-08-01,3.270000e+01,-9.509999e+01,3.252564e-10,1.118575e-11,1.752949e-11,1.049347e-11,2.373812e-11,4.930419e-09,7.582647e-12,8.677537e-14,3.734678e-13,4.363051e-12,1.817684e-12,2.473771e-13,2.549060e-12,1.459404e-12,7.052964e-13,3.984025e-12,2.414180e-12,2.487150e-12,1.765830e-12,8.335534e-13,1.143671e-12,5.978134e-14,6.974078e-13,2.828828e-13,4.609942e-13,2.613122e-14,9.244536e-14,3.457456e-13,9.799208e-14,1.332505e-11,6.944495e-13,7.052964e-13,1.472479e-11,6.878143e-12,7.700082e-13,1.459404e-12,9.107555e-12,2.473771e-13,2.473771e-13,1.143671e-12,3.382614e-12,5.978134e-14,4.586066e-12,6.398205e-12,2.487150e-12,7.669422e-12,1.655478e-11,3.252564e-10,1.049347e-11,2.373812e-11,1.752949e-11,4.930419e-09,5.307437e-09,1.372505e-13,,1.582665e-13,1.372505e-13,1.372505e-13,,,,,
2018-08-01,3.350000e+01,-1.175000e+02,1.235974e-09,4.474299e-11,7.011796e-11,4.407259e-11,1.028652e-10,2.033798e-08,3.033059e-11,3.579484e-13,1.680605e-12,1.672503e-11,6.664842e-12,4.947542e-13,9.346554e-12,6.421378e-12,2.644862e-12,1.460809e-11,1.026026e-11,9.948600e-12,6.621861e-12,3.612065e-12,5.718355e-12,2.989067e-13,3.312687e-12,1.244684e-12,1.843977e-12,1.143241e-13,3.235588e-13,1.477277e-12,3.919683e-13,5.304546e-11,2.746737e-12,2.644862e-12,5.843706e-11,2.670256e-11,3.202985e-12,6.421378e-12,3.632692e-11,4.947542e-13,4.947542e-13,5.718355e-12,1.295862e-11,2.989067e-13,1.897588e-11,2.486836e-11,9.948600e-12,3.068854e-11,6.550550e-11,1.235974e-09,4.407259e-11,1.028652e-10,7.011796e-11,2.033798e-08,2.179101e-08,2.745011e-13,,5.539326e-13,2.745011e-13,2.745011e-13,,,,,
