date,lat,lon,apt,other_altitude_of_plume_top,mami,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_combustion_rate,other_total
2018-08-14,3.270000e+01,-1.145000e+02,5.500149e+02,5.500149e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,3.290000e+01,-1.145000e+02,5.500149e+02,5.500149e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,3.630000e+01,-1.121000e+02,4.231300e+02,4.231300e+02,1.265779e+03,7.025538e-09,3.206581e-10,3.786370e-10,2.266590e-10,8.545723e-10,6.656066e-08,1.258720e-10,1.171468e-12,1.792646e-11,7.853493e-11,3.817137e-11,6.926561e-12,1.482306e-11,6.542587e-11,3.152313e-11,1.904301e-11,1.434249e-10,6.518286e-11,4.476870e-11,4.767740e-11,5.398070e-12,2.695156e-11,3.545381e-11,3.228192e-12,1.883001e-11,6.110269e-12,6.223422e-12,3.527715e-13,8.546388e-12,4.992049e-12,3.394594e-12,2.116629e-12,3.862620e-10,1.904966e-11,1.904301e-11,4.243547e-10,1.355363e-10,1.268646e-11,3.152313e-11,1.797459e-10,6.926561e-12,6.926561e-12,3.545381e-11,9.237743e-11,3.228192e-12,1.310594e-10,2.086078e-10,4.476870e-11,1.270434e-10,3.804199e-10,1.482306e-11,1.482306e-11,7.025538e-09,2.266590e-10,8.545723e-10,3.786370e-10,5.398070e-12,1.265779e+03,6.656066e-08,1.688909e+03
2018-08-14,3.630000e+01,-1.119000e+02,4.047782e+02,4.047782e+02,1.238120e+03,7.741102e-09,3.504868e-10,4.172018e-10,2.497447e-10,9.416121e-10,7.333998e-08,1.380042e-10,1.290784e-12,1.979379e-11,8.653386e-11,4.180674e-11,7.421314e-12,1.633282e-11,7.222337e-11,3.473382e-11,2.098257e-11,1.580330e-10,7.182185e-11,4.932848e-11,5.253344e-11,5.947873e-12,2.945222e-11,3.888482e-11,3.556990e-12,2.074788e-11,6.732611e-12,6.857289e-12,3.887019e-13,9.416854e-12,5.500499e-12,3.740339e-12,2.332211e-12,4.228141e-10,2.098990e-11,2.098257e-11,4.647865e-10,1.490885e-10,1.397860e-11,3.473382e-11,1.978009e-10,7.421314e-12,7.421314e-12,3.888482e-11,1.016756e-10,3.556990e-12,1.441174e-10,2.298548e-10,4.932848e-11,1.392950e-10,4.184783e-10,1.633282e-11,1.633282e-11,7.741102e-09,2.497447e-10,9.416121e-10,4.172018e-10,5.947873e-12,1.238120e+03,7.333998e-08,1.642898e+03
2018-08-14,3.710000e+01,-9.630000e+01,3.636555e+02,3.636555e+02,4.090672e+02,6.049768e-09,2.199864e-10,3.330603e-10,2.077708e-10,4.826751e-10,9.799208e-08,1.440703e-10,1.724661e-12,8.403026e-12,8.217079e-11,3.332421e-11,2.473771e-12,1.372505e-12,4.588308e-11,3.123124e-11,1.304798e-11,6.905643e-11,4.888714e-11,4.725585e-11,3.178494e-11,9.996425e-14,1.722677e-11,2.744810e-11,1.464643e-12,1.569168e-11,6.053692e-12,8.758889e-12,5.585549e-13,2.532263e-12,1.479126e-12,7.103501e-12,1.901046e-12,2.601744e-10,1.301594e-11,1.304798e-11,2.862383e-10,1.311867e-10,1.537114e-11,3.123124e-11,1.777890e-10,2.473771e-12,2.473771e-12,2.744810e-11,6.310985e-11,1.464643e-12,9.202260e-11,1.179436e-10,4.725585e-11,1.457950e-10,3.109944e-10,1.372505e-12,1.372505e-12,6.049768e-09,2.077708e-10,4.826751e-10,3.330603e-10,9.996425e-14,4.090672e+02,9.799208e-08,7.727228e+02
2018-08-14,3.750000e+01,-1.085000e+02,8.181686e+02,8.181686e+02,2.681865e+03,3.642871e-09,1.640576e-10,1.963303e-10,1.175269e-10,4.431116e-10,3.451293e-08,6.521077e-11,6.074276e-13,9.336695e-12,4.072181e-11,1.938863e-11,3.463280e-12,7.686031e-12,3.398747e-11,1.634533e-11,9.874150e-12,7.436847e-11,3.379852e-11,2.321340e-11,2.472162e-11,2.798999e-12,1.389256e-11,1.829874e-11,1.673877e-12,9.763709e-12,3.168287e-12,3.226959e-12,1.829186e-13,4.431461e-12,2.588470e-12,1.760160e-12,1.097511e-12,1.981160e-10,9.877601e-12,9.874150e-12,2.178677e-10,6.987416e-11,6.578165e-12,1.634533e-11,9.279764e-11,3.463280e-12,3.463280e-12,1.829874e-11,4.788003e-11,1.673877e-12,6.785264e-11,1.081670e-10,2.321340e-11,6.581820e-11,1.971986e-10,7.686031e-12,7.686031e-12,3.642871e-09,1.175269e-10,4.431116e-10,1.963303e-10,2.798999e-12,2.681865e+03,3.451293e-08,3.500033e+03
2018-08-14,3.830000e+01,-1.199000e+02,,,,6.765332e-09,2.460865e-10,3.751311e-10,2.329551e-10,5.459768e-10,1.103181e-07,1.622686e-10,1.941599e-12,9.523428e-12,9.235125e-11,3.756547e-11,2.721148e-12,1.647007e-12,5.183089e-11,3.502570e-11,1.463490e-11,7.835250e-11,5.492259e-11,5.305920e-11,3.575805e-11,9.996425e-14,1.944958e-11,3.030728e-11,1.643987e-12,1.778390e-11,6.789187e-12,9.853751e-12,6.271493e-13,2.848796e-12,1.664016e-12,7.983582e-12,2.155826e-12,2.913680e-10,1.465222e-11,1.463490e-11,3.206551e-10,1.477006e-10,1.727009e-11,3.502570e-11,1.999964e-10,2.721148e-12,2.721148e-12,3.030728e-11,7.128047e-11,1.643987e-12,1.032317e-10,1.332751e-10,5.305920e-11,1.642102e-10,3.505445e-10,1.647007e-12,1.647007e-12,6.765332e-09,2.329551e-10,5.459768e-10,3.751311e-10,9.996425e-14,,1.103181e-07,1.182376e-07
2018-08-14,3.830000e+01,-1.197000e+02,8.200624e+02,8.200624e+02,2.123340e+03,4.293384e-09,1.566005e-10,2.384010e-10,1.490073e-10,3.481591e-10,6.964217e-08,1.031240e-10,1.225702e-12,5.975484e-12,5.890118e-11,2.362989e-11,1.731640e-12,9.607538e-13,3.313778e-11,2.218294e-11,9.345177e-12,4.913631e-11,3.500561e-11,3.357652e-11,2.251433e-11,9.996424e-14,1.222545e-11,1.944241e-11,1.046173e-12,1.133288e-11,4.299819e-12,6.281046e-12,3.985011e-13,1.820064e-12,1.063122e-12,5.060459e-12,1.371889e-12,1.850903e-10,9.315534e-12,9.345177e-12,2.037510e-10,9.386396e-11,1.097937e-11,2.218294e-11,1.270263e-10,1.731640e-12,1.731640e-12,1.944241e-11,4.536323e-11,1.046173e-12,6.585181e-11,8.414192e-11,3.357652e-11,1.043497e-10,2.220681e-10,9.607538e-13,9.607538e-13,4.293384e-09,1.490073e-10,3.481591e-10,2.384010e-10,9.996424e-14,2.123340e+03,6.964217e-08,2.943403e+03
2018-08-14,3.850000e+01,-1.087000e+02,1.165321e+03,1.165321e+03,9.648624e+02,4.228333e-09,1.528719e-10,2.348952e-10,1.448099e-10,3.402464e-10,6.902587e-08,1.016075e-10,1.214855e-12,5.975484e-12,5.817401e-11,2.362989e-11,1.731640e-12,9.607538e-13,3.228810e-11,2.189106e-11,9.168854e-12,4.913631e-11,3.440206e-11,3.316200e-11,2.251433e-11,4.998212e-14,1.222545e-11,1.887057e-11,1.046173e-12,1.115852e-11,4.243242e-12,6.165797e-12,3.919683e-13,1.820064e-12,1.063122e-12,4.997596e-12,1.332692e-12,1.813617e-10,9.213475e-12,9.168854e-12,1.997440e-10,9.296243e-11,1.080101e-11,2.189106e-11,1.256545e-10,1.731640e-12,1.731640e-12,1.887057e-11,4.451355e-11,1.046173e-12,6.443029e-11,8.353837e-11,3.316200e-11,1.028223e-10,2.195227e-10,9.607538e-13,9.607538e-13,4.228333e-09,1.448099e-10,3.402464e-10,2.348952e-10,4.998212e-14,9.648624e+02,6.902587e-08,2.130183e+03
2018-08-14,3.850000e+01,-1.085000e+02,,,,3.707923e-09,1.677862e-10,1.998362e-10,1.196256e-10,4.510243e-10,3.512924e-08,6.521077e-11,6.182746e-13,9.336695e-12,4.144899e-11,1.999453e-11,3.463280e-12,7.823281e-12,3.398747e-11,1.663721e-11,1.005047e-11,7.569648e-11,3.440206e-11,2.362792e-11,2.516307e-11,2.848981e-12,1.417041e-11,1.829874e-11,1.703768e-12,9.938061e-12,3.224864e-12,3.284584e-12,1.861850e-13,4.510594e-12,2.634693e-12,1.791591e-12,1.117110e-12,2.022860e-10,1.005399e-11,1.005047e-11,2.223905e-10,7.138157e-11,6.695632e-12,1.663721e-11,9.471440e-11,3.463280e-12,3.463280e-12,1.829874e-11,4.815788e-11,1.703768e-12,6.816039e-11,1.100985e-10,2.362792e-11,6.582904e-11,1.995555e-10,7.823281e-12,7.823281e-12,3.707923e-09,1.196256e-10,4.510243e-10,1.998362e-10,2.848981e-12,,3.512924e-08,3.961049e-08
