date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,terpenesfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,c2h6sfire,other_dms
2018-08-19,3.130000e+01,-9.990001e+01,2.500206e+02,5.499901e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334442e-13,8.542048e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320927e-11,1.397684e-12,2.742954e-12,1.734990e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113202e-10,1.972251e-11,5.576982e-11,3.294672e-11,2.500206e+02,5.499901e+02,1.013549e-08,8.000106e+02,,,,,,,,
2018-08-19,3.190000e+01,-9.930000e+01,,,4.584901e-10,1.863842e-11,2.471004e-11,1.479188e-11,3.717988e-11,7.239637e-09,1.137123e-11,1.274176e-13,4.667221e-13,6.833638e-12,3.028743e-12,4.247408e-12,2.057215e-12,8.285040e-13,6.239988e-12,4.395261e-12,3.895504e-12,2.074301e-12,1.388920e-12,1.429244e-12,1.404490e-13,1.228856e-12,3.987592e-13,6.769061e-13,4.604409e-14,1.859139e-13,1.085946e-13,5.169101e-13,1.381323e-13,2.117944e-11,9.495508e-13,8.285040e-13,2.295750e-11,1.109124e-11,1.121709e-12,2.057215e-12,1.427016e-11,1.429244e-12,5.636329e-12,1.404490e-13,7.206022e-12,1.063525e-11,3.895504e-12,1.149864e-11,2.602940e-11,4.584901e-10,1.479188e-11,3.717988e-11,2.471004e-11,,,7.239637e-09,7.774808e-09,,,,,,,,
2018-08-19,3.330000e+01,-1.035000e+02,,,3.056601e-10,9.319209e-12,2.471004e-11,1.479188e-11,3.717988e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,2.057215e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,8.192373e-13,3.987592e-13,5.415248e-13,3.837008e-14,1.859139e-13,1.085946e-13,4.430658e-13,1.381323e-13,1.186023e-11,8.757065e-13,8.285040e-13,1.356444e-11,7.458837e-12,9.786542e-13,2.057215e-12,1.049471e-11,1.429244e-12,3.512625e-12,7.022448e-14,5.012093e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,3.056601e-10,1.479188e-11,3.717988e-11,2.471004e-11,,,5.791710e-09,6.174051e-09,,,,,,,,
2018-08-19,3.610000e+01,-9.870000e+01,,,1.528300e-09,5.591525e-11,8.236680e-11,5.423690e-11,1.301296e-10,2.461477e-08,3.790409e-11,4.332199e-13,2.333610e-12,2.050092e-11,9.086228e-12,1.061852e-11,8.228861e-12,3.314016e-12,1.871996e-11,1.172070e-11,1.168651e-11,8.297203e-12,4.166762e-12,7.146220e-12,3.511224e-13,4.096186e-12,1.595037e-12,2.166099e-12,1.381323e-13,5.577416e-13,3.257837e-13,1.772263e-12,5.064850e-13,6.654607e-11,3.162273e-12,3.314016e-12,7.302236e-11,3.368333e-11,3.899268e-12,8.228861e-12,4.581146e-11,7.146220e-12,1.478528e-11,3.511224e-13,2.228262e-11,3.044066e-11,1.168651e-11,3.833731e-11,8.046448e-11,1.528300e-09,5.423690e-11,1.301296e-10,8.236680e-11,,,2.461477e-08,2.640980e-08,6.182936e-13,3.224534e-13,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,
2018-08-19,3.690000e+01,-9.890001e+01,,,3.056601e-10,2.795762e-11,3.294672e-11,4.930627e-12,1.858994e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.106734e-13,4.096187e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,7.384430e-13,2.302205e-13,3.257295e-11,1.371767e-12,1.242756e-12,3.518747e-11,5.340809e-12,2.759750e-13,6.857384e-13,6.302522e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,3.056601e-10,4.930627e-12,1.858994e-11,3.294672e-11,,,2.895855e-09,3.257982e-09,1.236587e-12,,1.236587e-12,1.236587e-12,,,,
2018-08-19,3.730000e+01,-9.470000e+01,,,4.584901e-10,3.727683e-11,4.118340e-11,9.861254e-12,3.717988e-11,4.343782e-09,1.516164e-11,7.645056e-14,4.667221e-13,5.125229e-12,3.028743e-12,2.123704e-12,1.371477e-12,1.657008e-12,9.359982e-12,1.172070e-11,4.869380e-12,5.185752e-12,6.944602e-13,1.429244e-12,2.808979e-13,8.192373e-13,2.658395e-13,1.353812e-13,1.534803e-14,1.859139e-13,2.171891e-13,1.033820e-12,2.762646e-13,4.292931e-11,1.713188e-12,1.657008e-12,4.629950e-11,8.973208e-12,4.165687e-13,1.371477e-12,1.076125e-11,1.429244e-12,2.818165e-12,2.808979e-13,4.528307e-12,2.108068e-11,4.869380e-12,1.523809e-11,4.118814e-11,4.584901e-10,9.861254e-12,3.717988e-11,4.118340e-11,,,4.343782e-09,4.890497e-09,1.854881e-12,,1.854881e-12,1.854881e-12,,,,
2018-08-19,3.750000e+01,-1.193000e+02,1.817893e+02,1.363817e+02,1.833960e-09,8.387287e-11,9.884016e-11,5.916753e-11,2.230793e-10,1.737513e-08,3.411368e-11,3.058023e-13,4.667221e-12,2.050092e-11,1.060060e-11,1.698963e-11,8.228861e-12,4.971024e-12,3.743993e-11,1.758104e-11,1.168651e-11,1.244580e-11,6.944602e-12,8.575464e-12,8.426938e-13,4.915424e-12,1.595037e-12,1.624574e-12,9.208818e-14,2.230966e-12,1.303135e-12,8.861316e-13,5.525291e-13,1.009859e-10,4.972762e-12,4.971024e-12,1.109297e-10,3.601694e-11,3.311699e-12,8.228861e-12,4.755750e-11,8.575464e-12,2.393424e-11,8.426938e-13,3.335239e-11,5.502097e-11,1.168651e-11,3.441948e-11,1.011270e-10,1.833960e-09,5.916753e-11,2.230793e-10,9.884016e-11,1.817893e+02,1.363817e+02,1.737513e-08,3.181710e+02,1.854881e-12,3.869441e-12,1.854881e-12,1.854881e-12,3.869441e-12,3.869441e-12,1.409123e-12,1.409123e-12
2018-08-19,3.770000e+01,-1.193000e+02,1.999924e+02,1.500008e+02,7.641501e-10,3.727683e-11,4.118340e-11,2.465314e-11,9.294970e-11,7.239637e-09,1.137123e-11,1.274176e-13,1.866888e-12,8.542047e-12,4.543114e-12,6.371112e-12,3.428692e-12,2.071260e-12,1.559997e-11,7.325435e-12,4.869379e-12,5.185752e-12,2.777841e-12,4.287732e-12,3.511224e-13,2.048093e-12,6.645987e-13,6.769061e-13,3.837008e-14,9.295694e-13,5.429728e-13,3.692215e-13,2.302205e-13,4.432947e-11,2.071984e-12,2.071260e-12,4.847272e-11,1.513325e-11,1.379875e-12,3.428692e-12,1.994182e-11,4.287732e-12,9.148953e-12,3.511224e-13,1.378781e-11,2.292540e-11,4.869379e-12,1.149864e-11,3.929343e-11,7.641501e-10,2.465314e-11,9.294970e-11,4.118340e-11,1.999924e+02,1.500008e+02,7.239637e-09,3.499931e+02,6.182936e-13,1.612267e-12,6.182936e-13,6.182936e-13,1.612267e-12,1.612267e-12,5.871345e-13,5.871345e-13
2018-08-19,3.850000e+01,-1.199000e+02,,,6.266032e-09,2.329802e-10,3.459406e-10,2.169476e-10,5.019284e-10,1.013549e-07,1.478259e-10,1.783847e-12,8.867720e-12,8.542048e-11,3.483054e-11,4.884520e-11,3.222971e-11,1.367032e-11,7.175986e-11,5.127805e-11,4.869380e-11,3.215166e-11,1.805596e-11,2.858488e-11,1.474714e-12,1.638475e-11,6.247228e-12,9.070541e-12,5.755512e-13,2.602794e-12,1.520324e-12,7.384430e-12,1.979896e-12,2.739996e-10,1.348744e-11,1.367032e-11,3.011573e-10,1.366358e-10,1.589332e-11,3.222971e-11,1.847588e-10,2.858488e-11,6.690116e-11,1.474714e-12,9.696075e-11,1.230379e-10,4.869380e-11,1.496098e-10,3.213415e-10,6.266032e-09,2.169476e-10,5.019284e-10,3.459406e-10,,,1.013549e-07,1.086859e-07,2.473174e-12,1.612267e-12,2.473174e-12,2.473174e-12,1.612267e-12,1.612267e-12,1.174269e-13,1.174269e-13
2018-08-19,3.930000e+01,-1.227000e+02,2.350724e+02,9.045061e+01,2.552262e-08,9.319209e-10,1.416709e-09,8.825823e-10,2.044893e-09,4.155551e-07,6.102558e-10,7.313771e-12,3.593760e-11,3.485155e-10,1.408366e-10,1.953808e-10,1.316618e-10,5.509551e-11,2.932794e-10,2.065773e-10,2.006185e-10,1.337924e-10,7.361278e-11,1.157688e-10,6.249978e-12,6.676784e-11,2.552059e-11,3.722983e-11,2.363597e-12,1.078300e-11,6.298484e-12,3.005463e-11,8.103760e-12,1.101651e-09,5.523988e-11,5.509551e-11,1.211986e-09,5.561199e-10,6.511402e-11,1.316618e-10,7.528957e-10,1.157688e-10,2.689935e-10,6.249978e-12,3.910123e-10,4.998567e-10,2.006185e-10,6.175696e-10,1.318045e-09,2.552262e-08,8.825823e-10,2.044893e-09,1.416709e-09,2.350724e+02,9.045061e+01,4.155551e-07,3.255230e+02,1.051099e-11,6.126615e-12,1.051099e-11,1.051099e-11,6.126615e-12,6.126615e-12,4.697077e-13,4.697077e-13
