date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,terpenesfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,mami,apt,c2h6sfire,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-20,3.210000e+01,-1.007000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.516164e-11,1.529011e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320926e-11,1.397684e-12,2.742954e-12,1.734990e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.531454e-11,3.081917e-11,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,9.388733e-09,,,,,,,,,,,,
2018-08-20,3.610000e+01,-9.870000e+01,1.528300e-09,5.591525e-11,8.236680e-11,5.423690e-11,1.301296e-10,2.461477e-08,3.790409e-11,4.332199e-13,2.333610e-12,2.050092e-11,9.086228e-12,1.061852e-11,8.228861e-12,3.314016e-12,1.871996e-11,1.172070e-11,1.168651e-11,8.297203e-12,4.166762e-12,7.146220e-12,3.511224e-13,4.096186e-12,1.595037e-12,2.166099e-12,1.381323e-13,5.577416e-13,3.257837e-13,1.772263e-12,5.064850e-13,6.654607e-11,3.162273e-12,3.314016e-12,7.302236e-11,3.368333e-11,3.899268e-12,8.228861e-12,4.581146e-11,7.146220e-12,1.478528e-11,3.511224e-13,2.228262e-11,3.044066e-11,1.168651e-11,3.833731e-11,8.046448e-11,1.528300e-09,5.423690e-11,1.301296e-10,8.236680e-11,2.461477e-08,2.640980e-08,6.182936e-13,3.224534e-13,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,,,,
2018-08-20,3.690000e+01,-9.890001e+01,3.056601e-10,2.795762e-11,3.294672e-11,4.930627e-12,1.858994e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.106734e-13,4.096187e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,7.384430e-13,2.302205e-13,3.257295e-11,1.371767e-12,1.242756e-12,3.518747e-11,5.340809e-12,2.759750e-13,6.857384e-13,6.302522e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,3.056601e-10,4.930627e-12,1.858994e-11,3.294672e-11,2.895855e-09,3.257982e-09,1.236587e-12,,1.236587e-12,1.236587e-12,,,,,,,,
2018-08-20,3.730000e+01,-9.470000e+01,4.584901e-10,3.727683e-11,4.118340e-11,9.861254e-12,3.717988e-11,4.343782e-09,1.516164e-11,7.645056e-14,4.667221e-13,5.125229e-12,3.028743e-12,2.123704e-12,1.371477e-12,1.657008e-12,9.359982e-12,1.172070e-11,4.869380e-12,5.185752e-12,6.944602e-13,1.429244e-12,2.808979e-13,8.192373e-13,2.658395e-13,1.353812e-13,1.534803e-14,1.859139e-13,2.171891e-13,1.033820e-12,2.762646e-13,4.292931e-11,1.713188e-12,1.657008e-12,4.629950e-11,8.973208e-12,4.165687e-13,1.371477e-12,1.076125e-11,1.429244e-12,2.818165e-12,2.808979e-13,4.528307e-12,2.108068e-11,4.869380e-12,1.523809e-11,4.118814e-11,4.584901e-10,9.861254e-12,3.717988e-11,4.118340e-11,4.343782e-09,4.890497e-09,1.854881e-12,,1.854881e-12,1.854881e-12,,,,,,,,
2018-08-20,3.930000e+01,-1.227000e+02,2.416243e-07,8.815971e-09,1.340931e-08,8.352482e-09,1.940790e-08,3.931123e-06,5.780374e-09,6.918776e-11,3.402404e-10,3.302356e-09,1.337190e-09,1.845499e-09,1.249415e-09,5.215433e-10,2.779915e-09,1.951496e-09,1.899058e-09,1.270509e-09,6.951548e-10,1.090513e-09,5.898856e-11,6.328608e-10,2.421797e-10,3.521265e-10,2.240812e-11,1.015090e-10,5.940122e-11,2.845959e-10,7.666341e-11,1.042672e-08,5.221695e-10,5.215433e-10,1.147043e-08,5.272407e-09,6.167144e-10,1.249415e-09,7.138536e-09,1.090513e-09,2.540654e-09,5.898856e-11,3.690156e-09,4.731411e-09,1.899058e-09,5.849561e-09,1.248003e-08,2.416243e-07,8.352482e-09,1.940790e-08,1.340931e-08,3.931123e-06,4.384753e+02,1.014002e-10,5.675180e-11,1.014002e-10,1.014002e-10,5.675180e-11,5.675180e-11,2.198831e+02,2.185922e+02,4.344796e-12,4.344796e-12,2.198831e+02,2.185922e+02
2018-08-20,3.930000e+01,-1.229000e+02,3.973581e-09,1.397881e-10,2.223904e-10,1.380576e-10,3.160290e-10,6.370880e-08,9.476023e-11,1.121275e-12,5.600665e-12,5.466911e-11,2.120120e-11,2.973186e-11,2.057215e-11,8.699293e-12,4.679991e-11,3.223192e-11,3.116403e-11,2.074301e-11,1.111136e-11,1.715093e-11,9.831427e-13,1.024047e-11,3.987592e-12,5.686011e-12,3.683527e-13,1.673225e-12,9.773510e-13,4.652191e-12,1.243190e-12,1.661318e-10,8.545956e-12,8.699293e-12,1.833770e-10,8.611078e-11,1.004196e-11,2.057215e-11,1.167249e-10,1.715093e-11,4.084322e-11,9.831427e-13,5.897730e-11,7.903182e-11,3.116403e-11,9.588150e-11,2.060773e-10,3.973581e-09,1.380576e-10,3.160290e-10,2.223904e-10,6.370880e-08,2.758183e+02,1.854881e-12,9.673603e-13,1.854881e-12,1.854881e-12,9.673603e-13,9.673603e-13,2.004746e+02,7.534372e+01,1.174269e-13,1.174269e-13,2.004746e+02,7.534372e+01
2018-08-20,3.950000e+01,-1.227000e+02,1.940942e-07,7.082598e-09,1.076534e-08,6.710585e-09,1.559696e-08,3.157930e-06,4.643250e-09,5.557956e-11,2.734992e-10,2.653160e-09,1.075204e-09,1.482345e-09,1.003921e-09,4.192230e-10,2.233916e-09,1.569108e-09,1.525090e-09,1.021593e-09,5.583460e-10,8.761266e-10,4.740152e-11,5.083368e-10,1.945945e-10,2.829467e-10,1.799557e-11,8.143028e-11,4.767301e-11,2.286219e-10,6.156095e-11,8.377691e-09,4.192862e-10,4.192230e-10,9.216199e-09,4.236700e-09,4.955368e-10,1.003921e-09,5.736158e-09,8.761266e-10,2.040691e-09,4.740152e-11,2.964219e-09,3.803024e-09,1.525090e-09,4.698830e-09,1.002694e-08,1.940942e-07,6.710585e-09,1.559696e-08,1.076534e-08,3.157930e-06,3.756398e+02,8.099647e-11,4.546593e-11,8.099647e-11,8.099647e-11,4.546593e-11,4.546593e-11,2.009568e+02,1.746830e+02,3.522807e-12,3.522807e-12,2.009568e+02,1.746830e+02
2018-08-20,3.950000e+01,-1.229000e+02,6.220183e-08,2.264568e-09,3.451169e-09,2.149754e-09,5.000694e-09,1.010653e-06,1.485840e-09,1.778750e-11,8.774376e-11,8.490795e-10,3.452766e-10,4.757097e-10,3.216113e-10,1.342177e-10,7.175986e-10,5.025249e-10,4.879119e-10,3.277395e-10,1.784763e-10,2.801318e-10,1.516849e-11,1.630282e-10,6.233936e-11,9.070542e-11,5.770859e-12,2.621386e-11,1.531183e-11,7.325354e-11,1.975291e-11,2.680051e-09,1.345321e-10,1.342177e-10,2.948801e-09,1.357384e-09,1.588156e-10,3.216113e-10,1.837811e-09,2.801318e-10,6.541860e-10,1.516849e-11,9.494864e-10,1.220123e-09,4.879119e-10,1.503628e-09,3.211663e-09,6.220183e-08,2.149754e-09,5.000694e-09,3.451169e-09,1.010653e-06,4.298521e+02,2.596833e-11,1.451041e-11,2.596833e-11,2.596833e-11,1.451041e-11,1.451041e-11,1.934827e+02,2.363695e+02,1.056842e-12,1.056842e-12,1.934827e+02,2.363695e+02
2018-08-20,3.950000e+01,-1.231000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.516164e-11,1.529011e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320926e-11,1.397684e-12,2.742954e-12,1.734990e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.531454e-11,3.081917e-11,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,9.388733e-09,,,,,,,,,,,,
2018-08-20,4.070000e+01,-1.167000e+02,1.528300e-09,5.591525e-11,8.236680e-11,5.423690e-11,1.301296e-10,2.461477e-08,3.790409e-11,4.332199e-13,2.333610e-12,2.050092e-11,9.086228e-12,1.274222e-11,8.228861e-12,3.314016e-12,1.871996e-11,1.172070e-11,1.168651e-11,8.297203e-12,4.166762e-12,7.146220e-12,3.511224e-13,4.096186e-12,1.595037e-12,2.166099e-12,1.381323e-13,5.577416e-13,3.257837e-13,1.772263e-12,5.064850e-13,6.654607e-11,3.162273e-12,3.314016e-12,7.302236e-11,3.368333e-11,3.899268e-12,8.228861e-12,4.581146e-11,7.146220e-12,1.690899e-11,3.511224e-13,2.440633e-11,3.044066e-11,1.168651e-11,3.833731e-11,8.046448e-11,1.528300e-09,5.423690e-11,1.301296e-10,8.236680e-11,2.461477e-08,2.640980e-08,6.182936e-13,3.224534e-13,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,,,,
