date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-21,3.210000e+01,-1.007000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.516164e-11,1.529011e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320926e-11,1.397684e-12,2.742954e-12,1.734990e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.531454e-11,3.081917e-11,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,9.388733e-09,,,,,,,,,,,,
2018-08-21,3.850000e+01,-9.609999e+01,4.584901e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.137123e-11,1.529011e-13,9.334442e-13,6.833638e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,3.895504e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.228856e-12,5.316789e-13,8.122872e-13,4.604409e-14,1.859139e-13,1.085946e-13,5.907544e-13,1.841764e-13,2.268331e-11,1.069439e-12,1.242756e-12,2.499551e-11,1.109124e-11,1.390010e-12,2.742954e-12,1.522420e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,3.895504e-12,1.152413e-11,2.605488e-11,4.584901e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,9.235904e-09,,,,,,,,,,,,
2018-08-21,3.930000e+01,-9.530000e+01,4.584901e-10,1.863842e-11,2.471004e-11,1.479188e-11,3.717988e-11,7.239637e-09,1.137123e-11,1.274176e-13,4.667221e-13,5.125229e-12,3.028743e-12,4.247408e-12,2.057215e-12,8.285040e-13,6.239988e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,1.228856e-12,3.987592e-13,6.769061e-13,3.837008e-14,1.859139e-13,1.085946e-13,5.169101e-13,1.381323e-13,2.117944e-11,9.495508e-13,8.285040e-13,2.295750e-11,9.382828e-12,1.114035e-12,2.057215e-12,1.255408e-11,1.429244e-12,5.636329e-12,7.022448e-14,7.135798e-12,9.170162e-12,2.921628e-12,1.149864e-11,2.359044e-11,4.584901e-10,1.479188e-11,3.717988e-11,2.471004e-11,7.239637e-09,7.774808e-09,,,,,,,,,,,,
2018-08-21,3.930000e+01,-1.227000e+02,3.377544e-08,1.239455e-09,1.869726e-09,1.168559e-09,2.714131e-09,5.502124e-07,8.073571e-10,9.683738e-12,4.760565e-11,4.612706e-10,1.877820e-10,2.569682e-10,1.741776e-10,7.290836e-11,3.868793e-10,2.739713e-10,2.658682e-10,1.773527e-10,9.722443e-11,1.529291e-10,8.216264e-12,8.847763e-11,3.376161e-11,4.927876e-11,3.130998e-12,1.412945e-11,8.361781e-12,3.980208e-11,1.072827e-11,1.464413e-09,7.302158e-11,7.290836e-11,1.610343e-09,7.375303e-10,8.617137e-11,1.741776e-10,9.978791e-10,1.529291e-10,3.541926e-10,8.216264e-12,5.153380e-10,6.608505e-10,2.658682e-10,8.170408e-10,1.743760e-09,3.377544e-08,1.168559e-09,2.714131e-09,1.869726e-09,5.502124e-07,3.800070e+02,2.133734e+02,1.666336e+02,1.422075e-11,7.738882e-12,7.045615e-13,1.422075e-11,1.422075e-11,7.738882e-12,7.738882e-12,7.045615e-13,2.133734e+02,1.666336e+02
2018-08-21,3.930000e+01,-1.229000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.516164e-11,1.529011e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,2.742953e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869379e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.320926e-11,1.397684e-12,2.742953e-12,1.734990e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,4.869379e-12,1.531454e-11,3.081917e-11,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,2.758183e+02,2.004746e+02,7.534372e+01,,,,,,,,,2.004746e+02,7.534372e+01
2018-08-21,3.950000e+01,-1.123000e+02,3.056601e-09,1.118305e-10,1.729703e-10,1.084738e-10,2.416692e-10,5.067746e-08,7.580817e-11,8.919233e-13,4.200499e-12,4.271024e-11,1.665808e-11,2.336075e-11,1.577198e-11,6.628032e-12,3.431993e-11,2.490648e-11,2.434690e-11,1.659441e-11,9.027983e-12,1.429244e-11,7.724693e-13,8.192373e-12,3.057154e-12,4.467580e-12,2.839386e-13,1.301397e-12,7.601619e-13,3.618371e-12,9.669259e-13,1.326254e-10,6.646855e-12,6.628032e-12,1.459003e-10,6.756069e-11,7.808673e-12,1.577198e-11,9.114134e-11,1.429244e-11,3.238873e-11,7.724693e-13,4.745364e-11,5.922642e-11,2.434690e-11,7.670010e-11,1.602734e-10,3.056601e-09,1.084738e-10,2.416692e-10,1.729703e-10,5.067746e-08,5.425717e-08,,,1.236587e-12,6.449069e-13,,1.236587e-12,1.236587e-12,6.449069e-13,6.449069e-13,,,
2018-08-21,3.950000e+01,-1.227000e+02,3.438676e-08,1.314008e-09,1.894436e-09,1.168559e-09,3.048750e-09,5.096704e-07,7.770339e-10,8.970200e-12,5.694009e-11,4.510201e-10,1.892964e-10,2.760815e-10,1.728061e-10,7.787938e-11,4.586391e-10,2.871570e-10,2.590510e-10,1.918728e-10,1.062524e-10,1.600753e-10,9.901652e-12,9.052573e-11,3.349577e-11,4.589423e-11,2.877756e-12,2.007870e-11,1.172821e-11,3.544526e-11,1.077432e-11,1.562821e-09,7.802649e-11,7.787938e-11,1.718727e-09,7.308423e-10,8.226776e-11,1.728061e-10,9.859161e-10,1.600753e-10,3.823340e-10,9.901652e-12,5.523109e-10,7.457961e-10,2.590510e-10,7.860042e-10,1.790851e-09,3.438676e-08,1.168559e-09,3.048750e-09,1.894436e-09,5.096704e-07,5.893489e+02,2.250668e+02,3.642821e+02,1.793051e-11,2.160438e-11,5.988772e-12,1.793051e-11,1.793051e-11,2.160438e-11,2.160438e-11,5.988772e-12,2.250668e+02,3.642821e+02
2018-08-21,3.950000e+01,-1.229000e+02,1.344904e-08,4.939181e-10,7.413012e-10,4.634790e-10,1.096806e-09,2.142933e-07,3.183943e-10,3.771561e-12,1.960233e-11,1.827998e-10,7.420420e-11,1.040615e-10,6.925958e-11,2.941189e-11,1.591197e-10,1.098815e-10,1.042047e-10,7.156338e-11,3.888977e-11,6.002825e-11,3.440999e-12,3.522720e-11,1.342489e-11,1.922413e-11,1.220168e-12,6.135158e-12,3.583620e-12,1.543346e-11,4.236056e-12,5.850838e-10,2.938829e-11,2.941189e-11,6.438839e-10,2.922312e-10,3.386920e-11,6.925958e-11,3.953600e-10,6.002825e-11,1.429513e-10,3.440999e-12,2.064205e-10,2.690012e-10,1.042047e-10,3.221659e-10,6.953719e-10,1.344904e-08,4.634790e-10,1.096806e-09,7.413012e-10,2.142933e-07,1.774060e+02,1.001167e+02,7.728931e+01,6.182936e-12,4.191895e-12,7.045615e-13,6.182936e-12,6.182936e-12,4.191895e-12,4.191895e-12,7.045615e-13,1.001167e+02,7.728931e+01
2018-08-21,4.090000e+01,-1.169000e+02,2.445280e-09,8.387287e-11,1.317869e-10,8.382066e-11,1.858994e-10,3.909404e-08,5.685613e-11,6.880551e-13,3.267055e-12,3.245978e-11,1.362934e-11,1.911334e-11,1.234329e-11,4.971024e-12,2.807994e-11,1.904613e-11,1.850364e-11,1.244580e-11,6.944602e-12,1.143395e-11,5.617958e-13,6.144280e-12,2.392555e-12,3.519912e-12,2.225464e-13,9.295694e-13,5.429728e-13,2.806083e-12,7.367055e-13,9.958573e-11,5.015331e-12,4.971024e-12,1.095721e-10,5.223340e-11,6.135013e-12,1.234329e-11,7.071171e-11,1.143395e-11,2.605794e-11,5.617958e-13,3.805369e-11,4.712608e-11,1.850364e-11,5.754418e-11,1.231739e-10,2.445280e-09,8.382066e-11,1.858994e-10,1.317869e-10,3.909404e-08,4.999756e+02,2.749744e+02,2.250011e+02,1.236587e-12,6.449069e-13,,1.236587e-12,1.236587e-12,6.449069e-13,6.449069e-13,,2.749744e+02,2.250011e+02
2018-08-21,4.090000e+01,-1.221000e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.250011e+02,,,,,,,,,,2.250011e+02
