date,lat,lon,apt,other_altitude_of_plume_top,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,other_mean_altitude_of_maximum_injection
2018-08-22,3.250000e+01,-9.850000e+01,3.249889e+02,3.249889e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.430000e+01,-9.490001e+01,3.500145e+02,3.500145e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.730000e+01,-1.135000e+02,2.250011e+02,2.250011e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.750000e+01,-1.193000e+02,7.954390e+02,7.954390e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.770000e+01,-1.035000e+02,,,5.043391e-09,1.863842e-10,2.800471e-10,1.775026e-10,4.089787e-10,8.253186e-08,1.212931e-10,1.452561e-12,7.000831e-12,7.004479e-11,2.877306e-11,1.854881e-12,1.289814e-12,3.822668e-11,2.674380e-11,1.118480e-11,5.927989e-11,4.102244e-11,3.992891e-11,2.696591e-11,1.174269e-13,1.458366e-11,2.286790e-11,1.264041e-12,1.351742e-11,5.183870e-12,7.445967e-12,4.757890e-13,2.230966e-12,1.303135e-12,6.055232e-12,1.611543e-12,2.203509e-10,1.120088e-11,1.118480e-11,2.427366e-10,1.123353e-10,1.310563e-11,2.674380e-11,1.521847e-10,1.854881e-12,1.854881e-12,2.286790e-11,5.281034e-11,1.264041e-12,7.694228e-11,1.003023e-10,3.992891e-11,1.227456e-10,2.629769e-10,1.289814e-12,1.289814e-12,5.043391e-09,1.775026e-10,4.089787e-10,2.800471e-10,1.174269e-13,8.253186e-08,8.844190e-08,,
2018-08-22,3.770000e+01,-1.191000e+02,,,7.641502e-10,2.795762e-11,4.118340e-11,2.465314e-11,9.294970e-11,7.239637e-09,1.137123e-11,1.274176e-13,1.866888e-12,8.542047e-12,4.543114e-12,6.182936e-13,1.612267e-12,6.371112e-12,3.428692e-12,2.071260e-12,1.559997e-11,5.860348e-12,4.869380e-12,5.185752e-12,5.871346e-13,2.777841e-12,2.858488e-12,3.511224e-13,2.048093e-12,6.645987e-13,6.769061e-13,3.837008e-14,9.295694e-13,5.429728e-13,3.692215e-13,2.302205e-13,3.501027e-11,2.071984e-12,2.071260e-12,3.915351e-11,1.513325e-11,1.379875e-12,3.428692e-12,1.994182e-11,6.182936e-13,6.182936e-13,2.858488e-12,9.148953e-12,3.511224e-13,1.235856e-11,2.146032e-11,4.869380e-12,1.149864e-11,3.782834e-11,1.612267e-12,1.612267e-12,7.641502e-10,2.465314e-11,9.294970e-11,4.118340e-11,5.871346e-13,7.239637e-09,8.163161e-09,,
2018-08-22,3.770000e+01,-1.193000e+02,7.023942e+02,7.023942e+02,7.641501e-10,3.727683e-11,4.118340e-11,2.465314e-11,9.294970e-11,7.239637e-09,1.516164e-11,1.274176e-13,1.866888e-12,8.542046e-12,4.543114e-12,6.182936e-13,1.612267e-12,6.371112e-12,3.428692e-12,2.071260e-12,1.559997e-11,7.325435e-12,4.869380e-12,5.185752e-12,5.871346e-13,2.777841e-12,4.287732e-12,3.511224e-13,2.048093e-12,6.645987e-13,6.769061e-13,3.837008e-14,9.295694e-13,5.429728e-13,3.692215e-13,2.302205e-13,4.432947e-11,2.071984e-12,2.071260e-12,4.847272e-11,1.513325e-11,1.379875e-12,3.428692e-12,1.994182e-11,6.182936e-13,6.182936e-13,4.287732e-12,9.148953e-12,3.511224e-13,1.378781e-11,2.292541e-11,4.869380e-12,1.528905e-11,4.308384e-11,1.612267e-12,1.612267e-12,7.641501e-10,2.465314e-11,9.294970e-11,4.118340e-11,5.871346e-13,7.239637e-09,2.488101e+03,1.785706e+03,1.785706e+03
2018-08-22,3.830000e+01,-1.199000e+02,2.954618e+02,2.954618e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.830000e+01,-1.197000e+02,2.954618e+02,2.954618e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.850000e+01,-1.197000e+02,6.682130e+02,6.682130e+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,3.930000e+01,-1.227000e+02,1.666336e+02,1.666336e+02,3.820751e-09,1.397881e-10,2.141537e-10,1.331269e-10,3.160290e-10,6.370880e-08,9.096981e-11,1.121275e-12,5.133943e-12,5.296069e-11,2.120120e-11,1.854881e-12,9.673603e-13,2.973186e-11,1.988641e-11,8.285041e-12,4.367991e-11,3.076683e-11,3.019016e-11,2.074301e-11,,1.111136e-11,1.858017e-11,9.831427e-13,1.024047e-11,3.854672e-12,5.686011e-12,3.606787e-13,1.673225e-12,9.773510e-13,4.578346e-12,1.243190e-12,1.656651e-10,8.472113e-12,8.285041e-12,1.824222e-10,8.440235e-11,9.901362e-12,1.988641e-11,1.141901e-10,1.854881e-12,1.854881e-12,1.858017e-11,4.084322e-11,9.831427e-13,6.040653e-11,7.444674e-11,3.019016e-11,9.209108e-11,1.967280e-10,9.673603e-13,9.673603e-13,3.820751e-09,1.331269e-10,3.160290e-10,2.141537e-10,,6.370880e-08,3.800070e+02,2.133734e+02,2.133734e+02
2018-08-22,3.950000e+01,-1.123000e+02,,,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.137123e-11,1.529011e-13,9.334442e-13,6.833638e-12,3.028743e-12,,,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,3.895504e-12,3.111451e-12,,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.150086e-11,1.397684e-12,2.742954e-12,1.564149e-11,,,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,3.895504e-12,1.152413e-11,2.605488e-11,,,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,,8.687564e-09,9.388733e-09,,
2018-08-22,3.950000e+01,-1.227000e+02,1.760411e+03,1.760411e+03,1.879810e-08,7.362175e-10,1.029585e-09,6.311202e-10,1.747454e-09,2.635228e-07,4.169450e-10,4.638001e-12,3.313727e-11,2.408858e-10,1.029773e-10,1.174758e-11,1.547776e-11,1.550304e-10,9.257469e-11,4.349646e-11,2.683195e-10,1.582294e-10,1.382904e-10,1.078636e-10,4.814503e-12,5.972358e-11,8.718389e-11,5.828632e-12,4.956386e-11,1.794416e-11,2.382709e-11,1.481085e-12,1.264214e-11,7.384430e-12,1.794416e-11,5.847599e-12,8.772185e-10,4.381834e-11,4.349646e-11,9.645332e-10,3.934269e-10,4.325234e-11,9.257469e-11,5.292539e-10,1.174758e-11,1.174758e-11,8.718389e-11,2.147540e-10,5.828632e-12,3.077665e-10,4.265489e-10,1.382904e-10,4.215830e-10,9.864223e-10,1.547776e-11,1.547776e-11,1.879810e-08,6.311202e-10,1.747454e-09,1.029585e-09,4.814503e-12,2.635228e-07,3.327078e+03,1.566667e+03,1.566667e+03
2018-08-22,3.950000e+01,-1.229000e+02,1.266118e+03,1.266118e+03,1.023961e-08,4.473220e-10,5.683309e-10,3.451439e-10,1.133986e-09,1.172821e-07,2.008917e-10,2.064165e-12,2.333610e-11,1.230055e-10,5.754611e-11,8.656111e-12,1.644513e-11,9.131928e-11,4.868742e-11,2.651213e-11,1.871996e-10,9.376557e-11,7.011906e-11,6.637763e-11,5.753918e-12,3.680639e-11,5.002354e-11,4.143244e-12,2.744445e-11,9.437301e-12,1.083050e-11,6.369433e-13,1.022526e-11,5.972701e-12,7.015208e-12,3.177042e-12,5.370357e-10,2.639021e-11,2.651213e-11,5.899381e-10,2.079961e-10,2.090474e-11,4.868742e-11,2.775882e-10,8.656111e-12,8.656111e-12,5.002354e-11,1.281257e-10,4.143244e-12,1.822925e-10,2.809652e-10,7.011906e-11,2.029558e-10,5.540401e-10,1.644513e-11,1.644513e-11,1.023961e-08,3.451439e-10,1.133986e-09,5.683309e-10,5.753918e-12,1.172821e-07,2.535790e+03,1.269672e+03,1.269672e+03
2018-08-22,4.090000e+01,-1.169000e+02,2.250011e+02,2.250011e+02,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,,,2.123704e-12,1.371477e-12,4.142520e-13,3.119994e-12,1.465087e-12,1.947752e-12,1.037150e-12,,6.944602e-13,1.429244e-12,7.022449e-14,8.192373e-13,2.658395e-13,4.061436e-13,2.302205e-14,1.859139e-13,1.085946e-13,2.953772e-13,9.208818e-14,1.082308e-11,6.819738e-13,4.142520e-13,1.191931e-11,5.750427e-12,6.950051e-13,1.371477e-12,7.816909e-12,,,1.429244e-12,2.818165e-12,7.022449e-14,4.317633e-12,4.585081e-12,1.947752e-12,7.657269e-12,1.419010e-11,,,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,,4.343782e-09,4.999756e+02,2.749744e+02,2.749744e+02
2018-08-22,4.090000e+01,-1.223000e+02,6.173226e+02,6.173226e+02,2.598111e-09,1.211497e-10,1.400236e-10,8.382066e-11,3.160290e-10,2.461477e-08,4.548490e-11,4.332199e-13,6.534109e-12,2.904296e-11,1.362934e-11,2.473174e-12,5.481708e-12,2.548445e-11,1.165755e-11,7.042284e-12,5.303991e-11,2.490648e-11,1.655589e-11,1.763156e-11,1.996258e-12,9.722444e-12,1.286320e-11,1.193816e-12,6.963517e-12,2.259635e-12,2.301481e-12,1.304583e-13,3.160536e-12,1.846107e-12,1.255353e-12,7.827496e-13,1.453154e-10,7.044746e-12,7.042284e-12,1.594024e-10,4.963582e-11,4.691574e-12,1.165755e-11,6.598495e-11,2.473174e-12,2.473174e-12,1.286320e-11,3.520689e-11,1.193816e-12,4.926391e-11,7.794639e-11,1.655589e-11,4.591812e-11,1.404204e-10,5.481708e-12,5.481708e-12,2.598111e-09,8.382066e-11,3.160290e-10,1.400236e-10,1.996258e-12,2.461477e-08,2.105632e+03,1.488310e+03,1.488310e+03
2018-08-22,4.110000e+01,-1.237000e+02,,,3.820751e-09,1.770650e-10,2.059170e-10,1.232657e-10,4.647485e-10,3.619818e-08,6.822735e-11,6.370880e-13,9.801163e-12,4.271024e-11,2.120120e-11,3.709762e-12,8.061335e-12,3.610297e-11,1.714346e-11,1.035630e-11,7.799985e-11,3.662718e-11,2.434690e-11,2.592876e-11,2.935673e-12,1.458366e-11,2.000942e-11,1.755612e-12,1.024047e-11,3.322993e-12,3.384530e-12,1.918504e-13,4.647847e-12,2.714864e-12,1.846107e-12,1.151102e-12,2.127949e-10,1.035992e-11,1.035630e-11,2.335111e-10,7.415191e-11,6.899374e-12,1.714346e-11,9.819474e-11,3.709762e-12,3.709762e-12,2.000942e-11,5.068664e-11,1.755612e-12,7.245166e-11,1.146270e-10,2.434690e-11,6.886444e-11,2.078384e-10,8.061335e-12,8.061335e-12,3.820751e-09,1.232657e-10,4.647485e-10,2.059170e-10,2.935673e-12,3.619818e-08,4.081580e-08,,
2018-08-22,4.130000e+01,-1.209000e+02,2.250011e+02,2.250011e+02,1.222640e-09,4.659604e-11,6.589344e-11,4.437564e-11,9.294970e-11,2.027098e-08,3.032327e-11,3.567693e-13,1.866888e-12,1.708409e-11,6.057485e-12,6.182936e-13,3.224534e-13,8.494817e-12,6.171645e-12,2.485512e-12,1.559997e-11,1.025561e-11,9.738758e-12,6.222902e-12,,3.472301e-12,5.716976e-12,2.808979e-13,3.276949e-12,1.196278e-12,1.759956e-12,1.151102e-13,5.577416e-13,3.257837e-13,1.403042e-12,3.683527e-13,5.468583e-11,2.654920e-12,2.485512e-12,5.982626e-11,2.641853e-11,3.071344e-12,6.171645e-12,3.566152e-11,6.182936e-13,6.182936e-13,5.716976e-12,1.196712e-11,2.808979e-13,1.796499e-11,2.585558e-11,9.738758e-12,3.068004e-11,6.627437e-11,3.224534e-13,3.224534e-13,1.222640e-09,4.437564e-11,9.294970e-11,6.589344e-11,,2.027098e-08,4.750217e+02,2.500206e+02,2.500206e+02
2018-08-22,4.130000e+01,-1.211000e+02,1.896106e+03,1.896106e+03,7.366408e-08,2.683932e-09,4.085393e-09,2.544204e-09,5.911601e-09,1.197436e-06,1.762540e-09,2.107487e-11,1.036123e-10,1.006253e-09,4.073659e-10,3.091468e-11,1.709003e-11,5.627816e-10,3.805848e-10,1.590728e-10,8.486384e-10,5.948254e-10,5.784824e-10,3.868571e-10,1.291696e-12,2.118104e-10,3.315846e-10,1.797747e-11,1.929304e-10,7.377046e-11,1.073573e-10,6.829873e-12,3.086170e-11,1.813529e-11,8.669321e-11,2.334435e-11,3.174401e-09,1.590346e-10,1.590728e-10,3.492509e-09,1.606549e-09,1.879576e-10,3.805848e-10,2.175092e-09,3.091468e-11,3.091468e-11,3.315846e-10,7.745919e-10,1.797747e-11,1.124154e-09,1.443464e-09,5.784824e-10,1.783615e-09,3.805561e-09,1.709003e-11,1.709003e-11,7.366408e-08,2.544204e-09,5.911601e-09,4.085393e-09,1.291696e-12,1.197436e-06,4.800396e+03,2.904290e+03,2.904290e+03
2018-08-22,4.150000e+01,-1.209000e+02,7.621351e+02,7.621351e+02,6.113201e-10,2.795762e-11,3.294672e-11,2.465314e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334441e-13,8.542047e-12,3.028743e-12,,,4.247408e-12,3.428692e-12,1.242756e-12,6.239988e-12,5.860348e-12,4.869380e-12,3.111451e-12,,2.083381e-12,2.858488e-12,1.404489e-13,1.638475e-12,6.645987e-13,9.476685e-13,6.139212e-14,1.859139e-13,1.085946e-13,7.384430e-13,2.302205e-13,3.200252e-11,1.263172e-12,1.242756e-12,3.450845e-11,1.320926e-11,1.673659e-12,3.428692e-12,1.831161e-11,,,2.858488e-12,6.330789e-12,1.404489e-13,9.329726e-12,1.210034e-11,4.869380e-12,1.534002e-11,3.230974e-11,,,6.113201e-10,2.465314e-11,5.576982e-11,3.294672e-11,,1.013549e-08,3.462454e+03,2.700319e+03,2.700319e+03
2018-08-22,4.150000e+01,-1.211000e+02,1.868639e+03,1.868639e+03,8.833577e-08,3.382873e-09,4.876114e-09,3.012613e-09,7.807775e-09,1.319062e-06,2.008917e-09,2.321549e-11,1.442171e-10,1.165135e-09,4.861132e-10,4.637202e-11,5.352727e-11,7.029461e-10,4.450443e-10,2.004980e-10,1.173118e-09,7.340086e-10,6.680790e-10,4.916093e-10,1.467836e-11,2.708395e-10,4.073346e-10,2.528081e-11,2.326634e-10,8.626491e-11,1.188647e-10,7.451469e-12,5.094040e-11,2.975491e-11,9.193615e-11,2.776459e-11,4.018699e-09,2.003960e-10,2.004980e-10,4.419593e-09,1.883912e-09,2.125811e-10,4.450443e-10,2.541537e-09,4.637202e-11,4.637202e-11,4.073346e-10,9.737856e-10,2.528081e-11,1.406401e-09,1.907126e-09,6.680790e-10,2.032132e-09,4.607338e-09,5.352727e-11,5.352727e-11,8.833577e-08,3.012613e-09,7.807775e-09,4.876114e-09,1.467836e-11,1.319062e-06,4.749300e+03,2.880662e+03,2.880662e+03
2018-08-22,4.170000e+01,-1.161000e+02,6.075756e+03,6.075756e+03,2.819714e-07,1.029772e-08,1.564969e-08,9.747850e-09,2.266114e-08,4.587034e-06,6.746927e-09,8.073180e-11,3.967137e-10,3.854171e-09,1.561317e-09,1.180941e-10,6.578050e-11,2.153436e-09,1.458566e-09,6.089504e-10,3.244794e-09,2.278211e-09,2.215568e-09,1.483125e-09,5.166784e-12,8.118240e-10,1.273456e-09,6.874976e-11,7.385424e-10,2.825874e-10,4.111527e-10,2.615305e-11,1.182412e-10,6.928333e-11,3.322255e-10,8.941763e-11,1.217756e-08,6.091677e-10,6.089504e-10,1.339568e-08,6.154030e-09,7.198931e-10,1.458566e-09,8.332488e-09,1.180941e-10,1.180941e-10,1.273456e-09,2.965260e-09,6.874976e-11,4.307466e-09,5.523004e-09,2.215568e-09,6.827659e-09,1.456623e-08,6.578050e-11,6.578050e-11,2.819714e-07,9.747850e-09,2.266114e-08,1.564969e-08,5.166784e-12,4.587034e-06,9.377017e+03,3.301260e+03,3.301260e+03
2018-08-22,4.170000e+01,-1.159000e+02,9.090840e+02,9.090840e+02,3.209431e-09,1.118305e-10,1.729703e-10,1.084738e-10,2.602591e-10,5.067746e-08,7.580817e-11,8.919233e-13,4.667221e-12,4.271023e-11,1.817246e-11,1.236587e-12,6.449069e-13,2.336075e-11,1.645772e-11,6.628032e-12,3.743992e-11,2.490648e-11,2.434690e-11,1.659441e-11,,9.027983e-12,1.429244e-11,7.724692e-13,8.192373e-12,3.190074e-12,4.602961e-12,2.916126e-13,1.301397e-12,7.601619e-13,3.692215e-12,1.012970e-12,1.330921e-10,6.766744e-12,6.628032e-12,1.464869e-10,6.907506e-11,8.084648e-12,1.645772e-11,9.361743e-11,1.236587e-12,1.236587e-12,1.429244e-11,3.238873e-11,7.724692e-13,4.745364e-11,6.234641e-11,2.434690e-11,7.670010e-11,1.633934e-10,6.449069e-13,6.449069e-13,3.209431e-09,1.084738e-10,2.602591e-10,1.729703e-10,,5.067746e-08,3.483669e+03,2.574585e+03,2.574585e+03
2018-08-22,4.190000e+01,-1.161000e+02,2.817969e+03,2.817969e+03,7.183011e-09,2.609378e-10,4.035973e-10,2.514620e-10,5.762882e-10,1.172821e-07,1.743588e-10,2.064165e-12,1.026788e-11,9.737934e-11,3.937366e-11,3.091468e-12,1.612267e-12,5.521631e-11,3.702987e-11,1.532732e-11,8.423984e-11,5.860348e-11,5.648481e-11,3.733741e-11,1.174269e-13,2.083381e-11,3.287261e-11,1.755612e-12,1.884246e-11,7.177666e-12,1.055973e-11,6.676393e-13,3.160536e-12,1.846107e-12,8.418250e-12,2.302205e-12,3.085431e-10,1.572710e-11,1.532732e-11,3.395975e-10,1.555955e-10,1.840504e-11,3.702987e-11,2.110304e-10,3.091468e-12,3.091468e-12,3.287261e-11,7.605011e-11,1.755612e-12,1.106783e-10,1.428433e-10,5.648481e-11,1.764230e-10,3.757511e-10,1.612267e-12,1.612267e-12,7.183011e-09,2.514620e-10,5.762882e-10,4.035973e-10,1.174269e-13,1.172821e-07,4.926689e+03,2.108720e+03,2.108720e+03
