date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-08-23,3.130000e+01,-9.909999e+01,4.584901e-10,1.863842e-11,2.471004e-11,1.479188e-11,3.717988e-11,7.239637e-09,1.137123e-11,1.274176e-13,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,2.057215e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,1.228856e-12,3.987592e-13,5.415248e-13,3.837008e-14,1.859139e-13,1.085946e-13,4.430658e-13,1.381323e-13,2.117944e-11,8.757065e-13,8.285040e-13,2.288365e-11,7.868456e-12,9.786542e-13,2.057215e-12,1.090433e-11,1.429244e-12,3.512625e-12,7.022448e-14,5.012093e-12,6.050168e-12,2.921628e-12,1.149864e-11,2.047044e-11,4.584901e-10,1.479188e-11,3.717988e-11,2.471004e-11,7.239637e-09,7.774808e-09,,,,,,,,,,,,
2018-08-23,3.170000e+01,-9.490001e+01,4.584901e-10,2.795762e-11,2.471004e-11,1.479188e-11,5.576982e-11,4.343782e-09,1.137123e-11,7.645056e-14,1.400166e-12,5.125229e-12,3.028743e-12,4.247408e-12,2.057215e-12,1.242756e-12,9.359982e-12,4.395261e-12,2.921628e-12,3.111451e-12,2.083381e-12,2.858488e-12,2.106734e-13,1.228856e-12,3.987592e-13,4.061436e-13,2.302205e-14,5.577416e-13,3.257837e-13,2.215329e-13,1.381323e-13,3.246924e-11,1.243190e-12,1.242756e-12,3.495518e-11,9.382828e-12,8.279249e-13,2.057215e-12,1.226797e-11,2.858488e-12,6.330789e-12,2.106734e-13,9.399950e-12,1.375524e-11,2.921628e-12,1.144768e-11,2.812455e-11,4.584901e-10,1.479188e-11,5.576982e-11,2.471004e-11,4.343782e-09,4.897896e-09,6.182936e-13,9.673603e-13,3.522807e-13,6.182936e-13,6.182936e-13,9.673603e-13,9.673603e-13,3.522807e-13,,,,
2018-08-23,3.190000e+01,-9.430000e+01,9.169802e-10,3.727683e-11,4.942008e-11,2.958376e-11,1.115396e-10,8.687564e-09,1.516164e-11,1.529011e-13,2.333610e-12,1.025046e-11,4.543114e-12,8.494817e-12,4.114431e-12,2.485512e-12,1.871996e-11,8.790522e-12,5.843256e-12,6.222902e-12,3.472301e-12,4.287732e-12,4.213469e-13,2.457712e-12,7.975184e-13,8.122872e-13,4.604409e-14,1.115483e-12,6.515673e-13,4.430658e-13,2.762646e-13,4.583335e-11,2.486381e-12,2.485512e-12,5.080524e-11,1.725128e-11,1.655850e-12,4.114431e-12,2.302156e-11,4.287732e-12,1.196712e-11,4.213469e-13,1.667620e-11,2.751049e-11,5.843256e-12,1.531454e-11,4.866828e-11,9.169802e-10,2.958376e-11,1.115396e-10,4.942008e-11,8.687564e-09,9.795793e-09,6.182936e-13,1.934721e-12,7.045615e-13,6.182936e-13,6.182936e-13,1.934721e-12,1.934721e-12,7.045615e-13,,,,
2018-08-23,3.210000e+01,-1.021000e+02,3.056601e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,1.371477e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,3.069606e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.186023e-11,7.558181e-13,8.285040e-13,1.344455e-11,7.458837e-12,7.026791e-13,1.371477e-12,9.532993e-12,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,3.056601e-10,9.861254e-12,1.858994e-11,1.647336e-11,5.791710e-09,6.142294e-09,,,,,,,,,,,,
2018-08-23,3.210000e+01,-1.007000e+02,1.222640e-09,4.659604e-11,6.589344e-11,3.944502e-11,9.294970e-11,1.882306e-08,2.653286e-11,3.312858e-13,1.866888e-12,1.537569e-11,6.057485e-12,8.494817e-12,6.171646e-12,2.485512e-12,1.247998e-11,8.790522e-12,8.764884e-12,6.222902e-12,3.472301e-12,5.716976e-12,2.808979e-13,2.867331e-12,1.196278e-12,1.759956e-12,1.074362e-13,5.577416e-13,3.257837e-13,1.403042e-12,3.683527e-13,5.468583e-11,2.654920e-12,2.485512e-12,5.982626e-11,2.430050e-11,3.063670e-12,6.171646e-12,3.353582e-11,5.716976e-12,1.196712e-11,2.808979e-13,1.796499e-11,2.127050e-11,8.764884e-12,2.686415e-11,5.689953e-11,1.222640e-09,3.944502e-11,9.294970e-11,6.589344e-11,1.882306e-08,2.024399e-08,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,,,
2018-08-23,3.250000e+01,-9.850000e+01,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,3.717988e-11,8.687564e-09,1.137123e-11,1.529011e-13,9.334442e-13,6.833638e-12,3.028743e-12,4.247408e-12,2.742954e-12,1.242756e-12,6.239988e-12,4.395261e-12,3.895504e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404490e-13,1.638475e-12,5.316789e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,6.645987e-13,1.841764e-13,2.268331e-11,1.143283e-12,1.242756e-12,2.506935e-11,1.150086e-11,1.397684e-12,2.742954e-12,1.564149e-11,2.858488e-12,5.636329e-12,1.404490e-13,8.635266e-12,1.063525e-11,3.895504e-12,1.152413e-11,2.605488e-11,6.113202e-10,1.972251e-11,3.717988e-11,3.294672e-11,8.687564e-09,8.749377e+02,,,,,,,,,5.499489e+02,3.249889e+02,5.499489e+02,3.249889e+02
2018-08-23,3.270000e+01,-1.151000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,3.428692e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,2.083381e-12,2.858488e-12,1.404490e-13,1.638475e-12,6.645987e-13,9.476685e-13,6.139212e-14,1.859139e-13,1.085946e-13,7.384430e-13,1.841764e-13,2.268331e-11,1.217128e-12,1.242756e-12,2.514320e-11,1.320926e-11,1.673659e-12,3.428692e-12,1.831161e-11,2.858488e-12,6.330789e-12,1.404490e-13,9.329726e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113202e-10,1.972251e-11,5.576982e-11,3.294672e-11,1.013549e-08,1.085525e-08,,,,,,,,,,,,
2018-08-23,3.350000e+01,-1.109000e+02,4.126411e-09,1.491073e-10,2.306270e-10,1.429882e-10,3.346189e-10,6.805259e-08,9.855063e-11,1.197726e-12,5.600665e-12,5.637751e-11,2.271557e-11,3.185556e-11,2.125789e-11,9.113544e-12,4.679991e-11,3.369700e-11,3.213790e-11,2.178016e-11,1.180582e-11,1.858017e-11,9.831426e-13,1.065008e-11,4.120512e-12,6.092155e-12,3.837007e-13,1.673225e-12,9.773510e-13,4.873724e-12,1.335279e-12,1.764882e-10,8.859578e-12,9.113544e-12,1.944613e-10,8.974316e-11,1.059637e-11,2.125789e-11,1.215974e-10,1.858017e-11,4.366139e-11,9.831426e-13,6.322470e-11,8.049691e-11,3.213790e-11,9.974835e-11,2.123832e-10,4.126411e-09,1.429882e-10,3.346189e-10,2.306270e-10,6.805259e-08,2.749927e+02,1.854881e-12,9.673603e-13,1.174269e-13,1.854881e-12,1.854881e-12,9.673603e-13,9.673603e-13,1.174269e-13,1.999924e+02,7.500038e+01,1.999924e+02,7.500038e+01
2018-08-23,3.370000e+01,-9.609999e+01,9.169802e-10,3.727683e-11,4.942008e-11,3.451439e-11,7.435976e-11,1.592720e-08,2.274245e-11,2.803187e-13,1.400166e-12,1.366728e-11,6.057485e-12,6.371112e-12,4.800169e-12,2.071260e-12,1.247998e-11,7.325435e-12,7.791007e-12,5.185752e-12,2.777841e-12,4.287732e-12,2.106734e-13,2.457712e-12,9.304381e-13,1.353812e-12,9.208818e-14,3.718278e-13,2.171891e-13,1.107664e-12,3.223086e-13,4.386275e-11,2.018990e-12,2.071260e-12,4.795300e-11,2.218247e-11,2.376338e-12,4.800169e-12,2.935898e-11,4.287732e-12,9.148953e-12,2.106734e-13,1.364736e-11,1.980541e-11,7.791007e-12,2.302277e-11,5.061919e-11,9.169802e-10,3.451439e-11,7.435976e-11,4.942008e-11,1.592720e-08,1.700248e-08,6.182936e-13,3.224534e-13,,6.182936e-13,6.182936e-13,3.224534e-13,3.224534e-13,,,,,
2018-08-23,3.390000e+01,-9.530000e+01,6.113202e-09,2.236610e-10,3.377039e-10,2.120170e-10,4.833385e-10,9.990699e-08,1.440355e-10,1.758363e-12,8.867720e-12,8.200366e-11,3.331617e-11,4.672149e-11,3.154397e-11,1.284181e-11,6.863986e-11,4.981296e-11,4.869380e-11,3.215166e-11,1.805597e-11,2.715564e-11,1.474714e-12,1.597513e-11,6.114308e-12,8.799779e-12,5.678771e-13,2.602794e-12,1.520324e-12,7.162897e-12,1.933852e-12,2.646804e-10,1.321987e-11,1.284181e-11,2.907421e-10,1.312949e-10,1.548196e-11,3.154397e-11,1.783209e-10,2.715564e-11,6.477746e-11,1.474714e-12,9.340782e-11,1.184528e-10,4.869380e-11,1.457939e-10,3.129405e-10,6.113202e-09,2.120170e-10,4.833385e-10,3.377039e-10,9.990699e-08,9.774839e+02,2.473174e-12,1.612267e-12,1.174269e-13,2.473174e-12,2.473174e-12,1.612267e-12,1.612267e-12,1.174269e-13,5.774946e+02,3.999893e+02,5.774946e+02,3.999893e+02
