date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c5h8fire,terpenesfire,c2h6sfire,isoprene_isoprene,isoprene_total,terpenes_monoterpenes,terpenes_total,other_dms
2018-08-26,3.170000e+01,-1.039000e+02,3.056601e-10,9.319209e-12,1.647336e-11,1.479188e-11,3.717988e-11,5.791710e-09,7.580818e-12,1.019341e-13,4.667221e-13,5.125229e-12,1.514371e-12,2.123704e-12,2.057215e-12,8.285040e-13,3.119994e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,8.192373e-13,3.987592e-13,5.415248e-13,3.069606e-14,1.859139e-13,1.085946e-13,4.430658e-13,1.381323e-13,1.186023e-11,8.757065e-13,8.285040e-13,1.356444e-11,7.458837e-12,9.709801e-13,2.057215e-12,1.048703e-11,1.429244e-12,3.512625e-12,7.022448e-14,5.012093e-12,6.050168e-12,2.921628e-12,7.682752e-12,1.665455e-11,3.056601e-10,1.479188e-11,3.717988e-11,1.647336e-11,5.791710e-09,6.165815e-09,,,,,,,,,,,,
2018-08-26,3.170000e+01,-1.017000e+02,6.113202e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334442e-13,8.542047e-12,3.028743e-12,4.247408e-12,3.428692e-12,1.242756e-12,6.239988e-12,4.395261e-12,4.869380e-12,3.111451e-12,2.083381e-12,2.858488e-12,1.404490e-13,1.638475e-12,6.645987e-13,9.476685e-13,5.371811e-14,1.859139e-13,1.085946e-13,7.384430e-13,1.841764e-13,2.268331e-11,1.217128e-12,1.242756e-12,2.514320e-11,1.320926e-11,1.665985e-12,3.428692e-12,1.830394e-11,2.858488e-12,6.330789e-12,1.404490e-13,9.329726e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113202e-10,1.972251e-11,5.576982e-11,3.294672e-11,1.013549e-08,1.085525e-08,,,,,,,,,,,,
2018-08-26,3.310000e+01,-1.107000e+02,1.528300e-10,9.319209e-12,8.236680e-12,4.930627e-12,1.858994e-11,2.895855e-09,3.790409e-12,5.096704e-14,4.667221e-13,1.708410e-12,1.514371e-12,2.123704e-12,6.857384e-13,4.142520e-13,3.119994e-12,1.465087e-12,9.738759e-13,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,4.096187e-13,1.329197e-13,2.707624e-13,1.534803e-14,,,2.215329e-13,4.604409e-14,1.082308e-11,2.675770e-13,4.142520e-13,1.150491e-11,3.632400e-12,4.190302e-13,6.857384e-13,4.737168e-12,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,9.738759e-13,3.841376e-12,9.400333e-12,1.528300e-10,4.930627e-12,1.858994e-11,8.236680e-12,2.895855e-09,3.080442e-09,,,,,,,,,,,,
2018-08-26,3.350000e+01,-1.109000e+02,3.056601e-10,9.319209e-12,1.647336e-11,9.861255e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,2.123704e-12,1.371477e-12,4.142520e-13,3.119994e-12,2.930174e-12,1.947752e-12,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,8.192373e-13,2.658395e-13,4.061436e-13,2.302205e-14,1.859139e-13,1.085946e-13,3.692215e-13,9.208818e-14,1.082308e-11,7.558181e-13,4.142520e-13,1.199315e-11,5.750428e-12,6.950051e-13,1.371477e-12,7.816910e-12,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,6.050168e-12,1.947752e-12,7.657269e-12,1.565519e-11,3.056601e-10,9.861255e-12,1.858994e-11,1.647336e-11,4.343782e-09,1.775051e+03,1.336417e+03,4.386340e+02,1.336417e+03,4.386340e+02,,,,,,,,
2018-08-26,3.750000e+01,-1.033000e+02,4.584901e-10,1.863842e-11,2.471004e-11,1.479188e-11,3.717988e-11,7.239637e-09,1.137123e-11,1.274176e-13,4.667221e-13,5.125229e-12,3.028743e-12,2.123704e-12,2.057215e-12,8.285040e-13,6.239988e-12,2.930174e-12,2.921628e-12,2.074301e-12,1.388920e-12,1.429244e-12,7.022448e-14,1.228856e-12,3.987592e-13,5.415248e-13,3.837008e-14,1.859139e-13,1.085946e-13,5.169101e-13,1.381323e-13,2.117944e-11,9.495508e-13,8.285040e-13,2.295750e-11,9.382828e-12,9.786542e-13,2.057215e-12,1.241870e-11,1.429244e-12,3.512625e-12,7.022448e-14,5.012093e-12,9.170162e-12,2.921628e-12,1.149864e-11,2.359044e-11,4.584901e-10,1.479188e-11,3.717988e-11,2.471004e-11,7.239637e-09,7.774808e-09,,,,,,,,,,,,
2018-08-26,3.770000e+01,-1.191000e+02,1.222640e-09,5.591525e-11,6.589344e-11,3.944502e-11,1.487195e-10,1.158342e-08,2.274245e-11,2.038682e-13,3.267055e-12,1.366728e-11,6.057485e-12,1.061852e-11,5.485907e-12,3.314016e-12,2.495995e-11,1.172070e-11,7.791007e-12,8.297203e-12,4.861222e-12,5.716976e-12,5.617958e-13,3.276949e-12,1.063358e-12,1.083050e-12,6.139212e-14,1.487311e-12,8.687565e-13,5.907544e-13,3.683527e-13,6.747951e-11,3.315175e-12,3.314016e-12,7.410870e-11,2.300171e-11,2.207800e-12,5.485907e-12,3.069542e-11,5.716976e-12,1.547974e-11,5.617958e-13,2.175851e-11,3.668065e-11,7.791007e-12,2.294632e-11,6.741797e-11,1.222640e-09,3.944502e-11,1.487195e-10,6.589344e-11,1.158342e-08,1.306106e-08,,,,,1.236587e-12,2.579627e-12,9.394153e-13,1.236587e-12,1.236587e-12,2.579627e-12,2.579627e-12,9.394153e-13
2018-08-26,3.770000e+01,-1.193000e+02,1.222640e-09,5.591525e-11,6.589344e-11,3.944502e-11,1.487195e-10,1.158342e-08,2.274245e-11,2.038682e-13,2.800332e-12,1.366728e-11,6.057486e-12,1.061852e-11,5.485907e-12,3.314017e-12,2.495995e-11,1.025561e-11,7.791008e-12,8.297203e-12,4.166762e-12,5.716976e-12,5.617958e-13,3.276949e-12,1.063358e-12,1.083050e-12,6.139212e-14,1.487311e-12,8.687565e-13,5.907544e-13,3.683527e-13,6.701278e-11,3.315175e-12,3.314017e-12,7.364197e-11,2.300171e-11,2.207800e-12,5.485907e-12,3.069542e-11,5.716976e-12,1.478528e-11,5.617958e-13,2.106406e-11,3.521556e-11,7.791008e-12,2.294632e-11,6.595289e-11,1.222640e-09,3.944502e-11,1.487195e-10,6.589344e-11,1.158342e-08,8.738239e+02,5.023316e+02,3.714922e+02,5.023316e+02,3.714922e+02,1.236587e-12,2.579627e-12,9.394152e-13,1.236587e-12,1.236587e-12,2.579627e-12,2.579627e-12,9.394152e-13
2018-08-26,3.790000e+01,-9.790001e+01,1.528300e-10,1.863842e-11,1.647336e-11,4.930627e-12,1.858994e-11,1.447927e-09,7.580818e-12,2.548352e-14,4.667221e-13,1.708410e-12,1.514371e-12,,6.857384e-13,8.285040e-13,3.119994e-12,4.395261e-12,1.947752e-12,2.074301e-12,,,1.404490e-13,4.096187e-13,1.329197e-13,,7.674015e-15,,1.085946e-13,4.430658e-13,1.381323e-13,2.117944e-11,6.897926e-13,8.285040e-13,2.269774e-11,3.632400e-12,1.405937e-13,6.857384e-13,4.458732e-12,,,1.404490e-13,1.404490e-13,7.515255e-12,1.947752e-12,7.606301e-12,1.706931e-11,1.528300e-10,4.930627e-12,1.858994e-11,1.647336e-11,1.447927e-09,1.640751e-09,,,,,6.182936e-13,,,6.182936e-13,6.182936e-13,,,
2018-08-26,3.930000e+01,-1.227000e+02,7.794332e-09,2.888955e-10,4.365440e-10,2.711845e-10,6.320580e-10,1.274176e-07,1.857300e-10,2.242550e-12,1.120133e-11,1.076298e-10,4.391677e-11,5.946372e-11,4.045856e-11,1.698433e-11,9.047983e-11,6.299874e-11,6.135419e-11,4.148602e-11,2.222273e-11,3.573110e-11,1.896061e-12,2.048093e-11,7.842264e-12,1.137202e-11,7.290314e-13,3.346450e-12,1.954702e-12,9.230537e-12,2.486381e-12,3.415828e-10,1.701807e-11,1.698433e-11,3.755852e-10,1.720275e-10,1.994332e-11,4.045856e-11,2.324294e-10,3.573110e-11,8.168645e-11,1.896061e-12,1.193136e-10,1.534786e-10,6.135419e-11,1.879726e-10,4.028053e-10,7.794332e-09,2.711845e-10,6.320580e-10,4.365440e-10,1.274176e-07,1.000073e+03,7.000336e+02,3.000397e+02,7.000336e+02,3.000397e+02,3.091468e-12,1.934721e-12,1.174269e-13,3.091468e-12,3.091468e-12,1.934721e-12,1.934721e-12,1.174269e-13
2018-08-26,3.950000e+01,-1.225000e+02,3.056601e-10,1.863842e-11,1.647336e-11,4.930627e-12,1.858994e-11,4.343782e-09,7.580818e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,2.123704e-12,6.857385e-13,8.285040e-13,6.239988e-12,4.395261e-12,1.947752e-12,2.074301e-12,6.944602e-13,1.429244e-12,1.404490e-13,4.096187e-13,1.329197e-13,2.707624e-13,1.534803e-14,,1.085946e-13,4.430658e-13,1.381323e-13,2.117944e-11,6.897926e-13,8.285040e-13,2.269773e-11,5.340809e-12,4.190302e-13,6.857385e-13,6.445578e-12,1.429244e-12,2.818165e-12,1.404490e-13,4.387857e-12,1.063525e-11,1.947752e-12,7.657269e-12,2.024027e-11,3.056601e-10,4.930627e-12,1.858994e-11,1.647336e-11,4.343782e-09,2.125026e+03,1.274996e+03,8.500298e+02,1.274996e+03,8.500298e+02,6.182936e-13,,,6.182936e-13,6.182936e-13,,,
