date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,terpenes_monoterpenes,terpenes_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2018-08-29,3.110000e+01,-9.650000e+01,3.056601e-10,2.795762e-11,3.294672e-11,4.930627e-12,1.858994e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,1.236587e-12,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.106734e-13,8.192373e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,7.384430e-13,2.302205e-13,3.257295e-11,1.371767e-12,1.242756e-12,3.518747e-11,5.750428e-12,2.759750e-13,6.857384e-13,6.712141e-12,1.236587e-12,1.236587e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,3.056601e-10,4.930627e-12,1.858994e-11,3.294672e-11,2.895855e-09,3.257982e-09,,,,,,,,,
2018-08-29,3.130000e+01,-9.770000e+01,9.169802e-10,3.727683e-11,4.942008e-11,2.958376e-11,7.435976e-11,1.447927e-08,2.274245e-11,2.548352e-13,1.400166e-12,1.195887e-11,4.543114e-12,6.182936e-13,6.371112e-12,4.800169e-12,2.071260e-12,9.359982e-12,7.325435e-12,6.817132e-12,5.185752e-12,2.777841e-12,4.287732e-12,2.106734e-13,2.457712e-12,9.304381e-13,1.353812e-12,8.441417e-14,3.718278e-13,2.171891e-13,1.107664e-12,2.762646e-13,4.386275e-11,1.972946e-12,2.071260e-12,4.790696e-11,1.895969e-11,2.368665e-12,4.800169e-12,2.612852e-11,6.182936e-13,6.182936e-13,4.287732e-12,9.148953e-12,2.106734e-13,1.364736e-11,1.668542e-11,6.817132e-12,2.299729e-11,4.649984e-11,9.169802e-10,2.958376e-11,7.435976e-11,4.942008e-11,1.447927e-08,1.554962e-08,3.224534e-13,3.224534e-13,3.224534e-13,,,,,,
2018-08-29,3.170000e+01,-1.017000e+02,2.445281e-09,9.319209e-11,1.400236e-10,8.382066e-11,2.044893e-10,4.054197e-08,6.064654e-11,7.135386e-13,3.267055e-12,3.416819e-11,1.362934e-11,1.236587e-12,1.911334e-11,1.302903e-11,5.385276e-12,2.807995e-11,2.051122e-11,1.947752e-11,1.244580e-11,6.944602e-12,1.143395e-11,6.320203e-13,6.553898e-12,2.525475e-12,3.655293e-12,2.302205e-13,1.115483e-12,6.515673e-13,2.879928e-12,7.827496e-13,1.089049e-10,5.429728e-12,5.385276e-12,1.197199e-10,5.435143e-11,6.410988e-12,1.302903e-11,7.379145e-11,1.236587e-12,1.236587e-12,1.143395e-11,2.605794e-11,6.320203e-13,3.812391e-11,4.859117e-11,1.947752e-11,6.136008e-11,1.294288e-10,2.445281e-09,8.382066e-11,2.044893e-10,1.400236e-10,4.054197e-08,4.341558e-08,6.449069e-13,6.449069e-13,6.449069e-13,,,,,,
2018-08-29,3.250000e+01,-9.709999e+01,1.069810e-09,3.727683e-11,5.765676e-11,3.944502e-11,9.294970e-11,1.737513e-08,2.653286e-11,3.058023e-13,1.400166e-12,1.537569e-11,6.057485e-12,6.182936e-13,8.494817e-12,5.485907e-12,2.485512e-12,1.247998e-11,8.790522e-12,8.764884e-12,6.222902e-12,3.472301e-12,4.287732e-12,2.808979e-13,2.867331e-12,1.063358e-12,1.624574e-12,9.976220e-14,3.718278e-13,2.171891e-13,1.255353e-12,3.683527e-13,4.489990e-11,2.212723e-12,2.485512e-12,4.959814e-11,2.430050e-11,2.787695e-12,5.485907e-12,3.257410e-11,6.182936e-13,6.182936e-13,4.287732e-12,1.196712e-11,2.808979e-13,1.653575e-11,2.127050e-11,8.764884e-12,2.683866e-11,5.687404e-11,1.069810e-09,3.944502e-11,9.294970e-11,5.765676e-11,1.737513e-08,1.863499e-08,3.224534e-13,3.224534e-13,3.224534e-13,,,,,,
2018-08-29,3.270000e+01,-1.151000e+02,2.292451e-09,8.387287e-11,1.235502e-10,7.889003e-11,1.858994e-10,3.764611e-08,5.685613e-11,6.625716e-13,3.267055e-12,3.075137e-11,1.211497e-11,1.236587e-12,1.698963e-11,1.165755e-11,4.971024e-12,2.495995e-11,1.904613e-11,1.850364e-11,1.244580e-11,6.944602e-12,1.000471e-11,5.617958e-13,6.144280e-12,2.259635e-12,3.384530e-12,2.148724e-13,9.295694e-13,5.429728e-13,2.732239e-12,7.367055e-13,9.958573e-11,4.941486e-12,4.971024e-12,1.094982e-10,4.901062e-11,5.859038e-12,1.165755e-11,6.652721e-11,1.236587e-12,1.236587e-12,1.000471e-11,2.393424e-11,5.617958e-13,3.450074e-11,4.400608e-11,1.850364e-11,5.751870e-11,1.200284e-10,2.292451e-09,7.889003e-11,1.858994e-10,1.235502e-10,3.764611e-08,4.032690e-08,6.449069e-13,6.449069e-13,6.449069e-13,,,,,,
2018-08-29,3.370000e+01,-1.175000e+02,6.113201e-10,1.863842e-11,3.294672e-11,1.972251e-11,5.576982e-11,1.013549e-08,1.516164e-11,1.783847e-13,9.334441e-13,8.542046e-12,3.028742e-12,,4.247408e-12,3.428692e-12,1.242756e-12,6.239987e-12,4.395261e-12,4.869380e-12,3.111451e-12,1.388920e-12,2.858488e-12,1.404489e-13,1.638475e-12,6.645987e-13,8.122872e-13,5.371811e-14,1.859139e-13,1.085946e-13,7.384430e-13,1.841764e-13,2.268331e-11,1.217128e-12,1.242756e-12,2.514319e-11,1.320926e-11,1.530604e-12,3.428692e-12,1.816856e-11,,,2.858488e-12,5.636329e-12,1.404489e-13,8.635266e-12,1.063525e-11,4.869380e-12,1.534002e-11,3.084465e-11,6.113201e-10,1.972251e-11,5.576982e-11,3.294672e-11,1.013549e-08,1.090898e+03,,,,8.181725e+02,2.727252e+02,8.181725e+02,2.727252e+02,,
2018-08-29,3.410000e+01,-9.690001e+01,1.528300e-10,9.319209e-12,1.647336e-11,9.861254e-12,1.858994e-11,4.343782e-09,3.790409e-12,7.645056e-14,4.667221e-13,3.416819e-12,1.514371e-12,,2.123704e-12,1.371477e-12,4.142520e-13,3.119994e-12,1.465087e-12,1.947752e-12,1.037150e-12,6.944602e-13,1.429244e-12,7.022448e-14,4.096187e-13,2.658395e-13,2.707624e-13,2.302205e-14,1.859139e-13,1.085946e-13,2.953772e-13,9.208818e-14,1.082308e-11,6.819738e-13,4.142520e-13,1.191931e-11,5.340809e-12,5.596240e-13,1.371477e-12,7.271910e-12,,,1.429244e-12,2.818165e-12,7.022448e-14,4.317633e-12,4.585081e-12,1.947752e-12,3.866860e-12,1.039969e-11,1.528300e-10,9.861254e-12,1.858994e-11,1.647336e-11,4.343782e-09,4.541537e-09,,,,,,,,,
2018-08-29,3.430000e+01,-1.111000e+02,6.113202e-10,2.795762e-11,3.294672e-11,1.972251e-11,7.435976e-11,5.791710e-09,1.137123e-11,1.019341e-13,1.400166e-12,6.833638e-12,3.028743e-12,6.182936e-13,4.247408e-12,2.742954e-12,1.657008e-12,1.247998e-11,4.395261e-12,3.895504e-12,4.148602e-12,2.083381e-12,2.858488e-12,2.808979e-13,1.638475e-12,5.316789e-13,5.415248e-13,3.069606e-14,7.436555e-13,4.343782e-13,2.953772e-13,1.841764e-13,3.350639e-11,1.657587e-12,1.657008e-12,3.682099e-11,1.150086e-11,1.103900e-12,2.742954e-12,1.534771e-11,6.182936e-13,6.182936e-13,2.858488e-12,6.330789e-12,2.808979e-13,9.470175e-12,1.687524e-11,3.895504e-12,1.147316e-11,3.224390e-11,6.113202e-10,1.972251e-11,7.435976e-11,3.294672e-11,5.791710e-09,6.530529e-09,1.289814e-12,1.289814e-12,1.289814e-12,,,,,4.697077e-13,4.697077e-13
2018-08-29,3.610000e+01,-9.790001e+01,3.056601e-10,2.795762e-11,3.294672e-11,4.930627e-12,1.858994e-11,2.895855e-09,1.137123e-11,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,1.236587e-12,2.123704e-12,6.857384e-13,1.242756e-12,6.239988e-12,8.790522e-12,3.895504e-12,4.148602e-12,6.944602e-13,1.429244e-12,2.106734e-13,8.192373e-13,1.329197e-13,1.353812e-13,7.674015e-15,1.859139e-13,2.171891e-13,7.384430e-13,2.302205e-13,3.257295e-11,1.371767e-12,1.242756e-12,3.518747e-11,5.750428e-12,2.759750e-13,6.857384e-13,6.712141e-12,1.236587e-12,1.236587e-12,1.429244e-12,2.818165e-12,2.106734e-13,4.458082e-12,1.503051e-11,3.895504e-12,1.142219e-11,3.034821e-11,3.056601e-10,4.930627e-12,1.858994e-11,3.294672e-11,2.895855e-09,3.257982e-09,,,,,,,,,
2018-08-29,3.670000e+01,-9.809999e+01,1.528300e-10,1.863842e-11,2.471004e-11,4.930627e-12,1.858994e-11,2.895855e-09,7.580818e-12,5.096704e-14,4.667221e-13,3.416819e-12,1.514371e-12,6.182936e-13,2.123704e-12,6.857384e-13,8.285040e-13,6.239988e-12,5.860348e-12,2.921628e-12,3.111451e-12,6.944602e-13,,1.404490e-13,4.096187e-13,1.329197e-13,,7.674015e-15,,1.085946e-13,5.907544e-13,1.381323e-13,2.221659e-11,8.374812e-13,8.285040e-13,2.388258e-11,5.340809e-12,1.405937e-13,6.857384e-13,6.167141e-12,6.182936e-13,6.182936e-13,,2.818165e-12,1.404490e-13,2.958613e-12,1.210034e-11,2.921628e-12,7.631785e-12,2.265375e-11,1.528300e-10,4.930627e-12,1.858994e-11,2.471004e-11,2.895855e-09,3.096916e-09,,,,,,,,,
