date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2018-09-10,3.150000e+01,-9.930000e+01,4.653381e-10,1.659508e-11,2.507911e-11,1.608515e-11,3.638751e-11,7.557704e-09,1.129565e-11,1.330156e-13,6.411037e-13,6.316445e-12,2.527926e-12,2.084910e-13,1.402584e-13,3.406792e-12,2.386219e-12,9.910354e-13,5.428446e-12,3.700630e-12,3.600679e-12,2.481226e-12,1.396317e-12,2.177469e-12,1.069100e-13,1.247210e-12,4.625314e-13,6.772017e-13,4.339381e-14,2.021686e-13,1.180891e-13,5.460441e-13,1.502094e-13,1.971741e-11,1.016511e-12,9.910354e-13,2.172496e-11,1.009158e-11,1.183127e-12,2.386219e-12,1.366093e-11,2.084910e-13,2.084910e-13,2.177469e-12,4.803109e-12,1.069100e-13,7.087489e-12,9.129076e-12,3.600679e-12,1.142867e-11,2.415842e-11,1.402584e-13,1.402584e-13,4.653381e-10,1.608515e-11,3.638751e-11,2.507911e-11,7.557704e-09,8.100594e-09,,,,,,
2018-09-10,3.170000e+01,-1.009000e+02,6.647687e-10,2.413830e-11,3.582729e-11,2.251922e-11,5.255973e-11,1.070675e-08,1.545720e-11,1.884387e-13,9.616556e-13,8.917335e-12,3.611323e-12,2.779880e-13,1.402584e-13,4.955334e-12,3.430190e-12,1.441506e-12,7.464114e-12,5.242559e-12,5.083311e-12,3.383489e-12,1.904069e-12,3.014957e-12,1.527286e-13,1.692642e-12,6.648890e-13,9.421937e-13,6.008374e-14,2.830360e-13,1.653248e-13,7.708857e-13,2.102931e-13,2.848344e-11,1.429540e-12,1.441506e-12,3.135449e-11,1.422130e-11,1.667167e-12,3.430190e-12,1.931866e-11,2.779880e-13,2.779880e-13,3.014957e-12,6.859403e-12,1.527286e-13,1.002709e-11,1.270667e-11,5.083311e-12,1.564564e-11,3.343563e-11,1.402584e-13,1.402584e-13,6.647687e-10,2.251922e-11,5.255973e-11,3.582729e-11,1.070675e-08,1.148242e-08,,,,,,
2018-09-10,3.250000e+01,-1.003000e+02,6.980071e-10,2.564694e-11,3.761866e-11,2.359156e-11,5.660279e-11,1.102165e-08,1.664622e-11,1.939811e-13,9.616556e-13,9.288890e-12,3.791889e-12,2.779880e-13,1.402584e-13,5.265043e-12,3.579328e-12,1.441506e-12,8.142670e-12,5.550944e-12,5.295116e-12,3.609055e-12,2.031007e-12,3.014957e-12,1.680014e-13,1.781729e-12,6.937972e-13,1.001081e-12,6.342173e-14,2.830360e-13,1.653248e-13,8.030060e-13,2.203071e-13,3.021765e-11,1.471674e-12,1.441506e-12,3.313083e-11,1.486251e-11,1.758300e-12,3.579328e-12,2.020013e-11,2.779880e-13,2.779880e-13,3.014957e-12,7.296049e-12,1.680014e-13,1.047901e-11,1.369361e-11,5.295116e-12,1.684020e-11,3.582893e-11,1.402584e-13,1.402584e-13,6.980071e-10,2.359156e-11,5.660279e-11,3.761866e-11,1.102165e-08,1.183747e-08,,,,,,
2018-09-10,3.270000e+01,-9.890001e+01,4.653381e-10,1.659508e-11,2.507911e-11,1.608516e-11,3.638751e-11,7.242799e-09,1.070114e-11,1.274733e-13,6.411037e-13,6.316445e-12,2.527926e-12,2.084910e-13,1.402584e-13,3.406792e-12,2.386219e-12,9.910354e-13,5.428447e-12,3.700630e-12,3.600679e-12,2.481226e-12,1.269379e-12,2.009971e-12,1.069100e-13,1.158124e-12,4.625314e-13,6.477582e-13,4.172482e-14,2.021686e-13,1.180891e-13,5.299839e-13,1.401954e-13,1.971741e-11,9.904370e-13,9.910354e-13,2.169888e-11,1.000250e-11,1.152014e-12,2.386219e-12,1.354073e-11,2.084910e-13,2.084910e-13,2.009971e-12,4.676172e-12,1.069100e-13,6.793053e-12,9.129076e-12,3.600679e-12,1.082862e-11,2.355837e-11,1.402584e-13,1.402584e-13,4.653381e-10,1.608516e-11,3.638751e-11,2.507911e-11,7.242799e-09,8.249851e+02,5.500000e+02,2.749851e+02,5.500000e+02,2.749851e+02,,
2018-09-10,3.270000e+01,-1.139000e+02,5.318149e-10,1.961237e-11,2.866184e-11,1.822984e-11,4.043057e-11,8.502417e-09,1.248467e-11,1.496425e-13,7.479543e-13,7.059556e-12,2.889058e-12,2.084910e-13,1.402584e-13,4.026209e-12,2.684496e-12,1.081129e-12,6.107002e-12,4.317401e-12,4.024288e-12,2.706792e-12,1.523255e-12,2.344966e-12,1.221829e-13,1.336296e-12,5.203479e-13,7.655324e-13,4.840079e-14,2.021686e-13,1.180891e-13,6.102846e-13,1.602233e-13,2.306711e-11,1.090765e-12,1.081129e-12,2.523901e-11,1.128491e-11,1.334281e-12,2.684496e-12,1.530369e-11,2.084910e-13,2.084910e-13,2.344966e-12,5.549464e-12,1.221829e-13,8.016613e-12,1.042440e-11,4.024288e-12,1.263431e-11,2.708300e-11,1.402584e-13,1.402584e-13,5.318149e-10,1.822984e-11,4.043057e-11,2.866184e-11,8.502417e-09,9.121553e-09,,,,,,
2018-09-10,3.350000e+01,-1.051000e+02,9.639146e-10,4.375066e-11,5.194958e-11,3.109796e-11,1.172486e-10,9.132225e-09,1.724073e-11,1.607272e-13,2.457564e-12,1.077511e-11,5.236418e-12,9.729579e-13,2.033746e-12,8.981543e-12,4.325022e-12,2.612729e-12,1.967812e-11,8.943188e-12,6.142334e-12,6.541413e-12,3.681200e-12,4.857430e-12,4.429129e-13,2.583507e-12,8.383382e-13,8.538630e-13,4.840079e-14,1.172578e-12,6.849169e-13,4.657435e-13,2.904047e-13,5.274964e-11,2.613643e-12,2.612729e-12,5.797601e-11,1.859504e-11,1.740602e-12,4.325022e-12,2.466066e-11,9.729579e-13,9.729579e-13,4.857430e-12,1.266274e-11,4.429129e-13,1.796309e-11,2.862131e-11,6.142334e-12,1.740146e-11,5.216510e-11,2.033746e-12,2.033746e-12,9.639146e-10,3.109796e-11,1.172486e-10,5.194958e-11,9.132225e-09,1.029718e-08,,,,,7.406234e-13,7.406234e-13
2018-09-10,3.350000e+01,-1.161000e+02,7.910748e-09,2.881509e-10,4.388843e-10,2.734476e-10,6.347599e-10,1.284810e-07,1.890535e-10,2.261265e-12,1.111246e-11,1.081227e-10,4.369700e-11,3.335856e-12,1.823359e-12,6.039313e-11,4.086400e-11,1.702779e-11,9.092648e-11,6.383586e-11,6.205876e-11,4.150414e-11,2.272189e-11,3.567699e-11,1.924380e-12,2.066805e-11,7.920851e-12,1.151243e-11,7.326878e-13,3.315565e-12,1.936662e-12,9.298809e-12,2.503489e-12,3.407675e-10,1.705452e-11,1.702779e-11,3.748498e-10,1.724877e-10,2.016597e-11,4.086400e-11,2.335177e-10,3.335856e-12,3.335856e-12,3.567699e-11,8.311502e-11,1.924380e-12,1.207164e-10,1.547623e-10,6.205876e-11,1.913148e-10,4.081359e-10,1.823359e-12,1.823359e-12,7.910748e-09,2.734476e-10,6.347599e-10,4.388843e-10,1.284810e-07,1.377390e-07,,,,,1.532324e-13,1.532324e-13
2018-09-10,3.450000e+01,-1.095000e+02,2.659075e-10,9.051862e-12,1.433092e-11,9.651093e-12,2.021528e-11,4.408661e-09,6.539586e-12,7.759242e-14,4.274025e-13,3.715556e-12,1.444529e-12,1.389940e-13,7.012919e-14,2.167959e-12,1.342248e-12,5.405647e-13,3.392779e-12,2.158701e-12,2.118046e-12,1.353396e-12,7.616276e-13,1.172483e-12,6.109144e-14,7.126915e-13,2.601739e-13,3.827662e-13,2.503489e-14,1.213011e-13,7.085347e-14,3.212024e-13,8.011166e-14,1.083266e-11,5.934687e-13,5.405647e-13,1.196669e-11,5.872777e-12,6.679750e-13,1.342248e-12,7.883000e-12,1.389940e-13,1.389940e-13,1.172483e-12,2.929586e-12,6.109144e-14,4.163161e-12,5.551479e-12,2.118046e-12,6.617179e-12,1.428670e-11,7.012919e-14,7.012919e-14,2.659075e-10,9.651093e-12,2.021528e-11,1.433092e-11,4.408661e-09,4.718765e-09,,,,,,
2018-09-10,3.490000e+01,-1.119000e+02,6.315302e-10,2.866423e-11,3.403593e-11,2.037453e-11,7.681807e-11,5.983182e-09,1.129565e-11,1.053040e-13,1.602759e-12,7.059556e-12,3.430757e-12,6.254729e-13,1.332455e-12,5.884460e-12,2.833635e-12,1.711788e-12,1.289256e-11,5.859330e-12,4.024288e-12,4.285753e-12,2.411821e-12,3.182455e-12,2.901843e-13,1.692642e-12,5.492561e-13,5.594275e-13,3.171086e-14,7.682406e-13,4.487386e-13,3.051423e-13,1.902652e-13,3.455274e-11,1.712387e-12,1.711788e-12,3.797691e-11,1.218296e-11,1.140395e-12,2.833635e-12,1.615699e-11,6.254729e-13,6.254729e-13,3.182455e-12,8.296280e-12,2.901843e-13,1.176892e-11,1.875189e-11,4.024288e-12,1.140095e-11,3.417713e-11,1.332455e-12,1.332455e-12,6.315302e-10,2.037453e-11,7.681807e-11,3.403593e-11,5.983182e-09,6.746426e-09,,,,,4.852360e-13,4.852360e-13
2018-09-10,3.570000e+01,-9.830000e+01,1.994306e-10,7.543218e-12,1.253955e-11,7.506405e-12,1.617223e-11,3.463947e-09,4.756063e-12,6.096547e-14,3.205519e-13,2.972445e-12,1.083397e-12,6.949699e-14,7.012919e-14,1.548542e-12,1.043971e-12,4.504706e-13,2.714223e-12,1.850315e-12,1.694437e-12,1.127830e-12,6.346896e-13,1.004986e-12,4.581858e-14,5.345186e-13,2.023575e-13,2.944355e-13,2.002791e-14,8.086743e-14,4.723565e-14,2.409018e-13,7.009770e-14,8.991599e-12,4.391026e-13,4.504706e-13,9.881172e-12,4.590360e-12,5.168210e-13,1.043971e-12,6.151152e-12,6.949699e-14,6.949699e-14,1.004986e-12,2.183232e-12,4.581858e-14,3.234036e-12,4.564538e-12,1.694437e-12,4.817028e-12,1.107600e-11,7.012919e-14,7.012919e-14,1.994306e-10,7.506405e-12,1.617223e-11,1.253955e-11,3.463947e-09,3.699596e-09,,,,,,
