date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c2h6sfire,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2018-09-15,3.130000e+01,-9.650000e+01,7.312456e-10,6.788896e-11,7.882005e-11,1.822984e-11,6.468890e-11,7.872607e-09,2.972539e-11,1.385579e-13,1.282207e-12,1.077511e-11,4.514153e-12,3.196862e-12,7.012919e-14,4.335917e-12,2.237080e-12,3.243388e-12,1.696390e-11,2.220378e-11,9.107599e-12,9.924902e-12,1.523255e-12,2.512464e-12,5.345501e-13,1.603556e-12,4.047150e-13,2.355484e-13,2.670389e-14,2.426023e-13,4.723565e-13,1.959335e-12,5.607816e-13,7.909607e-11,3.235075e-12,3.243388e-12,8.557453e-11,1.689282e-11,6.669673e-13,2.237080e-12,1.979687e-11,3.196862e-12,3.196862e-12,2.512464e-12,5.859173e-12,5.345501e-13,8.906187e-12,3.916767e-11,9.107599e-12,2.986395e-11,7.813922e-11,7.012919e-14,7.012919e-14,7.312456e-10,1.822984e-11,6.468890e-11,7.882005e-11,7.872607e-09,8.765592e-09,,,,,,
2018-09-15,3.190000e+01,-9.430000e+01,2.659075e-10,1.206915e-11,1.433092e-11,8.578749e-12,3.234445e-11,2.519235e-09,4.756063e-12,4.433853e-14,6.411037e-13,2.972445e-12,1.444529e-12,2.779880e-13,5.610335e-13,2.477667e-12,1.193109e-12,7.207530e-13,5.428446e-12,2.467086e-12,1.694437e-12,1.804528e-12,1.015503e-12,1.339981e-12,1.221829e-13,7.126915e-13,2.312657e-13,2.355484e-13,1.335194e-14,3.234697e-13,1.889426e-13,1.284810e-13,8.011166e-14,1.451478e-11,7.210049e-13,7.207530e-13,1.595654e-11,5.129665e-12,4.801661e-13,1.193109e-12,6.802941e-12,2.779880e-13,2.779880e-13,1.339981e-12,3.493171e-12,1.221829e-13,4.955334e-12,7.895533e-12,1.694437e-12,4.800401e-12,1.439037e-11,5.610335e-13,5.610335e-13,2.659075e-10,8.578749e-12,3.234445e-11,1.433092e-11,2.519235e-09,2.840600e-09,2.043099e-13,2.043099e-13,,,,
2018-09-15,3.210000e+01,-9.790001e+01,3.822420e-09,1.387952e-10,2.113810e-10,1.318983e-10,3.072723e-10,6.203615e-08,9.155421e-11,1.091836e-12,5.342531e-12,5.238934e-11,2.112624e-11,1.598431e-12,9.116795e-13,2.911259e-11,1.968631e-11,8.198564e-12,4.410613e-11,3.083858e-11,3.007626e-11,2.007537e-11,1.104360e-11,1.725225e-11,9.316444e-13,9.977680e-12,3.815885e-12,5.564832e-12,3.538265e-13,1.617349e-12,9.447129e-13,4.496833e-12,1.211689e-12,1.642131e-10,8.270584e-12,8.198564e-12,1.806823e-10,8.349325e-11,9.734543e-12,1.968631e-11,1.129141e-10,1.598431e-12,1.598431e-12,1.725225e-11,4.015619e-11,9.316444e-13,5.834008e-11,7.494470e-11,3.007626e-11,9.264604e-11,1.976670e-10,9.116795e-13,9.116795e-13,3.822420e-09,1.318983e-10,3.072723e-10,2.113810e-10,6.203615e-08,6.350030e+03,7.661622e-14,7.661622e-14,4.700040e+03,1.649990e+03,4.700040e+03,1.649990e+03
2018-09-15,3.230000e+01,-9.830000e+01,4.653381e-10,1.659508e-11,2.687047e-11,1.608515e-11,3.638751e-11,7.557704e-09,1.129565e-11,1.330156e-13,6.411037e-13,6.316445e-12,2.708492e-12,2.084910e-13,1.402584e-13,3.716501e-12,2.386219e-12,9.910354e-13,5.428446e-12,3.700630e-12,3.812483e-12,2.481226e-12,1.396317e-12,2.177469e-12,1.221829e-13,1.247210e-12,4.625314e-13,6.772017e-13,4.339381e-14,2.021686e-13,1.180891e-13,5.621042e-13,1.502094e-13,1.971741e-11,1.032571e-12,9.910354e-13,2.174102e-11,1.027215e-11,1.183127e-12,2.386219e-12,1.384149e-11,2.084910e-13,2.084910e-13,2.177469e-12,5.112818e-12,1.221829e-13,7.412469e-12,9.129076e-12,3.812483e-12,1.142867e-11,2.437022e-11,1.402584e-13,1.402584e-13,4.653381e-10,1.608515e-11,3.638751e-11,2.687047e-11,7.557704e-09,8.102385e-09,,,,,,
2018-09-15,3.230000e+01,-9.790001e+01,3.157651e-09,1.146569e-10,1.737624e-10,1.083067e-10,2.506695e-10,5.101450e-08,7.490799e-11,8.978552e-13,4.380875e-12,4.310045e-11,1.733435e-11,1.320443e-12,7.714211e-13,2.415725e-11,1.625612e-11,6.757059e-12,3.596346e-11,2.528763e-11,2.478114e-11,1.646631e-11,9.012593e-12,1.423730e-11,7.636429e-13,8.195952e-12,3.150996e-12,4.593194e-12,2.920737e-13,1.334313e-12,7.793882e-13,3.709888e-12,1.001396e-12,1.355041e-10,6.824984e-12,6.757059e-12,1.490861e-10,6.863075e-11,8.036263e-12,1.625612e-11,9.292313e-11,1.320443e-12,1.320443e-12,1.423730e-11,3.316985e-11,7.636429e-13,4.817079e-11,6.125109e-11,2.478114e-11,7.580585e-11,1.618381e-10,7.714211e-13,7.714211e-13,3.157651e-09,1.083067e-10,2.506695e-10,1.737624e-10,5.101450e-08,5.470494e-08,5.107748e-14,5.107748e-14,,,,
2018-09-15,3.230000e+01,-9.650000e+01,4.320996e-10,1.659508e-11,2.507911e-11,1.501281e-11,3.638751e-11,7.242799e-09,1.070114e-11,1.274733e-13,6.411037e-13,5.944890e-12,2.527926e-12,2.084910e-13,7.012919e-14,3.406792e-12,2.237080e-12,9.910354e-13,5.428446e-12,3.700630e-12,3.388874e-12,2.255660e-12,1.269379e-12,2.009971e-12,1.069100e-13,1.158124e-12,4.336232e-13,6.477582e-13,4.172482e-14,2.021686e-13,1.180891e-13,5.299839e-13,1.401954e-13,1.949184e-11,9.904370e-13,9.910354e-13,2.147331e-11,9.630939e-12,1.123106e-12,2.237080e-12,1.299113e-11,2.084910e-13,2.084910e-13,2.009971e-12,4.676171e-12,1.069100e-13,6.793053e-12,9.129076e-12,3.388874e-12,1.082861e-11,2.334656e-11,7.012919e-14,7.012919e-14,4.320996e-10,1.501281e-11,3.638751e-11,2.507911e-11,7.242799e-09,7.751378e-09,,,,,,
2018-09-15,3.350000e+01,-1.109000e+02,1.329537e-09,4.827659e-11,7.344595e-11,4.611078e-11,1.051195e-10,2.141349e-08,3.150892e-11,3.768775e-13,1.816461e-12,1.820622e-11,7.403212e-12,5.559759e-13,2.805168e-13,1.022038e-11,6.860379e-12,2.883012e-12,1.492823e-11,1.079350e-11,1.037843e-11,6.992545e-12,3.808138e-12,6.029914e-12,3.207300e-13,3.474371e-12,1.329778e-12,1.913831e-12,1.218365e-13,5.660720e-13,3.306495e-13,1.557832e-12,4.205862e-13,5.708560e-11,2.875139e-12,2.883012e-12,6.284375e-11,2.908381e-11,3.365446e-12,6.860379e-12,3.930963e-11,5.559759e-13,5.559759e-13,6.029914e-12,1.402851e-11,3.207300e-13,2.037916e-11,2.572173e-11,1.037843e-11,3.188580e-11,6.798595e-11,2.805168e-13,2.805168e-13,1.329537e-09,4.611078e-11,1.051195e-10,7.344595e-11,2.141349e-08,2.296773e-08,2.553874e-14,2.553874e-14,,,,
2018-09-15,3.370000e+01,-9.609999e+01,2.559359e-09,9.353590e-11,1.415178e-10,8.900453e-11,2.061959e-10,4.156737e-08,6.123431e-11,7.315857e-13,3.632921e-12,3.492623e-11,1.426472e-11,1.042455e-12,6.311627e-13,1.951163e-11,1.327334e-11,5.495741e-12,2.917790e-11,2.066185e-11,2.012144e-11,1.353396e-11,7.362400e-12,1.155733e-11,6.261872e-13,6.681482e-12,2.572831e-12,3.739331e-12,2.369970e-13,1.091710e-12,6.376812e-13,3.019302e-12,8.111305e-13,1.107028e-10,5.559825e-12,5.495741e-12,1.217583e-10,5.587243e-11,6.549160e-12,1.327334e-11,7.569493e-11,1.042455e-12,1.042455e-12,1.155733e-11,2.687403e-11,6.261872e-13,3.905755e-11,4.983975e-11,2.012144e-11,6.196590e-11,1.319271e-10,6.311627e-13,6.311627e-13,2.559359e-09,8.900453e-11,2.061959e-10,1.415178e-10,4.156737e-08,4.456350e-08,5.107748e-14,5.107748e-14,,,,
2018-09-15,3.450000e+01,-1.175000e+02,6.980071e-10,2.564694e-11,3.761866e-11,2.359156e-11,5.660279e-11,1.102165e-08,1.605171e-11,1.939811e-13,9.616556e-13,9.288890e-12,3.791889e-12,2.779880e-13,1.402584e-13,5.265043e-12,3.579328e-12,1.441506e-12,8.142670e-12,5.550944e-12,5.295116e-12,3.609055e-12,1.904069e-12,3.014957e-12,1.680014e-13,1.781729e-12,6.937972e-13,1.001081e-12,6.342173e-14,2.830360e-13,1.653248e-13,8.030060e-13,2.203071e-13,3.021765e-11,1.471674e-12,1.441506e-12,3.313083e-11,1.486251e-11,1.758300e-12,3.579328e-12,2.020013e-11,2.779880e-13,2.779880e-13,3.014957e-12,7.169112e-12,1.680014e-13,1.035207e-11,1.369361e-11,5.295116e-12,1.624569e-11,3.523442e-11,1.402584e-13,1.402584e-13,6.980071e-10,2.359156e-11,5.660279e-11,3.761866e-11,1.102165e-08,1.183747e-08,,,,,,
2018-09-15,3.490000e+01,-1.119000e+02,5.554142e-08,2.520943e-09,2.993370e-09,1.791886e-09,6.755947e-09,5.262051e-07,9.934227e-10,9.261210e-12,1.421113e-10,6.208695e-10,3.017260e-10,5.406866e-11,1.171859e-10,5.175227e-10,2.492107e-10,1.505473e-10,1.133867e-09,5.153127e-10,3.539256e-10,3.769207e-10,2.121133e-10,2.798885e-10,2.552095e-11,1.488634e-10,4.830563e-11,4.920018e-11,2.788887e-12,6.756474e-11,3.946538e-11,2.683646e-11,1.673332e-11,3.039975e-09,1.505999e-10,1.505473e-10,3.341123e-09,1.071459e-09,1.002947e-10,2.492107e-10,1.420964e-09,5.406866e-11,5.406866e-11,2.798885e-10,7.296360e-10,2.552095e-11,1.035045e-09,1.649179e-09,3.539256e-10,1.002684e-09,3.005789e-09,1.171859e-10,1.171859e-10,5.554142e-08,1.791886e-09,6.755947e-09,2.993370e-09,5.262051e-07,2.341252e+02,4.267523e-11,4.267523e-11,1.031591e+02,1.309661e+02,1.031591e+02,1.309661e+02
2018-09-15,3.590000e+01,-1.191000e+02,3.257366e-09,1.478471e-10,1.755537e-10,1.050897e-10,3.962195e-10,3.086062e-08,5.826177e-11,5.431470e-13,8.334348e-12,3.641245e-11,1.769548e-11,3.127365e-12,6.872660e-12,3.035142e-11,1.461559e-11,8.829224e-12,6.649847e-11,3.022181e-11,2.075685e-11,2.210546e-11,1.243992e-11,1.641477e-11,1.496740e-12,8.730470e-12,2.833005e-12,2.885468e-12,1.635613e-13,3.962504e-12,2.314547e-12,1.573892e-12,9.813678e-13,1.782869e-10,8.832311e-12,8.829224e-12,1.959484e-10,6.283840e-11,5.882035e-12,1.461559e-11,8.333603e-11,3.127365e-12,3.127365e-12,1.641477e-11,4.279134e-11,1.496740e-12,6.070285e-11,9.672027e-11,2.075685e-11,5.880492e-11,1.762820e-10,6.872660e-12,6.872660e-12,3.257366e-09,1.050897e-10,3.962195e-10,1.755537e-10,3.086062e-08,3.479736e-08,2.502797e-12,2.502797e-12,,,,
2018-09-15,3.610000e+01,-1.137000e+02,1.695160e-09,6.185439e-11,9.315097e-11,5.897890e-11,1.374639e-10,2.771158e-08,4.042653e-11,4.877238e-13,2.350714e-12,2.303645e-11,9.389439e-12,6.949699e-13,4.207751e-13,1.300775e-11,8.799182e-12,3.693859e-12,1.967812e-11,1.356897e-11,1.334369e-11,9.022639e-12,4.823641e-12,7.704890e-12,4.123672e-13,4.454321e-12,1.705585e-12,2.473258e-12,1.568853e-13,7.278069e-13,4.251208e-13,1.991455e-12,5.407537e-13,7.322774e-11,3.685136e-12,3.693859e-12,8.060674e-11,3.688021e-11,4.335728e-12,8.799182e-12,5.001512e-11,6.949699e-13,6.949699e-13,7.704890e-12,1.783139e-11,4.123672e-13,2.594865e-11,3.324709e-11,1.334369e-11,4.091426e-11,8.750504e-11,4.207751e-13,4.207751e-13,1.695160e-09,5.897890e-11,1.374639e-10,9.315097e-11,2.771158e-08,2.969636e-08,2.553874e-14,2.553874e-14,,,,
2018-09-15,3.630000e+01,-1.121000e+02,3.390320e-09,1.538816e-10,1.827192e-10,1.093791e-10,4.123918e-10,3.212024e-08,6.063980e-11,5.653162e-13,8.654900e-12,3.789867e-11,1.841774e-11,3.335856e-12,7.153177e-12,3.159025e-11,1.521215e-11,9.189600e-12,6.921269e-11,3.145535e-11,2.160407e-11,2.300773e-11,1.294767e-11,1.708476e-11,1.557832e-12,9.086816e-12,2.948638e-12,3.003242e-12,1.702373e-13,4.124239e-12,2.409018e-12,1.638132e-12,1.021424e-12,1.855443e-10,9.192812e-12,9.189600e-12,2.039267e-10,6.540323e-11,6.122118e-12,1.521215e-11,8.673749e-11,3.335856e-12,3.335856e-12,1.708476e-11,4.453792e-11,1.557832e-12,6.318051e-11,1.006680e-10,2.160407e-11,6.120512e-11,1.834772e-10,7.153177e-12,7.153177e-12,3.390320e-09,1.093791e-10,4.123918e-10,1.827192e-10,3.212024e-08,3.621766e-08,2.604951e-12,2.604951e-12,,,,
2018-09-15,3.650000e+01,-1.195000e+02,1.728399e-09,7.844947e-11,9.315097e-11,5.576187e-11,2.102389e-10,1.637502e-08,3.091441e-11,2.882004e-13,4.380875e-12,1.932089e-11,9.389439e-12,1.667928e-12,3.646718e-12,1.610484e-11,7.755211e-12,4.684894e-12,3.528490e-11,1.603606e-11,1.101384e-11,1.172943e-11,6.600772e-12,8.709876e-12,7.941887e-13,4.632494e-12,1.503227e-12,1.531065e-12,8.678763e-14,2.102553e-12,1.228127e-12,8.351262e-13,5.207258e-13,9.455978e-11,4.686532e-12,4.684894e-12,1.039312e-10,3.334283e-11,3.121080e-12,7.755211e-12,4.421911e-11,1.667928e-12,1.667928e-12,8.709876e-12,2.270561e-11,7.941887e-13,3.220967e-11,5.132096e-11,1.101384e-11,3.120261e-11,9.353741e-11,3.646718e-12,3.646718e-12,1.728399e-09,5.576187e-11,2.102389e-10,9.315097e-11,1.637502e-08,1.846390e-08,1.328014e-12,1.328014e-12,,,,
