date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,c2h6sfire,other_dms
2018-09-16,3.210000e+01,-9.790001e+01,4.700055e+03,1.649998e+03,3.124991e-10,1.031743e-11,1.796126e-11,1.051934e-11,2.470191e-11,4.960302e-09,8.392831e-12,8.730132e-14,5.167147e-13,4.461792e-12,1.676582e-12,6.219501e-14,2.351183e-12,1.631766e-12,6.539662e-13,3.472212e-12,2.433028e-12,2.604159e-12,1.668001e-12,7.688469e-13,1.582337e-12,7.430534e-14,7.918627e-13,2.984366e-13,4.539669e-13,2.767849e-14,1.255071e-13,7.331024e-14,3.585687e-13,9.560983e-14,1.250215e-11,6.529959e-13,6.539662e-13,1.380911e-11,6.930236e-12,7.800819e-13,1.631766e-12,9.342084e-12,1.582337e-12,3.120030e-12,7.430534e-14,4.776672e-12,5.905240e-12,2.604159e-12,8.480132e-12,1.698953e-11,6.219501e-14,6.219501e-14,3.124991e-10,1.051934e-11,2.470191e-11,1.796126e-11,4.700055e+03,1.649998e+03,4.960302e-09,6.350053e+03,,,,,
2018-09-16,3.230000e+01,-9.790001e+01,,,3.124991e-10,1.031743e-11,1.796126e-11,1.102026e-11,2.470191e-11,5.208317e-09,8.392832e-12,9.166639e-14,5.167147e-13,4.461792e-12,1.676582e-12,6.219501e-14,2.351183e-12,1.631766e-12,6.948392e-13,3.819433e-12,2.433028e-12,2.604159e-12,1.668001e-12,7.688468e-13,1.582336e-12,7.430533e-14,8.527752e-13,3.315962e-13,4.539669e-13,3.075388e-14,1.255071e-13,8.378313e-14,3.756434e-13,1.019838e-13,1.250215e-11,6.869174e-13,6.948392e-13,1.388390e-11,6.991149e-12,8.163170e-13,1.631766e-12,9.439232e-12,1.582336e-12,3.120030e-12,7.430533e-14,4.776672e-12,6.252461e-12,2.604159e-12,8.484498e-12,1.734112e-11,6.219501e-14,6.219501e-14,3.124991e-10,1.102026e-11,2.470191e-11,1.796126e-11,,,5.208317e-09,5.574500e-09,,,,,
2018-09-16,3.250000e+01,-9.709999e+01,,,2.083327e-10,1.031743e-11,1.197417e-11,7.513811e-12,1.796503e-11,3.472212e-09,4.196416e-12,6.111093e-14,2.583574e-13,3.186994e-12,8.382911e-13,6.219501e-14,1.175592e-12,1.129684e-12,4.496018e-13,2.430548e-12,1.622019e-12,1.488091e-12,1.112001e-12,7.688468e-13,7.911682e-13,5.307524e-14,5.482126e-13,1.989577e-13,3.121022e-13,1.845232e-14,8.964795e-14,5.236445e-14,2.561205e-13,7.011388e-14,1.168779e-11,4.682468e-13,4.496018e-13,1.260564e-11,4.573498e-12,5.295123e-13,1.129684e-12,6.232694e-12,7.911682e-13,1.944439e-12,5.307524e-14,2.788682e-12,4.052567e-12,1.488091e-12,4.257527e-12,9.798185e-12,6.219501e-14,6.219501e-14,2.083327e-10,7.513811e-12,1.796503e-11,1.197417e-11,,,3.472212e-09,3.717997e-09,,,,,
2018-09-16,3.330000e+01,-9.450000e+01,,,3.645822e-10,1.547614e-11,2.095480e-11,1.302394e-11,2.919317e-11,5.952363e-09,8.392832e-12,1.047616e-13,5.167147e-13,5.099191e-12,1.676582e-12,9.329251e-14,2.351183e-12,1.882807e-12,8.174578e-13,4.166654e-12,3.244038e-12,2.976181e-12,1.946001e-12,1.153270e-12,1.582336e-12,9.553542e-14,9.746002e-13,3.647558e-13,5.390856e-13,3.382926e-14,1.613663e-13,9.425602e-14,4.439422e-13,1.211058e-13,1.793886e-11,8.206704e-13,8.174578e-13,1.957699e-11,7.750373e-12,9.376707e-13,1.882807e-12,1.057085e-11,1.582336e-12,3.504454e-12,9.553542e-14,5.182326e-12,7.410692e-12,2.976181e-12,8.497593e-12,1.888447e-11,9.329251e-14,9.329251e-14,3.645822e-10,1.302394e-11,2.919317e-11,2.095480e-11,,,5.952363e-09,6.380117e-09,,,,,
2018-09-16,3.350000e+01,-1.109000e+02,,,1.562495e-10,5.158715e-12,8.980628e-12,6.011049e-12,1.347377e-11,2.728166e-09,4.196416e-12,4.801573e-14,2.583574e-13,2.549596e-12,8.382911e-13,3.109750e-14,1.175592e-12,8.786432e-13,3.678560e-13,2.083327e-12,1.622019e-12,1.488091e-12,8.340005e-13,3.844234e-13,7.911682e-13,4.246019e-14,4.263876e-13,1.657981e-13,2.553564e-13,1.537694e-14,7.171836e-14,4.189156e-14,2.048964e-13,5.099191e-14,6.251073e-12,3.694982e-13,3.678560e-13,6.988427e-12,3.814274e-12,4.365314e-13,8.786432e-13,5.129449e-12,7.911682e-13,1.560015e-12,4.246019e-14,2.393643e-12,3.705346e-12,1.488091e-12,4.244432e-12,9.437869e-12,3.109750e-14,3.109750e-14,1.562495e-10,6.011049e-12,1.347377e-11,8.980628e-12,,,2.728166e-09,2.912881e-09,,,,,
2018-09-16,3.370000e+01,-9.609999e+01,,,1.562495e-10,5.158715e-12,8.980628e-12,5.009207e-12,1.122814e-11,2.232136e-09,4.196416e-12,3.928559e-14,2.583574e-13,1.912197e-12,8.382911e-13,3.109750e-14,1.175592e-12,7.531227e-13,3.269831e-13,1.736106e-12,8.110095e-13,1.116068e-12,8.340005e-13,3.844234e-13,7.911682e-13,3.184514e-14,3.654751e-13,1.326385e-13,1.986105e-13,1.230155e-14,5.378877e-14,3.141867e-14,1.707470e-13,4.461792e-14,6.251073e-12,3.005724e-13,3.269831e-13,6.878628e-12,3.115963e-12,3.435505e-13,7.531227e-13,4.212636e-12,7.911682e-13,1.560015e-12,3.184514e-14,2.383028e-12,2.547115e-12,1.116068e-12,4.235701e-12,7.898885e-12,3.109750e-14,3.109750e-14,1.562495e-10,5.009207e-12,1.122814e-11,8.980628e-12,,,2.232136e-09,2.413604e-09,,,,,
2018-09-16,3.390000e+01,-9.530000e+01,,,4.166654e-10,1.547614e-11,2.394834e-11,1.402578e-11,3.368442e-11,6.696408e-09,1.049104e-11,1.178568e-13,5.167147e-13,5.736590e-12,2.514873e-12,9.329251e-14,3.526775e-12,2.133848e-12,8.992036e-13,4.861096e-12,3.244038e-12,3.348204e-12,2.224001e-12,1.153270e-12,1.582336e-12,9.553542e-14,1.096425e-12,3.979155e-13,5.958315e-13,3.690465e-14,1.792959e-13,1.047289e-13,4.780916e-13,1.274798e-13,1.821686e-11,8.895962e-13,8.992036e-13,2.000566e-11,9.347888e-12,1.030652e-12,2.133848e-12,1.251239e-11,1.582336e-12,4.680045e-12,9.553542e-14,6.357918e-12,8.105135e-12,3.348204e-12,1.060890e-11,2.206223e-11,9.329251e-14,9.329251e-14,4.166654e-10,1.402578e-11,3.368442e-11,2.394834e-11,,,6.696408e-09,7.184732e-09,,,,,
2018-09-16,3.410000e+01,-9.570000e+01,,,5.729149e-10,2.063486e-11,3.292897e-11,1.953591e-11,4.491256e-11,9.176559e-09,1.258925e-11,1.615074e-13,7.750721e-13,7.648786e-12,3.353164e-12,1.243900e-13,4.702367e-12,2.886970e-12,1.226187e-12,6.597202e-12,4.866057e-12,4.464272e-12,3.058002e-12,1.537694e-12,2.373505e-12,1.379956e-13,1.522813e-12,5.637136e-13,8.228150e-13,5.228159e-14,2.330847e-13,1.361476e-13,6.659133e-13,1.784717e-13,2.446793e-11,1.213617e-12,1.226187e-12,2.690774e-11,1.252476e-11,1.438810e-12,2.886970e-12,1.685054e-11,2.373505e-12,6.240060e-12,1.379956e-13,8.751560e-12,1.146326e-11,4.464272e-12,1.275075e-11,2.867829e-11,1.243900e-13,1.243900e-13,5.729149e-10,1.953591e-11,4.491256e-11,3.292897e-11,,,9.176559e-09,9.846851e-09,3.422609e-13,3.422609e-13,3.422609e-13,,
2018-09-16,3.490000e+01,-1.119000e+02,1.031933e+02,1.309501e+02,2.953116e-08,1.341266e-09,1.592565e-09,9.522503e-10,3.590759e-09,2.797611e-07,5.266502e-10,4.923794e-12,7.544035e-11,3.301726e-10,1.601136e-10,6.225721e-11,2.750885e-10,1.324241e-10,7.998825e-11,6.027760e-10,2.733102e-10,1.882435e-10,2.001601e-10,1.126361e-10,1.487396e-10,1.356603e-11,7.912535e-11,2.566555e-11,2.615984e-11,1.482337e-12,3.589504e-11,2.096673e-11,1.427445e-11,8.891715e-12,1.616866e-09,8.002793e-11,7.998825e-11,1.776882e-09,5.694116e-10,5.330773e-11,1.324241e-10,7.551434e-10,1.487396e-10,3.877245e-10,1.356603e-11,5.500302e-10,8.760861e-10,1.882435e-10,5.315740e-10,1.595904e-09,6.225721e-11,6.225721e-11,2.953116e-08,9.522503e-10,3.590759e-09,1.592565e-09,1.031933e+02,1.309501e+02,2.797611e-07,2.341434e+02,2.874991e-11,2.874991e-11,2.874991e-11,2.265462e-11,2.265462e-11
2018-09-16,3.550000e+01,-9.950000e+01,,,4.166654e-10,1.547614e-11,2.394834e-11,1.502762e-11,3.593005e-11,7.192439e-09,1.049104e-11,1.265869e-13,5.167147e-13,5.736590e-12,2.514873e-12,9.329251e-14,3.526775e-12,2.259368e-12,9.400765e-13,5.208317e-12,3.244038e-12,3.348204e-12,2.224001e-12,1.153270e-12,2.373505e-12,1.061505e-13,1.157338e-12,4.310751e-13,6.525774e-13,3.998004e-14,1.792959e-13,1.047289e-13,5.122410e-13,1.402278e-13,1.821686e-11,9.364935e-13,9.400765e-13,2.009343e-11,9.408801e-12,1.123633e-12,2.259368e-12,1.279180e-11,2.373505e-12,4.680045e-12,1.061505e-13,7.159700e-12,8.452355e-12,3.348204e-12,1.061763e-11,2.241819e-11,9.329251e-14,9.329251e-14,4.166654e-10,1.502762e-11,3.593005e-11,2.394834e-11,,,7.192439e-09,7.684010e-09,3.422609e-13,3.422609e-13,3.422609e-13,,
