date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,mami,apt,c2h6sfire,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-08-14,3.130000e+01,-1.017000e+02,2.282144e-10,7.407712e-12,1.229947e-11,7.362689e-12,1.665572e-11,3.891827e-09,6.025889e-12,6.849616e-14,3.709911e-13,3.061311e-12,1.203753e-12,9.630110e-14,1.688104e-12,1.228780e-12,4.948674e-13,2.795370e-12,1.746867e-12,1.745095e-12,1.238985e-12,5.520170e-13,1.136087e-12,6.291787e-14,6.116655e-13,2.381798e-13,3.234541e-13,2.062668e-14,1.110468e-13,6.486378e-14,2.646442e-13,6.875562e-14,9.017689e-12,5.093104e-13,4.948674e-13,1.002187e-11,4.876730e-12,5.822605e-13,1.228780e-12,6.687770e-12,1.136087e-12,2.240121e-12,6.291787e-14,3.439125e-12,4.542236e-12,1.745095e-12,6.094385e-12,1.238172e-11,9.630110e-14,9.630110e-14,2.282144e-10,7.362689e-12,1.665572e-11,1.229947e-11,3.891827e-09,4.156360e-09,,,,,,,,,
2020-08-14,3.130000e+01,-9.970000e+01,3.651430e-10,1.481542e-11,1.967915e-11,1.325284e-11,2.775954e-11,6.053953e-09,9.038834e-12,1.065496e-13,5.564866e-13,5.102186e-12,1.805630e-12,9.630110e-14,2.532156e-12,1.843169e-12,7.423012e-13,4.658949e-12,2.911445e-12,2.908492e-12,1.858477e-12,1.104034e-12,1.704130e-12,8.389050e-14,9.786648e-13,3.572697e-13,5.256129e-13,3.437781e-14,1.665702e-13,9.729568e-14,4.410737e-13,1.237601e-13,1.723039e-11,8.286997e-13,7.423012e-13,1.880139e-11,7.886481e-12,9.172604e-13,1.843169e-12,1.064691e-11,1.704130e-12,3.636190e-12,8.389050e-14,5.424210e-12,7.570394e-12,2.908492e-12,9.145383e-12,1.962427e-11,9.630110e-14,9.630110e-14,3.651430e-10,1.325284e-11,2.775954e-11,1.967915e-11,6.053953e-09,6.479788e-09,2.457366e-13,2.457366e-13,2.457366e-13,,,,,,
2020-08-14,3.130000e+01,-9.770000e+01,3.286287e-09,1.222273e-10,1.820322e-10,1.133854e-10,2.664916e-10,5.362073e-08,7.833657e-11,9.437248e-13,4.637388e-12,4.489923e-11,1.865818e-11,7.704088e-13,2.447751e-11,1.699811e-11,7.175578e-12,3.727160e-11,2.678529e-11,2.588558e-11,1.734579e-11,9.660297e-12,1.476913e-11,7.969597e-13,8.685650e-12,3.294821e-12,4.811380e-12,3.048166e-13,1.388085e-12,8.107973e-13,3.881449e-12,1.045085e-12,1.442104e-10,7.125417e-12,7.175578e-12,1.585114e-10,7.224306e-11,8.411018e-12,1.699811e-11,9.765219e-11,1.476913e-11,3.413780e-11,7.969597e-13,4.970389e-11,6.405689e-11,2.588558e-11,7.928029e-11,1.692228e-10,7.704088e-13,7.704088e-13,3.286287e-09,1.133854e-10,2.664916e-10,1.820322e-10,5.362073e-08,7.500033e+02,1.228683e-12,1.228683e-12,1.228683e-12,4.091064e+02,3.408969e+02,7.013938e-14,7.013938e-14,4.091064e+02,3.408969e+02
2020-08-14,3.150000e+01,-1.019000e+02,6.846431e-10,2.592699e-11,3.689841e-11,2.356060e-11,5.551908e-11,1.081063e-08,1.657120e-11,1.902671e-13,9.274777e-13,9.183934e-12,3.611260e-12,1.926022e-13,5.064311e-12,3.481542e-12,1.484602e-12,7.454319e-12,5.240600e-12,5.235286e-12,3.407208e-12,1.932060e-12,2.840217e-12,1.677810e-13,1.712663e-12,6.748428e-13,9.703622e-13,6.188005e-14,2.776170e-13,1.621595e-13,7.939327e-13,2.062668e-13,3.026168e-11,1.439976e-12,1.484602e-12,3.318626e-11,1.450786e-11,1.707085e-12,3.481542e-12,1.969648e-11,2.840217e-12,6.996371e-12,1.677810e-13,1.000437e-11,1.269492e-11,5.235286e-12,1.676146e-11,3.469167e-11,1.926022e-13,1.926022e-13,6.846431e-10,2.356060e-11,5.551908e-11,3.689841e-11,1.081063e-08,1.161125e-08,2.457366e-13,2.457366e-13,2.457366e-13,,,,,,
2020-08-14,3.170000e+01,-1.091000e+02,4.883787e-09,1.777851e-10,2.705884e-10,1.693418e-10,3.941854e-10,7.956624e-08,1.175048e-10,1.400366e-12,6.863334e-12,6.683863e-11,2.708445e-11,1.155613e-12,3.713828e-11,2.518998e-11,1.051593e-11,5.590739e-11,3.959565e-11,3.839209e-11,2.570893e-11,1.407643e-11,2.215369e-11,1.195440e-12,1.284498e-11,4.882686e-12,7.115990e-12,4.537870e-13,2.054366e-12,1.199980e-12,5.756012e-12,1.553877e-12,2.103574e-10,1.056424e-11,1.051593e-11,2.314375e-10,1.067681e-10,1.245246e-11,2.518998e-11,1.444105e-10,2.215369e-11,5.121472e-11,1.195440e-12,7.456385e-11,9.550304e-11,3.839209e-11,1.189052e-10,2.528003e-10,1.155613e-12,1.155613e-12,4.883787e-09,1.693418e-10,3.941854e-10,2.705884e-10,7.956624e-08,3.175032e+03,1.965893e-12,1.965893e-12,1.965893e-12,2.200028e+03,9.750049e+02,7.013937e-14,7.013937e-14,2.200028e+03,9.750049e+02
2020-08-14,3.230000e+01,-1.017000e+02,2.738572e-10,1.111157e-11,1.475937e-11,8.835226e-12,2.220763e-11,4.324253e-09,6.025889e-12,7.610685e-14,3.709911e-13,3.571530e-12,1.203753e-12,9.630110e-14,1.688104e-12,1.433576e-12,6.185843e-13,2.795370e-12,2.329156e-12,2.035945e-12,1.548731e-12,8.280256e-13,1.136087e-12,6.291787e-14,7.339986e-13,2.778765e-13,4.043176e-13,2.521039e-14,1.110468e-13,6.486378e-14,3.087516e-13,8.250674e-14,1.303129e-11,5.671690e-13,6.185843e-13,1.421704e-11,5.509281e-12,7.074045e-13,1.433576e-12,7.650262e-12,1.136087e-12,2.516129e-12,6.291787e-14,3.715134e-12,5.124525e-12,2.035945e-12,6.101996e-12,1.326247e-11,9.630110e-14,9.630110e-14,2.738572e-10,8.835226e-12,2.220763e-11,1.475937e-11,4.324253e-09,4.643912e-09,,,,,,,,,
2020-08-14,3.250000e+01,-1.017000e+02,2.738572e-10,1.111157e-11,1.475937e-11,1.030776e-11,2.220763e-11,4.756678e-09,7.532362e-12,8.371752e-14,3.709911e-13,4.081748e-12,1.805630e-12,9.630110e-14,2.532156e-12,1.433576e-12,6.185843e-13,3.727160e-12,2.329156e-12,2.326794e-12,1.548731e-12,8.280256e-13,1.136087e-12,6.291787e-14,7.339986e-13,2.778765e-13,4.043176e-13,2.750225e-14,1.110468e-13,6.486378e-14,3.308053e-13,9.625786e-14,1.303129e-11,6.029737e-13,6.185843e-13,1.425285e-11,6.621377e-12,7.096964e-13,1.433576e-12,8.764650e-12,1.136087e-12,3.360181e-12,6.291787e-14,4.559186e-12,6.056315e-12,2.326794e-12,7.616080e-12,1.599919e-11,9.630110e-14,9.630110e-14,2.738572e-10,1.030776e-11,2.220763e-11,1.475937e-11,4.756678e-09,5.077810e-09,,,,,,,,,
2020-08-14,3.290000e+01,-1.153000e+02,6.846431e-10,2.592699e-11,3.689841e-11,2.356060e-11,5.551908e-11,1.081063e-08,1.657120e-11,1.902671e-13,9.274777e-13,9.183934e-12,3.611260e-12,1.926022e-13,5.064311e-12,3.481542e-12,1.484602e-12,7.454319e-12,5.240600e-12,5.235286e-12,3.407208e-12,1.932060e-12,2.840217e-12,1.677810e-13,1.712663e-12,6.748428e-13,9.703622e-13,6.188005e-14,2.776170e-13,1.621595e-13,7.939327e-13,2.200180e-13,3.026168e-11,1.453727e-12,1.484602e-12,3.320001e-11,1.450786e-11,1.707085e-12,3.481542e-12,1.969648e-11,2.840217e-12,6.996371e-12,1.677810e-13,1.000437e-11,1.269492e-11,5.235286e-12,1.676146e-11,3.469167e-11,1.926022e-13,1.926022e-13,6.846431e-10,2.356060e-11,5.551908e-11,3.689841e-11,1.081063e-08,1.161125e-08,2.457366e-13,2.457366e-13,2.457366e-13,,,,,,
2020-08-14,3.290000e+01,-1.185000e+02,2.784215e-09,1.037080e-10,1.549733e-10,9.718749e-11,2.276282e-10,4.540465e-08,6.628478e-11,7.991218e-13,3.895406e-12,3.826639e-11,1.564879e-11,6.741077e-13,2.110130e-11,1.454056e-11,6.062126e-12,3.261265e-11,2.270927e-11,2.210454e-11,1.486782e-11,8.004247e-12,1.249695e-11,6.920966e-13,7.339986e-12,2.818461e-12,4.083608e-12,2.589795e-13,1.165991e-12,6.810697e-13,3.308053e-12,8.938230e-13,1.224712e-10,6.048937e-12,6.062126e-12,1.345823e-10,6.125517e-11,7.161048e-12,1.454056e-11,8.295677e-11,1.249695e-11,2.910554e-11,6.920966e-13,4.229459e-11,5.532191e-11,2.210454e-11,6.708391e-11,1.445104e-10,6.741077e-13,6.741077e-13,2.784215e-09,9.718749e-11,2.276282e-10,1.549733e-10,4.540465e-08,4.866869e-08,1.228683e-12,1.228683e-12,1.228683e-12,,,3.506969e-14,3.506969e-14,,
2020-08-14,3.350000e+01,-9.490001e+01,1.825715e-10,7.407712e-12,9.839577e-12,7.362689e-12,1.665572e-11,3.026977e-09,4.519417e-12,5.327479e-14,1.854955e-13,2.551093e-12,1.203753e-12,,1.688104e-12,1.023983e-12,3.711506e-13,1.863580e-12,1.746867e-12,1.454246e-12,9.292386e-13,5.520170e-13,1.136087e-12,4.194525e-14,4.893324e-13,1.984832e-13,2.830223e-13,1.833483e-14,5.552340e-14,3.243189e-14,2.425906e-13,6.875562e-14,8.522447e-12,3.993015e-13,3.711506e-13,9.292898e-12,4.244179e-12,4.998403e-13,1.023983e-12,5.768002e-12,1.136087e-12,2.240121e-12,4.194525e-14,3.418153e-12,3.610447e-12,1.454246e-12,4.572692e-12,9.637385e-12,,,1.825715e-10,7.362689e-12,1.665572e-11,9.839577e-12,3.026977e-09,3.243406e-09,,,,,,,,,
