date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,c2h6sfire,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-08-24,3.230000e+01,-1.019000e+02,8.049053e-10,2.922677e-11,4.554886e-11,2.726638e-11,6.363959e-11,1.293033e-08,1.900759e-11,2.275739e-13,1.132844e-12,1.079715e-11,4.372608e-12,3.171192e-13,1.698256e-13,5.999944e-12,4.153291e-12,1.745383e-12,9.037588e-12,6.347717e-12,6.411353e-12,4.096746e-12,2.305456e-12,3.650525e-12,2.034170e-13,2.049460e-12,8.050510e-13,1.158558e-12,7.370290e-14,3.427014e-13,2.001761e-13,9.361561e-13,2.546240e-13,3.445636e-11,1.733657e-12,1.745383e-12,3.793540e-11,1.721922e-11,2.037312e-12,4.153291e-12,2.340982e-11,3.171192e-13,3.171192e-13,3.650525e-12,8.305401e-12,2.034170e-13,1.215934e-11,1.538530e-11,6.411353e-12,1.923516e-11,4.103182e-11,1.698256e-13,1.698256e-13,8.049053e-10,2.726638e-11,6.363959e-11,4.554886e-11,1.293033e-08,1.387169e-08,,,,,,
2020-08-24,3.290000e+01,-9.950000e+01,8.451506e-10,3.105345e-11,4.554886e-11,2.856478e-11,6.853495e-11,1.344755e-08,1.976789e-11,2.366768e-13,1.132844e-12,1.124704e-11,4.591238e-12,3.805430e-13,1.698256e-13,6.374941e-12,4.333869e-12,1.854469e-12,9.859186e-12,6.721112e-12,6.667807e-12,4.369863e-12,2.459153e-12,3.853332e-12,2.034170e-13,2.157326e-12,8.400532e-13,1.204900e-12,7.665101e-14,3.427014e-13,2.001761e-13,9.736024e-13,2.667489e-13,3.655615e-11,1.783229e-12,1.854469e-12,4.019385e-11,1.799560e-11,2.121604e-12,4.333869e-12,2.445107e-11,3.805430e-13,3.805430e-13,3.853332e-12,8.834094e-12,2.034170e-13,1.289084e-11,1.658030e-11,6.667807e-12,2.000457e-11,4.325267e-11,1.698256e-13,1.698256e-13,8.451506e-10,2.856478e-11,6.853495e-11,4.554886e-11,1.344755e-08,1.443535e-08,,,,,,
2020-08-24,3.350000e+01,-1.115000e+02,3.863545e-09,1.406538e-10,2.147304e-10,1.337351e-10,3.084073e-10,6.310002e-08,9.275703e-11,1.110560e-12,5.458248e-12,5.308601e-11,2.142578e-11,1.649020e-12,9.340406e-13,2.962472e-11,2.004414e-11,8.399654e-12,4.436633e-11,3.136519e-11,3.051804e-11,2.048373e-11,1.106619e-11,1.744140e-11,9.431153e-13,1.013943e-11,3.885246e-12,5.653762e-12,3.596701e-13,1.615592e-12,9.436872e-13,4.568442e-12,1.224620e-12,1.665958e-10,8.352341e-12,8.399654e-12,1.833478e-10,8.465122e-11,9.898678e-12,2.004414e-11,1.145940e-10,1.649020e-12,1.649020e-12,1.744140e-11,4.069091e-11,9.431153e-13,5.907543e-11,7.573152e-11,3.051804e-11,9.386759e-11,2.001172e-10,9.340406e-13,9.340406e-13,3.863545e-09,1.337351e-10,3.084073e-10,2.147304e-10,6.310002e-08,4.083577e+02,2.333580e+02,1.749997e+02,6.184487e-14,6.184487e-14,2.333580e+02,1.749997e+02
2020-08-24,3.350000e+01,-1.107000e+02,1.730546e-09,6.210690e-11,9.543571e-11,5.972636e-11,1.370699e-10,2.792952e-08,4.105639e-11,4.915595e-13,2.368674e-12,2.339383e-11,9.401107e-12,6.976623e-13,4.245639e-13,1.312488e-11,8.848316e-12,3.708939e-12,1.971837e-11,1.381562e-11,1.359207e-11,9.012842e-12,5.072004e-12,7.706664e-12,4.253265e-13,4.422518e-12,1.715109e-12,2.502485e-12,1.591983e-13,7.343602e-13,4.289487e-13,2.022097e-12,5.456227e-13,7.348841e-11,3.731029e-12,3.708939e-12,8.092838e-11,3.721746e-11,4.376791e-12,8.848316e-12,5.044257e-11,6.976623e-13,6.976623e-13,7.706664e-12,1.819688e-11,4.253265e-13,2.632887e-11,3.353399e-11,1.359207e-11,4.154795e-11,8.867401e-11,4.245639e-13,4.245639e-13,1.730546e-09,5.972636e-11,1.370699e-10,9.543571e-11,2.792952e-08,2.995233e-08,,,3.092244e-14,3.092244e-14,,
2020-08-24,3.350000e+01,-1.105000e+02,5.070903e-09,2.301608e-10,2.732932e-10,1.635983e-10,6.168145e-10,4.810084e-08,9.047613e-11,8.465748e-13,1.297621e-11,5.668506e-11,2.754743e-11,4.947059e-12,1.069901e-11,4.724956e-11,2.275281e-11,1.374489e-11,1.035215e-10,4.704778e-11,3.231322e-11,3.441266e-11,1.936584e-11,2.555367e-11,2.330049e-12,1.359115e-11,4.410279e-12,4.495205e-12,2.535380e-13,6.168626e-12,3.603169e-12,2.434006e-12,1.527744e-12,2.775497e-10,1.373354e-11,1.374489e-11,3.050281e-10,9.782364e-11,9.159022e-12,2.275281e-11,1.297355e-10,4.947059e-12,4.947059e-12,2.555367e-11,6.661539e-11,2.330049e-12,9.449911e-11,1.505692e-10,3.231322e-11,9.132270e-11,2.742052e-10,1.069901e-11,1.069901e-11,5.070903e-09,1.635983e-10,6.168145e-10,2.732932e-10,4.810084e-08,2.990936e+03,2.100017e+03,8.909193e+02,3.896227e-12,3.896227e-12,2.100017e+03,8.909193e+02
2020-08-24,3.370000e+01,-1.107000e+02,1.287848e-09,4.749351e-11,7.157679e-11,4.544397e-11,1.028024e-10,2.120575e-08,3.117245e-11,3.732211e-13,1.853745e-12,1.799526e-11,7.214803e-12,5.708146e-13,3.396511e-13,9.749909e-12,6.681382e-12,2.836247e-12,1.478878e-11,1.045506e-11,1.025817e-11,6.827910e-12,3.688730e-12,5.881402e-12,3.143717e-13,3.451722e-12,1.295082e-12,1.900035e-12,1.208728e-13,5.385308e-13,3.145624e-13,1.535296e-12,4.122483e-13,5.617516e-11,2.800638e-12,2.836247e-12,6.181204e-11,2.866178e-11,3.315990e-12,6.681382e-12,3.865915e-11,5.708146e-13,5.708146e-13,5.881402e-12,1.343864e-11,3.143717e-13,1.963441e-11,2.524384e-11,1.025817e-11,3.154567e-11,6.704767e-11,3.396511e-13,3.396511e-13,1.287848e-09,4.544397e-11,1.028024e-10,7.157679e-11,2.120575e-08,2.271345e-08,,,3.092244e-14,3.092244e-14,,
2020-08-24,3.390000e+01,-9.490001e+01,6.278261e-09,2.283342e-10,3.470390e-10,2.168327e-10,5.042214e-10,1.018910e-07,1.497798e-10,1.793282e-12,8.856781e-12,8.592735e-11,3.476223e-11,2.600377e-12,1.443517e-12,4.799955e-11,3.250402e-11,1.352672e-11,7.230070e-11,5.078173e-11,4.923919e-11,3.304709e-11,1.798256e-11,2.839297e-11,1.534874e-12,1.639568e-11,6.300399e-12,9.129436e-12,5.807789e-13,2.643697e-12,1.544215e-12,7.376910e-12,1.988492e-12,2.702380e-10,1.355331e-11,1.352672e-11,2.973181e-10,1.370853e-10,1.601061e-11,3.250402e-11,1.855999e-10,2.600377e-12,2.600377e-12,2.839297e-11,6.598211e-11,1.534874e-12,9.590996e-11,1.230824e-10,4.923919e-11,1.515731e-10,3.238947e-10,1.443517e-12,1.443517e-12,6.278261e-09,2.168327e-10,5.042214e-10,3.470390e-10,1.018910e-07,1.092375e-07,,,1.236897e-13,1.236897e-13,,
2020-08-24,3.390000e+01,-9.450000e+01,3.408774e-08,1.242138e-09,1.889193e-09,1.177648e-09,2.736503e-09,5.539355e-07,8.142851e-10,9.749265e-12,4.788841e-11,4.656273e-10,1.886780e-10,1.427036e-11,7.981801e-12,2.602476e-10,1.762440e-10,7.352425e-11,3.919026e-10,2.751922e-10,2.674817e-10,1.791644e-10,9.805873e-11,1.537277e-10,8.321604e-12,8.920543e-11,3.412716e-11,4.963262e-11,3.157432e-12,1.429554e-11,8.378799e-12,4.010493e-11,1.080333e-11,1.469191e-09,7.358261e-11,7.352425e-11,1.616297e-09,7.435107e-10,8.691721e-11,1.762440e-10,1.006672e-09,1.427036e-11,1.427036e-11,1.537277e-10,3.583063e-10,8.321604e-12,5.203556e-10,6.670948e-10,2.674817e-10,8.240344e-10,1.758611e-09,7.981801e-12,7.981801e-12,3.408774e-08,1.177648e-09,2.736503e-09,1.889193e-09,5.539355e-07,2.954565e+03,2.181836e+03,7.727289e+02,6.184487e-13,6.184487e-13,2.181836e+03,7.727289e+02
2020-08-24,3.390000e+01,-1.107000e+02,2.760825e-08,1.008324e-09,1.531309e-09,9.543234e-10,2.217595e-09,4.494584e-07,6.607038e-10,7.910467e-12,3.882565e-11,3.779004e-10,1.530413e-10,1.154314e-11,6.453371e-12,2.107480e-10,1.428371e-10,5.967027e-11,3.179588e-10,2.232903e-10,2.172167e-10,1.452979e-10,7.946140e-11,1.247263e-10,6.749746e-12,7.237829e-11,2.768675e-11,4.027147e-11,2.561913e-12,1.160289e-11,6.805986e-12,3.254079e-11,8.766339e-12,1.192447e-09,5.971600e-11,5.967027e-11,1.311834e-09,6.033199e-10,7.052014e-11,1.428371e-10,8.166772e-10,1.154314e-11,1.154314e-11,1.247263e-10,2.902094e-10,6.749746e-12,4.216854e-10,5.412490e-10,2.172167e-10,6.686143e-10,1.427080e-09,6.453371e-12,6.453371e-12,2.760825e-08,9.543234e-10,2.217595e-09,1.531309e-09,4.494584e-07,1.747785e+03,7.181193e+02,1.029666e+03,4.947590e-13,4.947590e-13,7.181193e+02,1.029666e+03
2020-08-24,3.390000e+01,-1.125000e+02,5.231884e-10,1.826673e-11,2.819692e-11,1.817759e-11,3.916283e-11,8.275413e-09,1.216486e-11,1.456473e-13,7.209007e-13,7.198102e-12,2.842195e-12,1.902715e-13,8.491278e-14,3.749965e-12,2.708668e-12,1.090864e-12,5.751192e-12,4.107346e-12,4.103266e-12,2.731164e-12,1.536971e-12,2.230877e-12,1.294472e-13,1.294396e-12,5.250332e-13,7.414770e-13,4.716986e-14,1.958294e-13,1.143863e-13,5.991399e-13,1.576243e-13,2.171880e-11,1.066980e-12,1.090864e-12,2.387664e-11,1.133469e-11,1.313680e-12,2.708668e-12,1.535704e-11,1.902715e-13,1.902715e-13,2.230877e-12,5.286936e-12,1.294472e-13,7.647260e-12,9.858538e-12,4.103266e-12,1.231051e-11,2.627231e-11,8.491278e-14,8.491278e-14,5.231884e-10,1.817759e-11,3.916283e-11,2.819692e-11,8.275413e-09,8.884139e-09,,,,,,
2020-08-24,3.470000e+01,-9.670000e+01,1.609811e-09,5.845355e-11,8.892873e-11,5.453276e-11,1.272792e-10,2.586067e-08,3.801518e-11,4.551477e-13,2.265688e-12,2.159431e-11,8.745215e-12,6.976623e-13,3.396511e-13,1.199989e-11,8.306582e-12,3.490766e-12,1.807518e-11,1.269543e-11,1.256625e-11,8.466608e-12,4.610913e-12,7.098243e-12,3.883416e-13,4.206786e-12,1.610102e-12,2.317116e-12,1.474058e-13,6.854029e-13,4.003521e-13,1.872312e-12,5.092479e-13,6.918584e-11,3.467315e-12,3.490766e-12,7.614392e-11,3.454631e-11,4.074623e-12,8.306582e-12,4.692751e-11,6.976623e-13,6.976623e-13,7.098243e-12,1.661080e-11,3.883416e-13,2.409739e-11,3.077061e-11,1.256625e-11,3.847033e-11,8.180719e-11,3.396511e-13,3.396511e-13,1.609811e-09,5.453276e-11,1.272792e-10,8.892873e-11,2.586067e-08,2.774125e-08,,,3.092244e-14,3.092244e-14,,
2020-08-24,3.470000e+01,-1.133000e+02,1.650056e-09,6.028022e-11,9.326672e-11,5.712956e-11,1.321745e-10,2.689509e-08,3.953579e-11,4.733536e-13,2.368674e-12,2.294395e-11,9.182477e-12,6.976623e-13,4.245639e-13,1.274988e-11,8.667738e-12,3.599852e-12,1.889677e-11,1.344222e-11,1.307916e-11,8.739725e-12,4.764610e-12,7.503857e-12,4.068340e-13,4.314652e-12,1.680106e-12,2.409800e-12,1.533020e-13,6.854029e-13,4.003521e-13,1.947205e-12,5.213729e-13,7.138862e-11,3.554333e-12,3.599852e-12,7.854280e-11,3.644108e-11,4.243209e-12,8.667738e-12,4.935203e-11,6.976623e-13,6.976623e-13,7.503857e-12,1.751449e-11,4.068340e-13,2.542518e-11,3.233900e-11,1.307916e-11,4.000914e-11,8.542730e-11,4.245639e-13,4.245639e-13,1.650056e-09,5.712956e-11,1.321745e-10,9.326672e-11,2.689509e-08,2.882775e-08,,,3.092244e-14,3.092244e-14,,
2020-08-24,3.470000e+01,-1.131000e+02,1.770792e-09,6.393357e-11,9.760470e-11,6.102476e-11,1.419652e-10,2.844673e-08,4.181670e-11,5.006625e-13,2.471660e-12,2.384372e-11,9.619738e-12,7.610861e-13,4.245639e-13,1.349987e-11,9.028895e-12,3.818025e-12,2.053997e-11,1.418902e-11,1.384852e-11,9.285959e-12,5.072004e-12,7.909472e-12,4.253265e-13,4.638251e-12,1.750111e-12,2.548827e-12,1.621464e-13,7.343602e-13,4.289487e-13,2.059544e-12,5.577477e-13,7.569120e-11,3.780600e-12,3.818025e-12,8.328982e-11,3.810171e-11,4.461084e-12,9.028895e-12,5.159169e-11,7.610861e-13,7.610861e-13,7.909472e-12,1.857188e-11,4.253265e-13,2.690668e-11,3.472899e-11,1.384852e-11,4.231736e-11,9.089487e-11,4.245639e-13,4.245639e-13,1.770792e-09,6.102476e-11,1.419652e-10,9.760470e-11,2.844673e-08,3.000017e+03,2.250018e+03,7.499988e+02,3.092244e-14,3.092244e-14,2.250018e+03,7.499988e+02
2020-08-24,3.490000e+01,-9.490001e+01,1.006132e-09,4.566683e-11,5.422484e-11,3.245998e-11,1.223838e-10,9.827053e-09,1.824729e-11,1.729561e-13,2.574646e-12,1.124704e-11,5.465760e-12,9.513576e-13,2.122819e-12,9.374912e-12,4.514447e-12,2.727161e-12,2.053997e-11,9.334877e-12,6.411353e-12,6.827910e-12,3.842427e-12,5.070174e-12,4.623114e-13,2.696658e-12,8.750553e-13,8.805039e-13,5.011797e-14,1.223934e-12,7.149145e-13,4.868012e-13,3.031238e-13,5.506939e-11,2.728773e-12,2.727161e-12,6.052532e-11,1.940945e-11,1.805677e-12,4.514447e-12,2.572957e-11,9.513576e-13,9.513576e-13,5.070174e-12,1.321734e-11,4.623114e-13,1.874982e-11,2.987485e-11,6.411353e-12,1.842024e-11,5.470644e-11,2.122819e-12,2.122819e-12,1.006132e-09,3.245998e-11,1.223838e-10,5.422484e-11,9.827053e-09,1.104303e-08,,,7.730609e-13,7.730609e-13,,
2020-08-24,3.490000e+01,-1.133000e+02,8.049053e-10,2.922677e-11,4.337987e-11,2.726638e-11,6.363959e-11,1.293033e-08,1.900759e-11,2.275739e-13,1.132844e-12,1.079715e-11,4.372608e-12,3.171192e-13,1.698256e-13,5.999944e-12,4.153291e-12,1.745383e-12,9.037588e-12,6.347717e-12,6.154899e-12,4.096746e-12,2.305456e-12,3.650525e-12,1.849246e-13,2.049460e-12,8.050510e-13,1.158558e-12,7.370290e-14,3.427014e-13,2.001761e-13,9.361561e-13,2.546240e-13,3.445636e-11,1.733657e-12,1.745383e-12,3.793540e-11,1.721922e-11,2.037312e-12,4.153291e-12,2.340982e-11,3.171192e-13,3.171192e-13,3.650525e-12,8.305401e-12,1.849246e-13,1.214085e-11,1.538530e-11,6.154899e-12,1.923516e-11,4.077537e-11,1.698256e-13,1.698256e-13,8.049053e-10,2.726638e-11,6.363959e-11,4.337987e-11,1.293033e-08,1.386952e-08,,,,,,
2020-08-24,3.570000e+01,-1.059000e+02,1.046377e-09,4.749351e-11,5.639383e-11,3.375838e-11,1.272792e-10,9.827053e-09,1.824729e-11,1.729561e-13,2.677631e-12,1.169692e-11,5.684390e-12,1.014781e-12,2.207732e-12,9.749909e-12,4.695025e-12,2.836247e-12,2.136157e-11,9.708272e-12,6.667807e-12,7.101027e-12,3.996124e-12,5.272981e-12,4.808038e-13,2.804524e-12,9.100576e-13,9.268463e-13,5.306609e-14,1.272891e-12,7.435111e-13,4.868012e-13,3.152487e-13,5.727217e-11,2.818452e-12,2.836247e-12,6.292687e-11,2.018583e-11,1.889970e-12,4.695025e-12,2.677083e-11,1.014781e-12,1.014781e-12,5.272981e-12,1.374603e-11,4.808038e-13,1.949982e-11,3.106984e-11,6.667807e-12,1.842024e-11,5.615789e-11,2.207732e-12,2.207732e-12,1.046377e-09,3.375838e-11,1.272792e-10,5.639383e-11,9.827053e-09,1.109167e-08,,,8.039833e-13,8.039833e-13,,
2020-08-24,3.570000e+01,-1.063000e+02,1.851282e-09,6.758692e-11,1.019427e-10,6.362156e-11,1.468606e-10,2.999837e-08,4.409761e-11,5.279714e-13,2.574646e-12,2.519336e-11,1.027563e-11,7.610861e-13,4.245639e-13,1.387487e-11,9.570627e-12,3.927111e-12,2.136157e-11,1.493580e-11,1.436143e-11,9.559074e-12,5.225701e-12,8.315085e-12,4.438189e-13,4.853984e-12,1.855117e-12,2.687854e-12,1.709907e-13,7.833175e-13,4.575453e-13,2.171882e-12,5.819976e-13,7.972064e-11,3.994743e-12,3.927111e-12,8.764249e-11,4.032297e-11,4.713963e-12,9.570627e-12,5.460756e-11,7.610861e-13,7.610861e-13,8.315085e-12,1.910057e-11,4.438189e-13,2.785948e-11,3.629737e-11,1.436143e-11,4.462558e-11,9.528438e-11,4.245639e-13,4.245639e-13,1.851282e-09,6.362156e-11,1.468606e-10,1.019427e-10,2.999837e-08,3.216211e-08,,,3.092244e-14,3.092244e-14,,
