date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-09-01,3.250000e+01,-1.013000e+02,1.637997e-09,6.051441e-11,9.033183e-11,5.653221e-11,1.343730e-10,2.668497e-08,3.951752e-11,4.696554e-13,2.399541e-12,2.256856e-11,9.207031e-12,6.692393e-13,4.018583e-13,1.242296e-11,8.546030e-12,3.510585e-12,1.866384e-11,1.344852e-11,1.286517e-11,8.530837e-12,3.092429e-14,4.800754e-12,7.486474e-12,4.025801e-13,4.288101e-12,1.656515e-12,2.390973e-12,1.521043e-13,6.950868e-13,4.060086e-13,1.931991e-12,5.164430e-13,7.144479e-11,3.549530e-12,3.510585e-12,7.850490e-11,3.606369e-11,4.199592e-12,8.546030e-12,4.880931e-11,6.692393e-13,6.692393e-13,7.486474e-12,1.722372e-11,4.025801e-13,2.511277e-11,3.211235e-11,1.286517e-11,3.998718e-11,8.496470e-11,4.018583e-13,4.018583e-13,1.637997e-09,5.653221e-11,1.343730e-10,9.033183e-11,3.092429e-14,2.668497e-08,2.860423e-08,,,,
2020-09-01,3.270000e+01,-9.930000e+01,1.752276e-09,6.397238e-11,9.854381e-11,6.144805e-11,1.436401e-10,2.880282e-08,4.224287e-11,5.069296e-13,2.399541e-12,2.427184e-11,9.864677e-12,7.528942e-13,4.018583e-13,1.348779e-11,9.229712e-12,3.820342e-12,2.021916e-11,1.431616e-11,1.383612e-11,9.306367e-12,3.092429e-14,5.091709e-12,8.062357e-12,4.375871e-13,4.594393e-12,1.789036e-12,2.580733e-12,1.641761e-13,7.414259e-13,4.330759e-13,2.085324e-12,5.623490e-13,7.567828e-11,3.822175e-12,3.820342e-12,8.332079e-11,3.873091e-11,4.533945e-12,9.229712e-12,5.249457e-11,7.528942e-13,7.528942e-13,8.062357e-12,1.857950e-11,4.375871e-13,2.707944e-11,3.453532e-11,1.383612e-11,4.274980e-11,9.112124e-11,4.018583e-13,4.018583e-13,1.752276e-09,6.144805e-11,1.436401e-10,9.854381e-11,3.092429e-14,2.880282e-08,3.085876e-08,,,,
2020-09-01,3.270000e+01,-9.909999e+01,3.085529e-09,1.123839e-10,1.724517e-10,1.069196e-10,2.455782e-10,5.040494e-08,7.426569e-11,8.871269e-13,4.399158e-12,4.215636e-11,1.709877e-11,1.296651e-12,7.233450e-13,2.378110e-11,1.606654e-11,6.711413e-12,3.577236e-11,2.516174e-11,2.427390e-11,1.628614e-11,6.184858e-14,9.019599e-12,1.401314e-11,7.526498e-13,8.167810e-12,3.114248e-12,4.516282e-12,2.873081e-13,1.297495e-12,7.578828e-13,3.649317e-12,9.869799e-13,1.330692e-10,6.691675e-12,6.711413e-12,1.464723e-10,6.742294e-11,7.917839e-12,1.606654e-11,9.140732e-11,1.296651e-12,1.296651e-12,1.401314e-11,3.280070e-11,7.526498e-13,4.756650e-11,6.093409e-11,2.427390e-11,7.515281e-11,1.603608e-10,7.233450e-13,7.233450e-13,3.085529e-09,1.069196e-10,2.455782e-10,1.724517e-10,6.184858e-14,5.040494e-08,5.401548e-08,,,,
2020-09-01,3.390000e+01,-1.111000e+02,4.266411e-09,1.556085e-10,2.360946e-10,1.474753e-10,3.428827e-10,6.946562e-08,1.022005e-10,1.222595e-12,5.998852e-12,5.833759e-11,2.367522e-11,1.798581e-12,9.644600e-13,3.265464e-11,2.204876e-11,9.189473e-12,4.899257e-11,3.427202e-11,3.349798e-11,2.249039e-11,6.184858e-14,1.222010e-11,1.919609e-11,1.032705e-12,1.112864e-11,4.273809e-12,6.224120e-12,3.959540e-13,1.807226e-12,1.055622e-12,5.029311e-12,1.354228e-12,1.840977e-10,9.246388e-12,9.189473e-12,2.025336e-10,9.314145e-11,1.089388e-11,2.204876e-11,1.260841e-10,1.798581e-12,1.798581e-12,1.919609e-11,4.487474e-11,1.032705e-12,6.510354e-11,8.326460e-11,3.349798e-11,1.034231e-10,2.201857e-10,9.644600e-13,9.644600e-13,4.266411e-09,1.474753e-10,3.428827e-10,2.360946e-10,6.184858e-14,6.946562e-08,1.712427e+03,1.242410e+03,4.700166e+02,1.242410e+03,4.700166e+02
2020-09-01,3.410000e+01,-9.690001e+01,5.333014e-10,1.901882e-11,3.079494e-11,1.843441e-11,4.170196e-11,8.894989e-09,1.294540e-11,1.565518e-13,7.998470e-13,7.238971e-12,3.069011e-12,2.091373e-13,1.607433e-13,4.259301e-12,2.734730e-12,1.135778e-12,6.221280e-12,4.338231e-12,4.126564e-12,2.843612e-12,,1.600251e-12,2.495491e-12,1.225244e-13,1.429367e-12,5.300849e-13,7.969909e-13,5.070143e-14,2.316956e-13,1.353362e-13,6.439972e-13,1.721477e-13,2.266227e-11,1.183177e-12,1.135778e-12,2.498123e-11,1.173735e-11,1.377777e-12,2.734730e-12,1.584986e-11,2.091373e-13,2.091373e-13,2.495491e-12,5.859552e-12,1.225244e-13,8.477568e-12,1.055951e-11,4.126564e-12,1.310195e-11,2.778802e-11,1.607433e-13,1.607433e-13,5.333014e-10,1.843441e-11,4.170196e-11,3.079494e-11,,8.894989e-09,6.749763e+02,4.499660e+02,2.250103e+02,4.499660e+02,2.250103e+02
2020-09-01,3.610000e+01,-1.185000e+02,1.672281e-08,7.590236e-10,9.012653e-10,5.395139e-10,2.034129e-09,1.584155e-07,2.991068e-10,2.788113e-12,4.279181e-11,1.869358e-10,9.075501e-11,1.627088e-11,3.528316e-11,1.558194e-10,7.503416e-11,4.532785e-11,3.413927e-10,1.553087e-10,1.065624e-10,1.134860e-10,1.283358e-11,6.386458e-11,8.427083e-11,7.684029e-12,4.482086e-11,1.454420e-11,1.480126e-11,8.401952e-13,2.034287e-11,1.188252e-11,8.095964e-12,5.038188e-12,9.153014e-10,4.535954e-11,4.532785e-11,1.005989e-09,3.225117e-10,3.018566e-11,7.503416e-11,4.277315e-10,1.627088e-11,1.627088e-11,8.427083e-11,2.196840e-10,7.684029e-12,3.116389e-10,4.967013e-10,1.065624e-10,3.018949e-10,9.051586e-10,3.528316e-11,3.528316e-11,1.672281e-08,5.395139e-10,2.034129e-09,9.012653e-10,1.283358e-11,1.584155e-07,2.393954e+03,1.363664e+03,1.030290e+03,1.363664e+03,1.030290e+03
2020-09-01,3.610000e+01,-1.183000e+02,1.257067e-09,5.705644e-11,6.774887e-11,4.055571e-11,1.529072e-10,1.185998e-08,2.248411e-11,2.087357e-13,3.199388e-12,1.405212e-11,6.795666e-12,1.212996e-12,2.652265e-12,1.171308e-11,5.640380e-12,3.407332e-12,2.566277e-11,1.171322e-11,8.010387e-12,8.530836e-12,9.586530e-13,4.800754e-12,6.334708e-12,5.776148e-13,3.369222e-12,1.093300e-12,1.100607e-12,6.277321e-14,1.529191e-12,8.932190e-13,6.133306e-13,3.787249e-13,6.878666e-11,3.414465e-12,3.407332e-12,7.560845e-11,2.421701e-11,2.256680e-12,5.640380e-12,3.211406e-11,1.212996e-12,1.212996e-12,6.334708e-12,1.651383e-11,5.776148e-13,2.342616e-11,3.737600e-11,8.010387e-12,2.269284e-11,6.807923e-11,2.652265e-12,2.652265e-12,1.257067e-09,4.055571e-11,1.529072e-10,6.774887e-11,9.586530e-13,1.185998e-08,3.998049e+02,2.519771e+02,1.478278e+02,2.519771e+02,1.478278e+02
2020-09-01,3.610000e+01,-1.215000e+02,2.620795e-08,9.561276e-10,1.453521e-09,9.057443e-10,2.103632e-09,4.256887e-07,6.268298e-10,7.492122e-12,3.679296e-11,3.581162e-10,1.451203e-10,1.100062e-11,6.108246e-12,1.998322e-10,1.355400e-10,5.658237e-11,3.009544e-10,2.117057e-10,2.058427e-10,1.377859e-10,4.947887e-13,7.535730e-11,1.180559e-10,6.388771e-12,6.871170e-11,2.627233e-11,3.814171e-11,2.426426e-12,1.102871e-11,6.442003e-12,3.081986e-11,8.308993e-12,1.130706e-09,5.659957e-11,5.658237e-11,1.243888e-09,5.719482e-10,6.684047e-11,1.355400e-10,7.743287e-10,1.100062e-11,1.100062e-11,1.180559e-10,2.751895e-10,6.388771e-12,3.996342e-10,5.126600e-10,2.058427e-10,6.343219e-10,1.352825e-09,6.108246e-12,6.108246e-12,2.620795e-08,9.057443e-10,2.103632e-09,1.453521e-09,4.947887e-13,4.256887e-07,6.491411e+02,3.566991e+02,2.924420e+02,3.566991e+02,2.924420e+02
2020-09-01,3.630000e+01,-1.185000e+02,1.215165e-08,5.515457e-10,6.549057e-10,3.920386e-10,1.478103e-09,1.147877e-07,2.173464e-10,2.020264e-12,3.099407e-11,1.358372e-10,6.598373e-11,1.179534e-11,2.563856e-11,1.132264e-10,5.452367e-11,3.293755e-11,2.480735e-10,1.127940e-10,7.743375e-11,8.246476e-11,9.339136e-12,4.640729e-11,6.123552e-11,5.583611e-12,3.256915e-11,1.056857e-11,1.074040e-11,6.084172e-13,1.478218e-11,8.634450e-12,5.857307e-12,3.661007e-12,6.650045e-10,3.293494e-11,3.293755e-11,7.308770e-10,2.343900e-10,2.191739e-11,5.452367e-11,3.108311e-10,1.179534e-11,1.179534e-11,6.123552e-11,1.596337e-10,5.583611e-12,2.264529e-10,3.608675e-10,7.743375e-11,2.193666e-10,6.576679e-10,2.563856e-11,2.563856e-11,1.215165e-08,3.920386e-10,1.478103e-09,6.549057e-10,9.339136e-12,1.147877e-07,9.118165e+02,6.281365e+02,2.836800e+02,6.281365e+02,2.836800e+02
2020-09-01,3.630000e+01,-1.183000e+02,2.757930e-08,1.251784e-09,1.486369e-09,8.897679e-10,3.354691e-09,2.613432e-07,4.932877e-10,4.599641e-12,7.058649e-11,3.082950e-10,1.497239e-10,2.681140e-11,5.818908e-11,2.569778e-10,1.237465e-10,7.475482e-11,5.630257e-10,2.559556e-10,1.757430e-10,1.871614e-10,2.118314e-11,1.053256e-10,1.389797e-10,1.267252e-11,7.391869e-11,2.398634e-11,2.440310e-11,1.383425e-12,3.354952e-11,1.959668e-11,1.330927e-11,8.308993e-12,1.509532e-09,7.476447e-11,7.475482e-11,1.659051e-09,5.319376e-10,4.977287e-11,1.237465e-10,7.054570e-10,2.681140e-11,2.681140e-11,1.389797e-10,3.623035e-10,1.267252e-11,5.139557e-10,8.189814e-10,1.757430e-10,4.978874e-10,1.492612e-09,5.818908e-11,5.818908e-11,2.757930e-08,8.897679e-10,3.354691e-09,1.486369e-09,2.118314e-11,2.613432e-07,5.347505e+02,3.516549e+02,1.830955e+02,3.516549e+02,1.830955e+02
