date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,terpenesfire,c2h6sfire,terpenes_monoterpenes,terpenes_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-09-21,3.110000e+01,-9.650000e+01,2.244710e-10,2.207489e-11,2.621174e-11,6.034934e-12,2.275351e-11,2.481105e-09,9.368156e-12,4.366745e-14,3.829409e-13,3.345664e-12,1.422666e-12,1.055639e-12,1.394381e-12,6.714580e-13,1.014063e-12,5.346285e-12,7.289239e-12,2.860785e-12,3.300543e-12,4.286286e-13,7.541142e-13,1.719051e-13,5.013605e-13,1.301517e-13,6.628095e-14,9.470652e-15,9.102111e-14,1.594996e-13,6.495870e-13,1.803409e-13,2.575837e-11,1.080449e-12,1.014063e-12,2.785288e-11,5.269690e-12,2.059033e-13,6.714580e-13,6.147052e-12,1.055639e-12,1.055639e-12,7.541142e-13,1.823010e-12,1.719051e-13,2.749029e-12,1.263552e-11,2.860785e-12,9.411824e-12,2.490813e-11,2.244710e-10,6.034934e-12,2.275351e-11,2.621174e-11,2.481105e-09,2.760576e-09,,,,,,,,,
2020-09-21,3.130000e+01,-9.970000e+01,1.758356e-09,6.452660e-11,9.678181e-11,6.034934e-11,1.410717e-10,2.870993e-08,4.215671e-11,5.052948e-13,2.489115e-12,2.383786e-11,9.755421e-12,7.280271e-13,1.324662e-11,9.064682e-12,3.752033e-12,1.985763e-11,1.423137e-11,1.382713e-11,9.139966e-12,5.000667e-12,7.918199e-12,4.297629e-13,4.612516e-12,1.757048e-12,2.551817e-12,1.628952e-13,7.281689e-13,4.253323e-13,2.069055e-12,5.522940e-13,7.615568e-11,3.774850e-12,3.752033e-12,8.368256e-11,3.820579e-11,4.471760e-12,9.064682e-12,5.174224e-11,7.280271e-13,7.280271e-13,7.918199e-12,1.824729e-11,4.297629e-13,2.659525e-11,3.408900e-11,1.382713e-11,4.266200e-11,9.057813e-11,1.758356e-09,6.034934e-11,1.410717e-10,9.678181e-11,2.870993e-08,3.076652e-08,3.946729e-13,2.874537e-14,3.946729e-13,3.946729e-13,2.874537e-14,,,,
2020-09-21,3.230000e+01,-1.003000e+02,5.611776e-10,2.037682e-11,3.024432e-11,1.931179e-11,4.550701e-11,8.861090e-09,1.271393e-11,1.559552e-13,7.658817e-13,7.527744e-12,3.048569e-12,2.184081e-13,4.183143e-12,2.853696e-12,1.216876e-12,6.110040e-12,4.512386e-12,4.291178e-12,2.792767e-12,1.571638e-12,2.450871e-12,1.375241e-13,1.403809e-12,5.531447e-13,7.953714e-13,5.114152e-14,2.275528e-13,1.329163e-13,6.495870e-13,1.690696e-13,2.393547e-11,1.179126e-12,1.216876e-12,2.633147e-11,1.198012e-11,1.399658e-12,2.853696e-12,1.623348e-11,2.184081e-13,2.184081e-13,2.450871e-12,5.754782e-12,1.375241e-13,8.343177e-12,1.062243e-11,4.291178e-12,1.286988e-11,2.778349e-11,5.611776e-10,1.931179e-11,4.550701e-11,3.024432e-11,8.861090e-09,9.517330e-09,1.578692e-13,,1.578692e-13,1.578692e-13,,,,,
2020-09-21,3.230000e+01,-9.809999e+01,6.360013e-10,2.377296e-11,3.629318e-11,2.172576e-11,5.005771e-11,1.063331e-08,1.539054e-11,1.871462e-13,8.616169e-13,8.782368e-12,3.658283e-12,2.548095e-13,4.880334e-12,3.357290e-12,1.419688e-12,7.637550e-12,5.206599e-12,5.006374e-12,3.300543e-12,1.857391e-12,2.827928e-12,1.547146e-13,1.704626e-12,6.507584e-13,9.279333e-13,6.061217e-14,2.730633e-13,1.594996e-13,7.698809e-13,2.028835e-13,2.793512e-11,1.405327e-12,1.419688e-12,3.076013e-11,1.414528e-11,1.639304e-12,3.357290e-12,1.914187e-11,2.548095e-13,2.548095e-13,2.827928e-12,6.737724e-12,1.547146e-13,9.720367e-12,1.284415e-11,5.006374e-12,1.557769e-11,3.342821e-11,6.360013e-10,2.172576e-11,5.005771e-11,3.629318e-11,1.063331e-08,1.137739e-08,1.578692e-13,,1.578692e-13,1.578692e-13,,,,,
2020-09-21,3.250000e+01,-1.147000e+02,4.152714e-09,1.511281e-10,2.298568e-10,1.436314e-10,3.322012e-10,6.734428e-08,9.903480e-11,1.185259e-12,5.839848e-12,5.687628e-11,2.296589e-11,1.747265e-12,3.172217e-11,2.148665e-11,8.923755e-12,4.735281e-11,3.366934e-11,3.266063e-11,2.183436e-11,1.200160e-11,1.866433e-11,1.014240e-12,1.082939e-11,4.164854e-12,6.031566e-12,3.845085e-13,1.729401e-12,1.010164e-12,4.883932e-12,1.318743e-12,1.788023e-10,8.942240e-12,8.923755e-12,1.966683e-10,9.067156e-11,1.058093e-11,2.148665e-11,1.227392e-10,1.747265e-12,1.747265e-12,1.866433e-11,4.372377e-11,1.014240e-12,6.340233e-11,8.102215e-11,3.266063e-11,1.002201e-10,2.139028e-10,4.152714e-09,1.436314e-10,3.322012e-10,2.298568e-10,6.734428e-08,7.220277e-08,9.472151e-13,8.623613e-14,9.472151e-13,9.472151e-13,8.623613e-14,,,,
2020-09-21,3.410000e+01,-1.169000e+02,1.122355e-09,4.075364e-11,6.250492e-11,3.862357e-11,9.101402e-11,1.807662e-08,2.676616e-11,3.181486e-13,1.531763e-12,1.505549e-11,6.097138e-12,4.732176e-13,8.366287e-12,5.707392e-12,2.433751e-12,1.298383e-11,9.024771e-12,8.820753e-12,5.839423e-12,3.143276e-12,5.090271e-12,2.750482e-13,2.907891e-12,1.106289e-12,1.623883e-12,1.041772e-13,4.551056e-13,2.658327e-13,1.323233e-12,3.494105e-13,4.812482e-11,2.393581e-12,2.433751e-12,5.295216e-11,2.406052e-11,2.834350e-12,5.707392e-12,3.260226e-11,4.732176e-13,4.732176e-13,5.090271e-12,1.150956e-11,2.750482e-13,1.687488e-11,2.200861e-11,8.820753e-12,2.708431e-11,5.791367e-11,1.122355e-09,3.862357e-11,9.101402e-11,6.250492e-11,1.807662e-08,1.559509e+03,2.368038e-13,2.874537e-14,2.368038e-13,2.368038e-13,2.874537e-14,1.088002e+03,4.715071e+02,1.088002e+03,4.715071e+02
2020-09-21,3.430000e+01,-1.095000e+02,6.734131e-10,2.377296e-11,3.629318e-11,2.293275e-11,5.460842e-11,1.063331e-08,1.605970e-11,1.871462e-13,9.573521e-13,9.200576e-12,3.658283e-12,2.912108e-13,4.880334e-12,3.357290e-12,1.419688e-12,7.637550e-12,5.206599e-12,5.244772e-12,3.554431e-12,1.857391e-12,3.016457e-12,1.547146e-13,1.704626e-12,6.507584e-13,9.610738e-13,6.061217e-14,2.730633e-13,1.594996e-13,7.698809e-13,2.141548e-13,2.828474e-11,1.416599e-12,1.419688e-12,3.112103e-11,1.456349e-11,1.672444e-12,3.357290e-12,1.959322e-11,2.912108e-13,2.912108e-13,3.016457e-12,6.737724e-12,1.547146e-13,9.908896e-12,1.284415e-11,5.244772e-12,1.624684e-11,3.433576e-11,6.734131e-10,2.293275e-11,5.460842e-11,3.629318e-11,1.063331e-08,1.142056e-08,1.578692e-13,,1.578692e-13,1.578692e-13,,,,,
2020-09-21,3.430000e+01,-1.177000e+02,4.003067e-09,1.460339e-10,2.217917e-10,1.375965e-10,3.230998e-10,6.486318e-08,9.568903e-11,1.141592e-12,5.648378e-12,5.478525e-11,2.215294e-11,1.674462e-12,3.067639e-11,2.064733e-11,8.619537e-12,4.582530e-11,3.228091e-11,3.146864e-11,2.107270e-11,1.157297e-11,1.809874e-11,9.798593e-13,1.042830e-11,4.002164e-12,5.832724e-12,3.712495e-13,1.683891e-12,9.835809e-13,4.715521e-12,1.262386e-12,1.727549e-10,8.645378e-12,8.619537e-12,1.900199e-10,8.736648e-11,1.020614e-11,2.064733e-11,1.182199e-10,1.674462e-12,1.674462e-12,1.809874e-11,4.224936e-11,9.798593e-13,6.132796e-11,7.810622e-11,3.146864e-11,9.683062e-11,2.064055e-10,4.003067e-09,1.375965e-10,3.230998e-10,2.217917e-10,6.486318e-08,6.954879e-08,9.472151e-13,5.749075e-14,9.472151e-13,9.472151e-13,5.749075e-14,,,,
2020-09-21,3.430000e+01,-1.179000e+02,2.600123e-08,9.492203e-10,1.441646e-09,8.979982e-10,2.088772e-09,4.228512e-07,6.216441e-10,7.442181e-12,3.666659e-11,3.554768e-10,1.438925e-10,1.088401e-11,1.986993e-10,1.344595e-10,5.617910e-11,2.993920e-10,2.099995e-10,2.043077e-10,1.368456e-10,7.472426e-11,1.174533e-10,6.343300e-12,6.808475e-11,2.606287e-11,3.791270e-11,2.411228e-12,1.092253e-11,6.379985e-12,3.062682e-11,8.250596e-12,1.122732e-09,5.617994e-11,5.617910e-11,1.235091e-09,5.674540e-10,6.638681e-11,1.344595e-10,7.683003e-10,1.088401e-11,1.088401e-11,1.174533e-10,2.734236e-10,6.343300e-12,3.972201e-10,5.093915e-10,2.043077e-10,6.290863e-10,1.342785e-09,2.600123e-08,8.979982e-10,2.088772e-09,1.441646e-09,4.228512e-07,7.715720e+02,6.156898e-12,4.599260e-13,6.156898e-12,6.156898e-12,4.599260e-13,4.915577e+02,2.800144e+02,4.915577e+02,2.800144e+02
2020-09-21,3.430000e+01,-1.181000e+02,1.431377e-07,5.218164e-09,7.938125e-09,4.945025e-09,1.149507e-08,2.327985e-06,3.422054e-09,4.097254e-11,2.013311e-10,1.956377e-09,7.922215e-10,5.984383e-11,1.092498e-09,7.401145e-10,3.088836e-10,1.646656e-09,1.156212e-09,1.124050e-09,7.525239e-10,4.117692e-10,6.457103e-10,3.491394e-11,3.748171e-10,1.433946e-10,2.085861e-10,1.326838e-11,6.007393e-11,3.514308e-11,1.685317e-10,4.538955e-11,6.172019e-09,3.091383e-10,3.088836e-10,6.790041e-09,3.123416e-09,3.652492e-10,7.401145e-10,4.228780e-09,5.984383e-11,5.984383e-11,6.457103e-10,1.504267e-09,3.491394e-11,2.184891e-09,2.802868e-09,1.124050e-09,3.463026e-09,7.389945e-09,1.431377e-07,4.945025e-09,1.149507e-08,7.938125e-09,2.327985e-06,9.064875e+02,3.354720e-11,2.558339e-12,3.354720e-11,3.354720e-11,2.558339e-12,6.526528e+02,2.538346e+02,6.526528e+02,2.538346e+02
