date,lat,lon,mami,apt,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,other_combustion_rate,other_total
2020-09-29,3.110000e+01,-9.530000e+01,3.181603e+02,3.409192e+02,2.046428e-08,9.288434e-10,1.102909e-09,6.602217e-10,2.489233e-09,1.938806e-07,3.660272e-10,3.412299e-12,5.236717e-11,2.287598e-10,1.111712e-10,1.991154e-11,4.317722e-11,1.906816e-10,9.182188e-11,5.546925e-11,4.177740e-10,1.898673e-10,1.304041e-10,1.388767e-10,1.572372e-11,7.815330e-11,1.031251e-10,9.403212e-12,5.484883e-11,1.779824e-11,1.812784e-11,1.026619e-12,2.489427e-11,1.454105e-11,9.888158e-12,6.165405e-12,1.120087e-09,5.548889e-11,5.546925e-11,1.231045e-09,3.947798e-10,3.695270e-11,9.182188e-11,5.235543e-10,1.991154e-11,1.991154e-11,1.031251e-10,2.688349e-10,9.403212e-12,3.813632e-10,6.076414e-10,1.304041e-10,3.694395e-10,1.107485e-09,4.317722e-11,4.317722e-11,2.046428e-08,6.602217e-10,2.489233e-09,1.102909e-09,1.572372e-11,3.181603e+02,3.409192e+02,1.938806e-07,6.590795e+02
2020-09-29,3.130000e+01,-1.017000e+02,,,5.985895e-10,2.207489e-11,3.427689e-11,2.172576e-11,5.005771e-11,9.924420e-09,1.472139e-11,1.746698e-13,8.616169e-13,8.364160e-12,3.455045e-12,2.548095e-13,1.578692e-13,4.531738e-12,3.189425e-12,1.318282e-12,6.873795e-12,4.859493e-12,4.767975e-12,3.300543e-12,,1.714514e-12,2.827928e-12,1.547146e-13,1.604353e-12,6.182205e-13,8.947928e-13,5.682391e-14,2.730633e-13,1.594996e-13,7.217634e-13,1.916122e-13,2.623705e-11,1.345939e-12,1.318282e-12,2.890127e-11,1.342356e-11,1.569837e-12,3.189425e-12,1.818282e-11,2.548095e-13,2.548095e-13,2.827928e-12,6.246253e-12,1.547146e-13,9.228895e-12,1.173329e-11,4.767975e-12,1.489606e-11,3.139732e-11,1.578692e-13,1.578692e-13,5.985895e-10,2.172576e-11,5.005771e-11,3.427689e-11,,,,9.924420e-09,1.062907e-08
2020-09-29,3.150000e+01,-9.670000e+01,,,7.856487e-10,2.886716e-11,4.234204e-11,2.655371e-11,6.370982e-11,1.275997e-08,1.873631e-11,2.245755e-13,1.053087e-12,1.045520e-11,4.267997e-12,3.276122e-13,1.578692e-13,5.926119e-12,4.028747e-12,1.723907e-12,9.165060e-12,6.247919e-12,6.198368e-12,4.062207e-12,,2.286019e-12,3.582042e-12,1.890956e-13,2.005442e-12,7.809101e-13,1.126776e-12,7.197695e-14,3.185739e-13,1.860829e-13,9.142335e-13,2.479687e-13,3.398246e-11,1.666859e-12,1.723907e-12,3.737322e-11,1.672864e-11,1.979663e-12,4.028747e-12,2.273705e-11,3.276122e-13,3.276122e-13,3.582042e-12,8.212138e-12,1.890956e-13,1.198328e-11,1.541298e-11,6.198368e-12,1.896089e-11,4.057224e-11,1.578692e-13,1.578692e-13,7.856487e-10,2.655371e-11,6.370982e-11,4.234204e-11,,,,1.275997e-08,1.367822e-08
2020-09-29,3.170000e+01,-9.570000e+01,,,1.870592e-10,1.867875e-11,2.217917e-11,4.827947e-12,1.820281e-11,2.126662e-09,8.029848e-12,3.742924e-14,3.829409e-13,2.927456e-12,1.219428e-12,8.736325e-13,,1.394381e-12,6.714580e-13,9.126568e-13,4.582530e-12,6.247919e-12,2.383988e-12,2.792767e-12,,4.286286e-13,7.541142e-13,1.547146e-13,4.010884e-13,9.761376e-14,6.628095e-14,7.576521e-15,9.102111e-14,1.329163e-13,5.533519e-13,1.577983e-13,2.185446e-11,9.350876e-13,9.126568e-13,2.370220e-11,4.547972e-12,1.714712e-13,6.714580e-13,5.390901e-12,8.736325e-13,8.736325e-13,7.541142e-13,1.823010e-12,1.547146e-13,2.731838e-12,1.083045e-11,2.383988e-12,8.067278e-12,2.128171e-11,,,1.870592e-10,4.827947e-12,1.820281e-11,2.217917e-11,,,,2.126662e-09,2.358931e-09
2020-09-29,3.230000e+01,-1.017000e+02,,,1.010120e-09,3.735750e-11,5.645606e-11,3.500262e-11,8.191262e-11,1.630440e-08,2.408955e-11,2.869575e-13,1.436028e-12,1.380086e-11,5.487425e-12,4.368163e-13,2.368038e-13,7.669096e-12,5.203799e-12,2.129532e-12,1.145633e-11,7.983452e-12,7.867159e-12,5.331647e-12,2.874537e-14,2.857524e-12,4.524685e-12,2.406672e-13,2.607074e-12,1.008676e-12,1.458181e-12,9.281238e-14,4.095950e-13,2.392494e-13,1.178880e-12,3.155966e-13,4.412518e-11,2.143321e-12,2.129532e-12,4.839803e-11,2.189536e-11,2.559669e-12,5.203799e-12,2.965883e-11,4.368163e-13,4.368163e-13,4.524685e-12,1.052662e-11,2.406672e-13,1.529197e-11,1.943978e-11,7.867159e-12,2.437650e-11,5.168344e-11,2.368038e-13,2.368038e-13,1.010120e-09,3.500262e-11,8.191262e-11,5.645606e-11,2.874537e-14,,,1.630440e-08,1.748792e-08
2020-09-29,3.230000e+01,-9.770000e+01,,,4.115302e-10,1.528262e-11,2.419545e-11,1.448384e-11,3.185491e-11,6.734428e-09,1.003731e-11,1.185259e-13,5.744113e-13,5.854912e-12,2.235618e-12,1.820068e-13,7.893459e-14,3.137357e-12,2.182238e-12,9.126568e-13,4.582530e-12,3.471066e-12,3.337583e-12,2.284991e-12,,1.143010e-12,1.885285e-12,1.031431e-13,1.102993e-12,4.229930e-13,5.965286e-13,3.977673e-14,1.820422e-13,1.063331e-13,5.052343e-13,1.352557e-13,1.814202e-11,9.288653e-13,9.126568e-13,1.998354e-11,9.193522e-12,1.059298e-12,2.182238e-12,1.243506e-11,1.820068e-13,1.820068e-13,1.885285e-12,4.280367e-12,1.031431e-13,6.268795e-12,8.053596e-12,3.337583e-12,1.015584e-11,2.154701e-11,7.893459e-14,7.893459e-14,4.115302e-10,1.448384e-11,3.185491e-11,2.419545e-11,,,,6.734428e-09,7.216493e-09
2020-09-29,3.230000e+01,-9.470000e+01,,,1.159767e-09,4.245171e-11,6.452121e-11,3.983056e-11,9.556472e-11,1.878551e-08,2.810447e-11,3.306250e-13,1.627499e-12,1.589190e-11,6.503614e-12,4.732177e-13,2.368038e-13,8.714881e-12,6.043121e-12,2.535158e-12,1.374759e-11,9.371878e-12,9.059153e-12,6.093311e-12,2.874537e-14,3.286153e-12,5.278799e-12,2.922387e-13,3.008163e-12,1.171365e-12,1.690164e-12,1.079654e-13,5.006161e-13,2.924160e-13,1.371350e-12,3.719531e-13,5.017252e-11,2.536336e-12,2.535158e-12,5.524401e-11,2.540368e-11,2.969495e-12,6.043121e-12,3.441630e-11,4.732177e-13,4.732177e-13,5.278799e-12,1.200103e-11,2.922387e-13,1.757207e-11,2.311947e-11,9.059153e-12,2.843509e-11,6.061372e-11,2.368038e-13,2.368038e-13,1.159767e-09,3.983056e-11,9.556472e-11,6.452121e-11,2.874537e-14,,,1.878551e-08,2.014522e-08
2020-09-29,3.250000e+01,-1.003000e+02,,,2.169887e-09,7.811114e-11,1.189610e-10,7.483318e-11,1.729266e-10,3.508991e-08,5.152486e-11,6.175825e-13,3.063527e-12,2.927456e-11,1.199104e-11,9.100339e-13,4.736075e-13,1.638398e-11,1.107906e-11,4.664690e-12,2.444016e-11,1.735533e-11,1.692631e-11,1.142496e-11,2.874537e-14,6.143677e-12,9.803484e-12,5.329059e-13,5.615237e-12,2.147503e-12,3.148345e-12,1.988837e-13,9.102111e-13,5.316654e-13,2.526172e-12,6.875497e-13,9.259963e-11,4.655598e-12,4.664690e-12,1.019199e-10,4.688084e-11,5.494732e-12,1.107906e-11,6.345462e-11,9.100339e-13,9.100339e-13,9.803484e-12,2.252766e-11,5.329059e-13,3.286404e-11,4.179549e-11,1.692631e-11,5.214244e-11,1.108642e-10,4.736075e-13,4.736075e-13,2.169887e-09,7.483318e-11,1.729266e-10,1.189610e-10,2.874537e-14,,,3.508991e-08,3.762655e-08
2020-09-29,3.270000e+01,-9.609999e+01,,,1.122355e-09,4.075364e-11,6.048863e-11,3.862358e-11,9.101402e-11,1.807662e-08,2.676616e-11,3.181486e-13,1.531763e-12,1.505549e-11,6.097138e-12,4.732177e-13,2.368038e-13,8.366287e-12,5.707392e-12,2.433751e-12,1.298384e-11,9.024771e-12,8.582355e-12,5.839423e-12,2.874537e-14,3.143277e-12,4.901742e-12,2.750482e-13,2.907891e-12,1.106289e-12,1.623883e-12,1.022830e-13,4.551056e-13,2.658327e-13,1.299174e-12,3.494105e-13,4.812483e-11,2.369523e-12,2.433751e-12,5.292810e-11,2.406052e-11,2.832456e-12,5.707392e-12,3.260037e-11,4.732177e-13,4.732177e-13,4.901742e-12,1.150956e-11,2.750482e-13,1.668635e-11,2.200861e-11,8.582355e-12,2.708431e-11,5.767527e-11,2.368038e-13,2.368038e-13,1.122355e-09,3.862358e-11,9.101402e-11,6.048863e-11,2.874537e-14,,,1.807662e-08,1.938913e-08
2020-09-29,3.270000e+01,-9.530000e+01,,,3.741184e-10,1.358455e-11,2.016288e-11,1.327685e-11,3.185491e-11,6.025541e-09,8.699002e-12,1.060495e-13,4.786761e-13,5.018496e-12,2.032379e-12,1.456054e-13,7.893459e-14,2.788762e-12,1.846509e-12,8.112505e-13,4.582530e-12,3.123959e-12,2.860785e-12,2.031104e-12,,1.000133e-12,1.696757e-12,8.595257e-14,1.002721e-12,3.579171e-13,5.302476e-13,3.409435e-14,1.365317e-13,7.974981e-14,4.330580e-13,1.127131e-13,1.609433e-11,7.620525e-13,8.112505e-13,1.766763e-11,8.053596e-12,9.222591e-13,1.846509e-12,1.082236e-11,1.456054e-13,1.456054e-13,1.696757e-12,3.788895e-12,8.595257e-14,5.571605e-12,7.706490e-12,2.860785e-12,8.805052e-12,1.937233e-11,7.893459e-14,7.893459e-14,3.741184e-10,1.327685e-11,3.185491e-11,2.016288e-11,,,,6.025541e-09,6.464954e-09
