date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,terpenesfire,c2h6sfire,terpenes_monoterpenes,terpenes_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-10-13,3.110000e+01,-9.590001e+01,9.051482e-10,8.348318e-11,9.745875e-11,2.207242e-11,8.123766e-11,1.039191e-08,3.691727e-11,1.828977e-13,1.614807e-12,1.310005e-11,5.599250e-12,3.954248e-12,5.283336e-12,2.752991e-12,4.022104e-12,2.125576e-11,2.709873e-11,1.087289e-11,1.231892e-11,1.838330e-12,3.122943e-12,6.636181e-13,1.951948e-12,4.801064e-13,2.327789e-13,2.961695e-14,2.860034e-13,5.966359e-13,2.382520e-12,6.923613e-13,9.741691e-11,3.957520e-12,4.022104e-12,1.053965e-10,2.065124e-11,7.425022e-13,2.752991e-12,2.414674e-11,3.954248e-12,3.954248e-12,3.122943e-12,7.121665e-12,6.636181e-13,1.090823e-11,4.835450e-11,1.087289e-11,3.710017e-11,9.632756e-11,9.051482e-10,2.207242e-11,8.123766e-11,9.745875e-11,1.039191e-08,1.149783e-08,,,,,,,,,
2020-10-13,3.110000e+01,-9.550000e+01,4.563012e-08,2.069606e-09,2.457142e-09,1.471495e-09,5.545539e-09,4.312644e-07,8.159990e-10,7.590254e-12,1.166249e-10,5.094463e-10,2.475458e-10,4.437908e-11,4.246989e-10,2.045472e-10,1.236510e-10,9.311396e-10,4.232564e-10,2.906406e-10,3.093729e-10,1.741817e-10,2.296564e-10,2.095799e-11,1.222756e-10,3.963545e-11,4.042593e-11,2.290378e-12,5.548465e-11,3.240926e-11,2.200696e-11,1.374590e-11,2.495604e-09,1.236468e-10,1.236510e-10,2.742902e-09,8.792676e-10,8.235176e-11,2.045472e-10,1.166167e-09,4.437908e-11,4.437908e-11,2.296564e-10,5.988806e-10,2.095799e-11,8.494951e-10,1.354396e-09,2.906406e-10,8.235893e-10,2.468626e-09,4.563012e-08,1.471495e-09,5.545539e-09,2.457142e-09,4.312644e-07,2.150002e+03,1.300021e+03,8.499812e+02,9.623390e-11,3.504521e-11,9.623390e-11,9.623390e-11,3.504521e-11,1.300021e+03,8.499812e+02
2020-10-13,3.130000e+01,-9.730000e+01,4.259521e-10,1.553175e-11,2.362636e-11,1.471495e-11,3.420533e-11,6.927943e-09,1.018408e-11,1.219318e-13,6.279804e-13,5.822243e-12,2.357579e-12,1.633987e-13,3.251284e-12,2.202393e-12,9.193380e-13,4.799689e-12,3.441109e-12,3.345504e-12,2.239804e-12,1.225553e-12,1.921811e-12,1.080309e-13,1.115399e-12,4.267613e-13,6.207437e-13,3.948927e-14,1.634305e-13,9.546174e-14,5.015830e-13,1.350949e-13,1.839954e-11,8.955702e-13,9.193380e-13,2.021445e-11,9.295220e-12,1.086994e-12,2.202393e-12,1.258461e-11,1.633987e-13,1.633987e-13,1.921811e-12,4.476836e-12,1.080309e-13,6.506678e-12,8.240798e-12,3.345504e-12,1.030601e-11,2.189231e-11,4.259521e-10,1.471495e-11,3.420533e-11,2.362636e-11,6.927943e-09,7.426441e-09,,,7.086443e-14,,7.086443e-14,7.086443e-14,,,
2020-10-13,3.170000e+01,-9.470000e+01,4.791961e-10,2.329763e-11,2.657966e-11,1.655432e-11,5.985933e-11,4.329964e-09,8.911066e-12,7.620737e-14,1.255961e-12,5.822243e-12,2.652276e-12,4.901960e-13,4.470515e-12,2.202393e-12,1.379007e-12,1.028505e-11,4.731525e-12,3.345504e-12,3.359706e-12,1.838330e-12,2.402264e-12,2.314947e-13,1.394248e-12,4.267613e-13,4.655578e-13,2.468080e-14,6.128644e-13,3.579815e-13,2.507915e-13,1.519817e-13,2.791330e-11,1.373619e-12,1.379007e-12,3.066593e-11,9.868767e-12,9.169999e-13,2.202393e-12,1.298816e-11,4.901960e-13,4.901960e-13,2.402264e-12,6.308844e-12,2.314947e-13,8.942603e-12,1.501657e-11,3.345504e-12,8.987274e-12,2.734935e-11,4.791961e-10,1.655432e-11,5.985933e-11,2.657966e-11,4.329964e-09,4.912541e-09,,,1.062966e-12,3.870973e-13,1.062966e-12,1.062966e-12,3.870973e-13,,
2020-10-13,3.190000e+01,-9.450000e+01,1.171368e-08,5.319626e-10,6.320052e-10,3.770706e-10,1.423797e-09,1.108471e-07,2.087736e-10,1.950909e-12,2.996364e-11,1.310005e-10,6.365463e-11,1.137255e-11,1.089180e-10,5.258213e-11,3.171716e-11,2.386131e-10,1.083949e-10,7.443746e-11,7.951304e-11,4.473268e-11,5.885547e-11,5.370677e-12,3.137059e-11,1.018893e-11,1.039746e-11,5.874030e-13,1.421845e-11,8.305171e-12,5.642809e-12,3.529354e-12,6.414393e-10,3.169578e-11,3.171716e-11,7.048523e-10,2.260257e-10,2.117378e-11,5.258213e-11,2.997816e-10,1.137255e-11,1.137255e-11,5.885547e-11,1.536507e-10,5.370677e-12,2.178768e-10,3.470080e-10,7.443746e-11,2.107245e-10,6.321700e-10,1.171368e-08,3.770706e-10,1.423797e-09,6.320052e-10,1.108471e-07,1.349967e+03,1.049952e+03,3.000154e+02,2.466082e-11,8.980657e-12,2.466082e-11,2.466082e-11,8.980657e-12,1.049952e+03,3.000154e+02
2020-10-13,3.230000e+01,-9.430000e+01,5.856841e-10,2.718057e-11,3.248625e-11,1.839369e-11,7.268633e-11,5.195957e-09,1.018408e-11,9.144884e-14,1.525095e-12,6.550024e-12,3.241671e-12,5.555555e-13,5.283336e-12,2.477692e-12,1.608842e-12,1.165639e-11,5.591802e-12,3.763692e-12,3.919657e-12,2.144718e-12,2.882717e-12,2.623607e-13,1.533673e-12,4.801064e-13,5.431507e-13,2.961695e-14,6.945796e-13,4.057124e-13,2.507915e-13,1.688686e-13,3.262532e-11,1.519952e-12,1.608842e-12,3.575411e-11,1.132537e-11,1.052874e-12,2.477692e-12,1.485593e-11,5.555555e-13,5.555555e-13,2.882717e-12,7.428054e-12,2.623607e-13,1.057313e-11,1.724819e-11,3.763692e-12,1.027552e-11,3.128740e-11,5.856841e-10,1.839369e-11,7.268633e-11,3.248625e-11,5.195957e-09,5.905646e-09,,,1.204695e-12,4.387103e-13,1.204695e-12,1.204695e-12,4.387103e-13,,
2020-10-13,3.250000e+01,-9.709999e+01,5.856841e-10,2.135616e-11,3.248625e-11,2.023306e-11,4.703233e-11,9.525921e-09,1.400310e-11,1.676562e-13,8.971148e-13,8.005584e-12,3.241671e-12,2.614379e-13,4.470515e-12,3.028290e-12,1.264090e-12,6.856698e-12,4.731525e-12,4.600067e-12,3.079730e-12,1.685135e-12,2.642491e-12,1.543298e-13,1.533673e-12,5.867967e-13,8.535225e-13,5.429775e-14,2.451457e-13,1.431926e-13,6.896767e-13,1.857555e-13,2.533301e-11,1.263771e-12,1.264090e-12,2.786087e-11,1.278093e-11,1.494617e-12,3.028290e-12,1.730384e-11,2.614379e-13,2.614379e-13,2.642491e-12,6.155650e-12,1.543298e-13,8.952471e-12,1.158822e-11,4.600067e-12,1.417076e-11,3.035905e-11,5.856841e-10,2.023306e-11,4.703233e-11,3.248625e-11,9.525921e-09,1.021136e-08,,,1.417289e-13,,1.417289e-13,1.417289e-13,,,
2020-10-13,3.270000e+01,-9.670000e+01,4.791961e-10,1.747322e-11,2.657966e-11,1.655432e-11,3.848100e-11,7.793935e-09,1.145709e-11,1.371733e-13,6.279804e-13,6.550024e-12,2.652276e-12,1.960784e-13,3.657694e-12,2.477692e-12,1.034255e-12,5.485359e-12,3.871248e-12,3.763692e-12,2.519779e-12,1.378747e-12,2.162038e-12,1.080309e-13,1.254824e-12,4.801064e-13,6.983366e-13,4.442543e-14,2.042881e-13,1.193272e-13,5.642809e-13,1.519817e-13,2.062098e-11,1.039878e-12,1.034255e-12,2.269512e-11,1.045712e-11,1.222868e-12,2.477692e-12,1.415768e-11,1.960784e-13,1.960784e-13,2.162038e-12,5.036441e-12,1.080309e-13,7.306510e-12,9.356607e-12,3.763692e-12,1.159426e-11,2.471456e-11,4.791961e-10,1.655432e-11,3.848100e-11,2.657966e-11,7.793935e-09,8.354746e-09,,,1.417289e-13,,1.417289e-13,1.417289e-13,,,
2020-10-13,3.270000e+01,-9.630000e+01,3.727081e-10,1.359029e-11,2.067307e-11,1.287558e-11,2.992967e-11,6.061950e-09,8.911066e-12,1.066903e-13,5.382689e-13,5.094463e-12,2.062882e-12,1.633987e-13,2.844873e-12,1.927094e-12,8.044208e-13,4.114019e-12,3.010971e-12,2.927316e-12,1.959828e-12,1.072359e-12,1.681585e-12,9.259789e-14,9.759740e-13,3.734161e-13,5.431507e-13,3.455311e-14,1.634305e-13,9.546174e-14,4.388852e-13,1.182080e-13,1.608838e-11,8.159855e-13,8.044208e-13,1.770879e-11,8.133318e-12,9.511199e-13,1.927094e-12,1.101153e-11,1.633987e-13,1.633987e-13,1.681585e-12,3.917232e-12,9.259789e-14,5.691415e-12,7.124990e-12,2.927316e-12,9.017757e-12,1.907006e-11,3.727081e-10,1.287558e-11,2.992967e-11,2.067307e-11,6.061950e-09,6.498136e-09,,,7.086443e-14,,7.086443e-14,7.086443e-14,,,
2020-10-13,3.290000e+01,-9.770000e+01,7.454162e-10,2.718057e-11,4.134613e-11,2.575116e-11,5.985933e-11,1.212390e-08,1.782213e-11,2.133806e-13,9.868263e-13,1.018893e-11,4.125763e-12,2.941176e-13,5.689746e-12,3.854188e-12,1.608842e-12,8.228038e-12,6.021941e-12,5.854631e-12,3.919657e-12,2.144718e-12,3.363170e-12,1.697628e-13,1.951948e-12,7.468322e-13,1.086301e-12,6.910623e-14,2.860034e-13,1.670580e-13,8.777703e-13,2.364161e-13,3.208705e-11,1.567248e-12,1.608842e-12,3.526314e-11,1.626664e-11,1.902240e-12,3.854188e-12,2.202306e-11,2.941176e-13,2.941176e-13,3.363170e-12,7.834464e-12,1.697628e-13,1.136740e-11,1.424998e-11,5.854631e-12,1.803551e-11,3.814012e-11,7.454162e-10,2.575116e-11,5.985933e-11,4.134613e-11,1.212390e-08,1.299630e-08,,,1.417289e-13,2.580649e-14,1.417289e-13,1.417289e-13,2.580649e-14,,
