date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,c5h8fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c2h6sfire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,isoprene_isoprene,isoprene_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_dms,other_combustion_rate,other_total
2020-11-14,3.210000e+01,-1.021000e+02,2.509466e-09,9.132890e-11,1.387665e-10,8.660992e-11,2.016196e-10,4.077680e-08,5.996643e-11,7.176716e-13,3.514566e-12,3.423641e-11,1.387068e-11,1.043340e-12,5.897113e-13,1.911278e-11,1.297714e-11,5.411081e-12,2.877157e-11,2.020614e-11,1.969112e-11,1.314168e-11,4.076486e-14,7.208761e-12,1.132805e-11,6.100980e-13,6.566845e-12,2.514811e-12,3.653601e-12,2.321901e-13,1.053282e-12,6.147117e-13,2.952240e-12,7.951475e-13,1.079851e-10,5.415381e-12,5.411081e-12,1.188116e-10,5.467393e-11,6.400602e-12,1.297714e-11,7.405167e-11,1.043340e-12,1.043340e-12,1.132805e-11,2.632154e-11,6.100980e-13,3.825969e-11,4.897771e-11,1.969112e-11,6.068410e-11,1.293529e-10,5.897113e-13,5.897113e-13,2.509466e-09,8.660992e-11,2.016196e-10,1.387665e-10,4.076486e-14,4.077680e-08,4.371330e-08
2020-11-14,3.210000e+01,-1.019000e+02,9.782662e-10,3.564055e-11,5.432561e-11,3.382399e-11,7.866219e-11,1.592467e-08,2.338939e-11,2.802741e-13,1.405827e-12,1.332107e-11,5.394153e-12,4.110128e-13,2.298875e-13,7.493079e-12,5.037180e-12,2.113203e-12,1.120970e-11,7.815583e-12,7.690021e-12,5.105400e-12,1.358829e-14,2.805380e-12,4.385053e-12,2.382631e-13,2.548019e-12,9.811147e-13,1.426850e-12,9.099344e-14,4.072690e-13,2.388370e-13,1.152946e-12,3.105310e-13,4.215177e-11,2.109583e-12,2.113203e-12,4.637456e-11,2.126325e-11,2.498958e-12,5.037180e-12,2.879938e-11,4.110128e-13,4.110128e-13,4.385053e-12,1.029846e-11,2.382631e-13,1.492177e-11,1.902528e-11,7.690021e-12,2.366967e-11,5.038497e-11,2.298875e-13,2.298875e-13,9.782662e-10,3.382399e-11,7.866219e-11,5.432561e-11,1.358829e-14,1.592467e-08,1.706976e-08
2020-11-14,3.350000e+01,-1.109000e+02,9.272263e-10,3.396990e-11,5.137313e-11,3.203030e-11,7.407992e-11,1.508018e-08,2.214528e-11,2.654111e-13,1.317962e-12,1.269859e-11,5.105180e-12,3.793964e-13,2.198924e-13,7.058697e-12,4.781052e-12,2.001139e-12,1.064922e-11,7.434335e-12,7.282217e-12,4.916311e-12,1.358829e-14,2.663335e-12,4.165800e-12,2.274330e-13,2.423725e-12,9.247288e-13,1.351184e-12,8.576393e-14,3.885440e-13,2.270909e-13,1.091805e-12,2.940634e-13,4.020417e-11,2.001503e-12,2.001139e-12,4.420681e-11,2.022750e-11,2.361676e-12,4.781052e-12,2.737023e-11,3.793964e-13,3.793964e-13,4.165800e-12,9.722032e-12,2.274330e-13,1.411526e-11,1.808355e-11,7.282217e-12,2.241069e-11,4.777646e-11,2.198924e-13,2.198924e-13,9.272263e-10,3.203030e-11,7.407992e-11,5.137313e-11,1.358829e-14,1.508018e-08,1.616490e-08
2020-11-14,3.390000e+01,-9.970000e+01,6.209864e-10,2.283222e-11,3.424875e-11,2.126812e-11,4.964119e-11,1.001324e-08,1.468058e-11,1.762330e-13,8.786416e-13,8.465730e-12,3.467670e-12,2.529309e-13,1.499266e-13,4.778195e-12,3.201597e-12,1.328757e-12,7.099479e-12,4.956224e-12,4.835392e-12,3.214511e-12,1.358829e-14,1.775557e-12,2.777200e-12,1.516220e-13,1.615817e-12,6.202449e-13,8.971861e-13,5.752458e-14,2.574689e-13,1.526991e-13,7.249584e-13,1.952581e-13,2.692538e-11,1.330384e-12,1.328757e-12,2.958452e-11,1.354922e-11,1.574956e-12,3.201597e-12,1.832577e-11,2.529309e-13,2.529309e-13,2.777200e-12,6.553752e-12,1.516220e-13,9.482574e-12,1.205570e-11,4.835392e-12,1.485681e-11,3.174790e-11,1.499266e-13,1.499266e-13,6.209864e-10,2.126812e-11,4.964119e-11,3.424875e-11,1.358829e-14,1.001324e-08,1.073940e-08
2020-11-14,3.470000e+01,-1.183000e+02,4.933864e-10,1.782027e-11,2.716280e-11,1.691200e-11,3.971295e-11,7.962333e-09,1.169470e-11,1.401371e-13,7.029133e-13,6.722785e-12,2.697077e-12,1.896982e-13,1.199413e-13,3.800837e-12,2.518590e-12,1.056602e-12,5.604851e-12,4.003104e-12,3.845011e-12,2.552700e-12,1.358829e-14,1.420445e-12,2.192526e-12,1.191316e-13,1.284367e-12,4.961959e-13,7.134250e-13,4.601967e-14,2.059751e-13,1.213762e-13,5.764730e-13,1.552655e-13,2.107589e-11,1.059090e-12,1.056602e-12,2.319158e-11,1.070423e-11,1.255641e-12,2.518590e-12,1.447846e-11,1.896982e-13,1.896982e-13,2.192526e-12,5.221283e-12,1.191316e-13,7.532940e-12,9.607955e-12,3.845011e-12,1.183483e-11,2.528780e-11,1.199413e-13,1.199413e-13,4.933864e-10,1.691200e-11,3.971295e-11,2.716280e-11,1.358829e-14,7.962333e-09,8.539521e-09
2020-11-14,3.530000e+01,-9.690001e+01,8.506663e-10,3.118548e-11,4.723966e-11,2.946787e-11,6.873395e-11,1.387376e-08,2.040351e-11,2.441782e-13,1.230098e-12,1.170263e-11,4.719884e-12,3.477800e-13,1.999021e-13,6.515721e-12,4.439549e-12,1.841048e-12,9.901904e-12,6.862464e-12,6.699640e-12,4.538133e-12,1.358829e-14,2.450269e-12,3.873463e-12,2.093827e-13,2.237285e-12,8.570657e-13,1.243089e-12,7.948852e-14,3.604565e-13,2.094718e-13,1.004460e-12,2.705384e-13,3.695371e-11,1.844927e-12,1.841048e-12,4.063969e-11,1.865979e-11,2.179643e-12,4.439549e-12,2.527899e-11,3.477800e-13,3.477800e-13,3.873463e-12,8.965989e-12,2.093827e-13,1.304884e-11,1.676437e-11,6.699640e-12,2.064769e-11,4.411170e-11,1.999021e-13,1.999021e-13,8.506663e-10,2.946787e-11,6.873395e-11,4.723966e-11,1.358829e-14,1.387376e-08,1.486988e-08
2020-11-14,3.530000e+01,-1.201000e+02,9.697596e-10,3.564055e-11,5.373511e-11,3.356775e-11,7.789848e-11,1.580402e-08,2.314057e-11,2.781508e-13,1.405827e-12,1.332107e-11,5.394153e-12,4.110128e-13,2.298875e-13,7.384484e-12,4.994492e-12,2.097194e-12,1.120970e-11,7.815583e-12,7.631763e-12,5.105400e-12,1.358829e-14,2.805380e-12,4.385053e-12,2.382631e-13,2.548019e-12,9.698375e-13,1.416041e-12,8.994753e-14,4.072690e-13,2.388370e-13,1.144211e-12,3.081785e-13,4.215177e-11,2.098496e-12,2.097194e-12,4.634746e-11,2.126325e-11,2.475826e-12,4.994492e-12,2.873356e-11,4.110128e-13,4.110128e-13,4.385053e-12,1.018986e-11,2.382631e-13,1.481318e-11,1.902528e-11,7.631763e-12,2.341872e-11,5.007577e-11,2.298875e-13,2.298875e-13,9.697596e-10,3.356775e-11,7.789848e-11,5.373511e-11,1.358829e-14,1.580402e-08,1.693900e-08
2020-11-14,3.570000e+01,-1.013000e+02,2.390372e-09,8.743072e-11,1.328615e-10,8.251004e-11,1.916913e-10,3.884653e-08,5.722937e-11,6.836990e-13,3.338838e-12,3.274245e-11,1.319641e-11,1.011724e-12,5.597260e-13,1.824402e-11,1.237951e-11,5.154935e-12,2.746377e-11,1.925302e-11,1.875899e-11,1.257441e-11,4.076486e-14,6.889161e-12,1.081646e-11,5.848277e-13,6.256111e-12,2.390762e-12,3.480650e-12,2.217311e-13,1.001788e-12,5.873042e-13,2.812489e-12,7.575074e-13,1.033440e-10,5.159089e-12,5.154935e-12,1.136580e-10,5.219497e-11,6.093143e-12,1.237951e-11,7.066762e-11,1.011724e-12,1.011724e-12,1.081646e-11,2.513318e-11,5.848277e-13,3.653447e-11,4.671680e-11,1.875899e-11,5.791307e-11,1.233889e-10,5.597260e-13,5.597260e-13,2.390372e-09,8.251004e-11,1.916913e-10,1.328615e-10,4.076486e-14,3.884653e-08,4.164401e-08
2020-11-14,3.590000e+01,-9.790001e+01,7.570930e-10,2.784418e-11,4.192520e-11,2.613672e-11,6.109684e-11,1.230542e-08,1.816410e-11,2.165755e-13,1.054370e-12,1.033317e-11,4.141939e-12,3.161637e-13,1.799119e-13,5.755553e-12,3.927293e-12,1.632930e-12,8.780933e-12,6.099968e-12,5.942289e-12,3.970867e-12,1.358829e-14,2.166179e-12,3.434958e-12,1.841124e-13,1.988697e-12,7.555711e-13,1.102566e-12,7.007540e-14,3.183252e-13,1.859796e-13,8.909127e-13,2.399558e-13,3.286941e-11,1.635173e-12,1.632930e-12,3.613752e-11,1.646381e-11,1.928212e-12,3.927293e-12,2.231931e-11,3.161637e-13,3.161637e-13,3.434958e-12,7.921733e-12,1.841124e-13,1.154080e-11,1.488090e-11,5.942289e-12,1.838068e-11,3.920387e-11,1.799119e-13,1.799119e-13,7.570930e-10,2.613672e-11,6.109684e-11,4.192520e-11,1.358829e-14,1.230542e-08,1.319169e-08
2020-11-14,3.650000e+01,-1.199000e+02,2.126666e-10,1.893404e-11,2.243884e-11,5.124847e-12,1.909276e-11,2.292187e-09,8.459994e-12,4.034249e-14,3.514567e-13,2.987905e-12,1.252214e-12,9.168746e-13,9.995107e-15,1.303144e-12,6.403195e-13,9.285287e-13,4.857538e-12,6.290592e-12,2.563340e-12,2.836333e-12,,4.261336e-13,7.308421e-13,1.516220e-13,4.557431e-13,1.127718e-13,6.485682e-14,7.321311e-15,7.021879e-14,1.350800e-13,5.590041e-13,1.599705e-13,2.212183e-11,9.242732e-13,9.285287e-13,2.397463e-11,4.695862e-12,1.849499e-13,6.403195e-13,5.521131e-12,9.168746e-13,9.168746e-13,7.308421e-13,1.729278e-12,1.516220e-13,2.611742e-12,1.114813e-11,2.563340e-12,8.500337e-12,2.221181e-11,9.995107e-15,9.995107e-15,2.126666e-10,5.124847e-12,1.909276e-11,2.243884e-11,,2.292187e-09,2.551510e-09
