date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,c2h6sfire,other_dms
2020-11-17,3.110000e+01,-9.750000e+01,4.150969e-10,1.762044e-11,2.385819e-11,1.419524e-11,3.323803e-11,6.494714e-09,9.555701e-12,1.143070e-13,5.883082e-13,5.805710e-12,1.908881e-12,1.003857e-13,2.676952e-12,2.143679e-12,8.841847e-13,4.743965e-12,3.693516e-12,3.388546e-12,2.215629e-12,1.313062e-12,1.801577e-12,9.668653e-14,1.040284e-12,4.152946e-13,5.814746e-13,3.851648e-14,1.723923e-13,9.894556e-14,4.878377e-13,1.306285e-13,2.042438e-11,8.898041e-13,8.841847e-13,2.219837e-11,8.754875e-12,1.035286e-12,2.143679e-12,1.193384e-11,1.801577e-12,3.990014e-12,9.668653e-14,5.888277e-12,8.437481e-12,3.388546e-12,9.670008e-12,2.149603e-11,1.003857e-13,1.003857e-13,4.150969e-10,1.419524e-11,3.323803e-11,2.385819e-11,6.494714e-09,6.981102e-09,,,,,
2020-11-17,3.270000e+01,-1.115000e+02,6.522952e-10,2.349392e-11,3.749144e-11,2.285087e-11,5.369220e-11,1.073040e-08,1.672248e-11,1.888550e-13,8.824622e-13,9.434278e-12,3.817763e-12,1.673095e-13,5.353904e-12,3.429887e-12,1.442617e-12,7.511278e-12,5.540274e-12,5.082820e-12,3.481703e-12,1.750749e-12,2.702366e-12,1.571156e-13,1.733806e-12,6.795730e-13,9.691243e-13,6.302696e-14,2.820965e-13,1.607865e-13,7.840249e-13,2.104570e-13,2.785809e-11,1.437365e-12,1.442617e-12,3.073807e-11,1.498585e-11,1.711724e-12,3.429887e-12,2.012746e-11,2.702366e-12,7.104652e-12,1.571156e-13,9.964134e-12,1.305155e-11,5.082820e-12,1.691133e-11,3.504570e-11,1.673095e-13,1.673095e-13,6.522952e-10,2.285087e-11,5.369220e-11,3.749144e-11,1.073040e-08,1.149673e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,3.270000e+01,-1.151000e+02,2.964978e-10,1.174696e-11,1.704156e-11,1.107921e-11,2.556771e-11,5.365199e-09,7.166776e-12,9.442750e-14,5.883082e-13,4.354282e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.714943e-12,6.980406e-13,3.557974e-12,2.770137e-12,2.541410e-12,1.582592e-12,8.753745e-13,1.801577e-12,8.460071e-14,8.322270e-13,3.397865e-13,4.845622e-13,3.151348e-14,1.410483e-13,8.039327e-14,3.833011e-13,1.015999e-13,1.391786e-11,7.063425e-13,6.980406e-13,1.532225e-11,7.095391e-12,8.558621e-13,1.714943e-12,9.666196e-12,1.801577e-12,3.552326e-12,8.460071e-14,5.438504e-12,6.328111e-12,2.541410e-12,7.261203e-12,1.613072e-11,6.692380e-14,6.692380e-14,2.964978e-10,1.107921e-11,2.556771e-11,1.704156e-11,5.365199e-09,5.715385e-09,,,,,
2020-11-17,3.290000e+01,-9.930000e+01,3.557974e-10,1.174696e-11,2.044988e-11,1.281033e-11,3.068126e-11,5.929956e-09,9.555701e-12,1.043672e-13,5.883082e-13,5.079996e-12,1.908881e-12,1.003857e-13,2.676952e-12,1.857855e-12,7.911127e-13,4.348635e-12,2.770137e-12,2.964978e-12,1.899111e-12,8.753745e-13,1.801577e-12,8.460071e-14,9.709316e-13,3.775406e-13,5.491704e-13,3.501498e-14,1.567203e-13,9.276146e-14,4.355694e-13,1.161142e-13,1.423438e-11,8.011653e-13,7.911127e-13,1.582666e-11,7.959809e-12,9.617259e-13,1.857855e-12,1.077939e-11,1.801577e-12,3.552326e-12,8.460071e-14,5.438504e-12,7.118772e-12,2.964978e-12,9.660068e-12,1.974382e-11,1.003857e-13,1.003857e-13,3.557974e-10,1.281033e-11,3.068126e-11,2.044988e-11,5.929956e-09,6.349695e-09,,,,,
2020-11-17,3.350000e+01,-9.530000e+01,8.894934e-10,3.524088e-11,5.112469e-11,3.150650e-11,7.414637e-11,1.496608e-08,2.150033e-11,2.634030e-13,1.176616e-12,1.233713e-11,4.772203e-12,2.007714e-13,6.692379e-12,4.716094e-12,1.954514e-12,1.067392e-11,7.387031e-12,7.200661e-12,4.747777e-12,2.626123e-12,4.503943e-12,2.175447e-13,2.427329e-12,9.060973e-13,1.324470e-12,8.403595e-14,3.918007e-13,2.226275e-13,1.080212e-12,2.902855e-13,4.116528e-11,1.984926e-12,1.954514e-12,4.510472e-11,1.953667e-11,2.314603e-12,4.716094e-12,2.656736e-11,4.503943e-12,9.318503e-12,2.175447e-13,1.403999e-11,1.806095e-11,7.200661e-12,2.176373e-11,4.702534e-11,2.007714e-13,2.007714e-13,8.894934e-10,3.150650e-11,7.414637e-11,5.112469e-11,1.496608e-08,1.601235e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,3.350000e+01,-1.109000e+02,1.601088e-09,5.873481e-11,8.861614e-11,5.470359e-11,1.278386e-10,2.569648e-08,3.822280e-11,4.522580e-13,2.353233e-12,2.177141e-11,8.589966e-12,3.680809e-13,1.204628e-11,8.145981e-12,3.397131e-12,1.818520e-11,1.292731e-11,1.228348e-11,8.229480e-12,4.376873e-12,7.206309e-12,3.867461e-13,4.161135e-12,1.585670e-12,2.293594e-12,1.470629e-13,6.582252e-13,3.895981e-13,1.864237e-12,5.007425e-13,6.931752e-11,3.412803e-12,3.397131e-12,7.612746e-11,3.452251e-11,4.026327e-12,8.145981e-12,4.669482e-11,7.206309e-12,1.642315e-11,3.867461e-13,2.401621e-11,3.111250e-11,1.228348e-11,3.867506e-11,8.207104e-11,3.680809e-13,3.680809e-13,1.601088e-09,5.470359e-11,1.278386e-10,8.861614e-11,2.569648e-08,2.756877e-08,7.793657e-13,7.793657e-13,7.793657e-13,4.549124e-14,4.549124e-14
2020-11-17,3.370000e+01,-9.509999e+01,9.487930e-10,3.524088e-11,5.112469e-11,3.254517e-11,7.414637e-11,1.524846e-08,2.150033e-11,2.683729e-13,1.176616e-12,1.306285e-11,4.772203e-12,2.342333e-13,6.692379e-12,4.859006e-12,2.001050e-12,1.067392e-11,7.387031e-12,7.200661e-12,5.064296e-12,2.626123e-12,4.503943e-12,2.296305e-13,2.427329e-12,9.438513e-13,1.356774e-12,8.753745e-14,3.918007e-13,2.288116e-13,1.097635e-12,2.975426e-13,4.148180e-11,2.015790e-12,2.001050e-12,4.549864e-11,2.026238e-11,2.388163e-12,4.859006e-12,2.750955e-11,4.503943e-12,9.318503e-12,2.296305e-13,1.405208e-11,1.806095e-11,7.200661e-12,2.176870e-11,4.703031e-11,2.342333e-13,2.342333e-13,9.487930e-10,3.254517e-11,7.414637e-11,5.112469e-11,1.524846e-08,1.635507e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,3.510000e+01,-9.850000e+01,1.423190e-09,5.286133e-11,7.839120e-11,4.881776e-11,1.124979e-10,2.315507e-08,3.344496e-11,4.075292e-13,2.059078e-12,1.959427e-11,7.635525e-12,3.346190e-13,1.070781e-11,7.288509e-12,3.071378e-12,1.620855e-11,1.108055e-11,1.101278e-11,7.596443e-12,3.939185e-12,6.305520e-12,3.504887e-13,3.675669e-12,1.434654e-12,2.067465e-12,1.295554e-13,5.955370e-13,3.463095e-13,1.672587e-12,4.499425e-13,6.251685e-11,3.064376e-12,3.071378e-12,6.865260e-11,3.090547e-11,3.631675e-12,7.288509e-12,4.182565e-11,6.305520e-12,1.464699e-11,3.504887e-13,2.130300e-11,2.728909e-11,1.101278e-11,3.385248e-11,7.215435e-11,3.346190e-13,3.346190e-13,1.423190e-09,4.881776e-11,1.124979e-10,7.839120e-11,2.315507e-08,2.481801e-08,7.793657e-13,7.793657e-13,7.793657e-13,4.549124e-14,4.549124e-14
2020-11-17,3.550000e+01,-9.830000e+01,1.245291e-09,4.698784e-11,6.816626e-11,4.223948e-11,9.715731e-11,2.004890e-08,2.866710e-11,3.528606e-13,1.764924e-12,1.669142e-11,6.681084e-12,3.011571e-13,9.369331e-12,6.288126e-12,2.652554e-12,1.423190e-11,1.015717e-11,9.742071e-12,6.330369e-12,3.501498e-12,5.404732e-12,3.021454e-13,3.190204e-12,1.245884e-12,1.776728e-12,1.120479e-13,5.171769e-13,3.030208e-13,1.446090e-12,3.918854e-13,5.508314e-11,2.658173e-12,2.652554e-12,6.039386e-11,2.656270e-11,3.134660e-12,6.288126e-12,3.598549e-11,5.404732e-12,1.287083e-11,3.021454e-13,1.857771e-11,2.438906e-11,9.742071e-12,2.901996e-11,6.315110e-11,3.011571e-13,3.011571e-13,1.245291e-09,4.223948e-11,9.715731e-11,6.816626e-11,2.004890e-08,2.150175e-08,3.896828e-13,3.896828e-13,3.896828e-13,,
2020-11-17,3.670000e+01,-1.057000e+02,5.336961e-10,1.762044e-11,2.726650e-11,1.800371e-11,4.090834e-11,8.471366e-09,1.194463e-11,1.490960e-13,5.883082e-13,7.257137e-12,2.863322e-12,1.338476e-13,4.015428e-12,2.715327e-12,1.116865e-12,5.929956e-12,4.616895e-12,4.235683e-12,2.848666e-12,1.313062e-12,2.702366e-12,1.208582e-13,1.317693e-12,5.285567e-13,7.429953e-13,4.902097e-14,2.194084e-13,1.298660e-13,6.097972e-13,1.669141e-13,2.105742e-11,1.125986e-12,1.116865e-12,2.330027e-11,1.143815e-11,1.320573e-12,2.715327e-12,1.547405e-11,2.702366e-12,5.328489e-12,1.208582e-13,8.151714e-12,1.054685e-11,4.235683e-12,1.209372e-11,2.687625e-11,1.338476e-13,1.338476e-13,5.336961e-10,1.800371e-11,4.090834e-11,2.726650e-11,8.471366e-09,9.091241e-09,3.896828e-13,3.896828e-13,3.896828e-13,,
