date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,mami,apt,c5h8fire,c2h6sfire,isoprene_isoprene,isoprene_total,other_dms,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-11-19,3.110000e+01,-9.770000e+01,2.371983e-10,5.873481e-12,1.363325e-11,7.963181e-12,1.789740e-11,3.953304e-09,4.777850e-12,6.957815e-14,2.941541e-13,2.902855e-12,9.544406e-13,6.692380e-14,1.338476e-12,1.286207e-12,5.118964e-13,2.767313e-12,1.846758e-12,1.694273e-12,1.266074e-12,8.753745e-13,9.007886e-13,6.042908e-14,6.241703e-13,2.265243e-13,3.553456e-13,2.100899e-14,9.403216e-14,5.565687e-14,2.787644e-13,7.257137e-14,7.433709e-12,5.010248e-13,5.118964e-13,8.446630e-12,4.481466e-12,6.028789e-13,1.286207e-12,6.370553e-12,9.007886e-13,2.213850e-12,6.042908e-14,3.175068e-12,4.614070e-12,1.694273e-12,4.847428e-12,1.115577e-11,6.692380e-14,6.692380e-14,2.371983e-10,7.963181e-12,1.789740e-11,1.363325e-11,3.953304e-09,4.229996e-09,,,,,,,,,
2020-11-19,3.130000e+01,-1.017000e+02,2.964978e-10,1.174696e-11,1.704156e-11,9.694307e-12,2.301094e-11,4.518062e-09,7.166776e-12,7.951789e-14,2.941541e-13,3.628569e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.429120e-12,6.049685e-13,3.162643e-12,1.846758e-12,2.117841e-12,1.582592e-12,8.753745e-13,9.007886e-13,7.251490e-14,7.628747e-13,2.642784e-13,4.199539e-13,2.451049e-14,1.253762e-13,6.802507e-14,3.310328e-13,8.708565e-14,1.362371e-11,6.115197e-13,6.049685e-13,1.484020e-11,6.300324e-12,7.087427e-13,1.429120e-12,8.438187e-12,9.007886e-13,3.552326e-12,7.251490e-14,4.525630e-12,5.009401e-12,2.117841e-12,7.246294e-12,1.437354e-11,6.692380e-14,6.692380e-14,2.964978e-10,9.694307e-12,2.301094e-11,1.704156e-11,4.518062e-09,4.864307e-09,,,,,,,,,
2020-11-19,3.150000e+01,-9.490001e+01,5.336961e-10,2.349392e-11,2.726650e-11,1.627259e-11,6.136251e-11,4.800441e-09,9.555702e-12,8.448776e-14,1.176616e-12,5.805710e-12,2.863322e-12,1.070781e-12,5.353904e-12,2.286591e-12,1.396081e-12,1.027859e-11,4.616895e-12,3.388547e-12,3.481703e-12,1.750749e-12,2.702366e-12,2.296305e-13,1.387045e-12,4.530487e-13,4.522580e-13,2.451049e-14,6.268811e-13,3.648617e-13,2.439189e-13,1.523999e-13,2.815224e-11,1.388062e-12,1.396081e-12,3.093639e-11,1.005608e-11,9.298171e-13,2.286591e-12,1.327249e-11,2.702366e-12,7.104653e-12,2.296305e-13,1.003665e-11,1.489549e-11,3.388547e-12,9.640190e-12,2.792422e-11,1.070781e-12,1.070781e-12,5.336961e-10,1.627259e-11,6.136251e-11,2.726650e-11,4.800441e-09,7.749580e+02,5.499611e+02,2.249970e+02,3.896828e-13,4.094212e-13,3.896828e-13,3.896828e-13,4.094212e-13,5.499611e+02,2.249970e+02
2020-11-19,3.170000e+01,-1.019000e+02,1.838286e-09,6.460828e-11,1.022494e-10,6.266677e-11,1.457360e-10,2.964978e-08,4.300066e-11,5.218362e-13,2.647387e-12,2.467427e-11,1.049885e-11,4.350047e-13,1.338476e-11,9.432189e-12,3.909027e-12,2.095251e-11,1.477406e-11,1.440132e-11,9.495555e-12,5.252247e-12,8.107097e-12,4.471752e-13,4.785305e-12,1.812195e-12,2.648940e-12,1.680719e-13,7.679293e-13,4.452550e-13,2.143001e-12,5.733138e-13,7.675123e-11,3.929500e-12,3.909027e-12,8.458976e-11,3.995842e-11,4.629206e-12,9.432189e-12,5.401981e-11,8.107097e-12,1.863701e-11,4.471752e-13,2.719128e-11,3.572657e-11,1.440132e-11,4.352249e-11,9.365039e-11,4.350047e-13,4.350047e-13,1.838286e-09,6.266677e-11,1.457360e-10,1.022494e-10,2.964978e-08,3.179877e-08,,,7.793657e-13,4.549124e-14,7.793657e-13,7.793657e-13,4.549124e-14,,
2020-11-19,3.170000e+01,-1.017000e+02,7.708943e-10,2.936740e-11,4.430807e-11,2.769802e-11,6.391928e-11,1.298943e-08,1.911140e-11,2.286139e-13,1.176616e-12,1.088571e-11,4.772203e-12,2.007714e-13,6.692379e-12,4.144447e-12,1.721833e-12,9.092600e-12,6.463653e-12,6.353524e-12,4.114740e-12,2.188436e-12,3.603154e-12,1.933731e-13,2.080567e-12,7.928351e-13,1.162949e-12,7.353146e-14,3.291126e-13,1.978911e-13,9.408299e-13,2.539998e-13,3.465876e-11,1.721833e-12,1.721833e-12,3.810243e-11,1.773848e-11,2.029316e-12,4.144447e-12,2.391224e-11,3.603154e-12,8.880815e-12,1.933731e-13,1.267734e-11,1.555625e-11,6.353524e-12,1.934002e-11,4.124979e-11,2.007714e-13,2.007714e-13,7.708943e-10,2.769802e-11,6.391928e-11,4.430807e-11,1.298943e-08,1.389625e-08,,,3.896828e-13,,3.896828e-13,3.896828e-13,,,
2020-11-19,3.170000e+01,-9.409999e+01,2.371983e-10,1.174696e-11,1.363325e-11,7.616956e-12,2.812448e-11,2.259031e-09,4.777850e-12,3.975894e-14,5.883082e-13,2.902855e-12,9.544406e-13,5.019285e-13,2.676952e-12,1.000384e-12,6.515045e-13,4.743965e-12,1.846758e-12,1.694273e-12,1.582592e-12,8.753745e-13,9.007886e-13,1.087723e-13,6.241703e-13,1.887703e-13,1.938249e-13,1.050449e-14,2.820965e-13,1.669706e-13,1.045367e-13,7.257137e-14,1.391786e-11,6.261752e-13,6.515045e-13,1.519554e-11,4.481466e-12,3.930996e-13,1.000384e-12,5.874949e-12,9.007886e-13,3.552326e-12,1.087723e-13,4.561887e-12,6.590723e-12,1.694273e-12,4.817609e-12,1.310261e-11,5.019285e-13,5.019285e-13,2.371983e-10,7.616956e-12,2.812448e-11,1.363325e-11,2.259031e-09,2.545786e-09,,,3.896828e-13,1.819649e-13,3.896828e-13,3.896828e-13,1.819649e-13,,
2020-11-19,3.230000e+01,-1.029000e+02,2.371983e-10,5.873481e-12,1.022494e-11,7.270730e-12,1.789740e-11,3.388547e-09,4.777850e-12,5.963842e-14,2.941541e-13,2.902855e-12,9.544406e-13,3.346190e-14,1.338476e-12,1.143296e-12,4.653604e-13,2.371983e-12,1.846758e-12,1.694273e-12,1.266074e-12,4.376872e-13,9.007886e-13,4.834326e-14,5.548180e-13,2.265243e-13,3.230414e-13,2.100899e-14,9.403216e-14,4.947278e-14,2.439189e-13,6.531424e-14,7.433709e-12,4.527381e-13,4.653604e-13,8.351807e-12,4.412113e-12,5.705747e-13,1.143296e-12,6.125984e-12,9.007886e-13,1.776163e-12,4.834326e-14,2.725295e-12,4.218740e-12,1.694273e-12,4.837489e-12,1.075050e-11,3.346190e-14,3.346190e-14,2.371983e-10,7.270730e-12,1.789740e-11,1.022494e-11,3.388547e-09,3.661138e-09,,,,,,,,,
2020-11-19,3.230000e+01,-1.017000e+02,5.929957e-10,2.349392e-11,3.067482e-11,1.973484e-11,4.602188e-11,9.318502e-09,1.433355e-11,1.640056e-13,8.824622e-13,7.982850e-12,2.863322e-12,1.338476e-13,4.015428e-12,3.001151e-12,1.256473e-12,6.720617e-12,4.616895e-12,4.659251e-12,3.165185e-12,1.750749e-12,2.702366e-12,1.450298e-13,1.525749e-12,5.663108e-13,8.399077e-13,5.252247e-14,2.350804e-13,1.422342e-13,6.794883e-13,1.814284e-13,2.754157e-11,1.238231e-12,1.256473e-12,3.003628e-11,1.237192e-11,1.458741e-12,3.001151e-12,1.683181e-11,2.702366e-12,5.766177e-12,1.450298e-13,8.613573e-12,1.133751e-11,4.659251e-12,1.449756e-11,3.049432e-11,1.338476e-13,1.338476e-13,5.929957e-10,1.973484e-11,4.602188e-11,3.067482e-11,9.318502e-09,1.000793e-08,,,3.896828e-13,,3.896828e-13,3.896828e-13,,,
2020-11-19,3.230000e+01,-9.809999e+01,2.371983e-10,1.174696e-11,1.363325e-11,8.309406e-12,2.045417e-11,3.953304e-09,4.777850e-12,6.957815e-14,2.941541e-13,3.628569e-12,9.544406e-13,6.692380e-14,1.338476e-12,1.286207e-12,5.118964e-13,2.767313e-12,1.846758e-12,2.117841e-12,1.266074e-12,8.753745e-13,9.007886e-13,6.042908e-14,6.241703e-13,2.265243e-13,3.553456e-13,2.100899e-14,1.097042e-13,6.184097e-14,2.787644e-13,7.982850e-14,1.330719e-11,5.301381e-13,5.118964e-13,1.434922e-11,5.207180e-12,6.028789e-13,1.286207e-12,7.096266e-12,9.007886e-13,2.213850e-12,6.042908e-14,3.175068e-12,4.614070e-12,2.117841e-12,4.847428e-12,1.157934e-11,6.692380e-14,6.692380e-14,2.371983e-10,8.309406e-12,2.045417e-11,1.363325e-11,3.953304e-09,4.232899e-09,,,,,,,,,
2020-11-19,3.270000e+01,-9.630000e+01,9.487930e-10,3.524088e-11,5.112469e-11,3.289140e-11,7.670314e-11,1.553084e-08,2.150033e-11,2.733427e-13,1.470770e-12,1.306285e-11,5.726644e-12,2.342333e-13,6.692379e-12,4.859006e-12,2.047586e-12,1.106925e-11,7.387031e-12,7.624229e-12,5.064296e-12,2.626123e-12,4.503943e-12,2.296305e-13,2.496681e-12,9.438513e-13,1.389078e-12,8.753745e-14,3.918007e-13,2.349957e-13,1.115058e-12,2.975426e-13,4.177595e-11,2.039397e-12,2.047586e-12,4.586293e-11,2.128617e-11,2.420467e-12,4.859006e-12,2.856564e-11,4.503943e-12,9.318503e-12,2.296305e-13,1.405208e-11,1.845628e-11,7.624229e-12,2.177367e-11,4.785418e-11,2.342333e-13,2.342333e-13,9.487930e-10,3.289140e-11,7.670314e-11,5.112469e-11,1.553084e-08,1.664035e-08,,,3.896828e-13,,3.896828e-13,3.896828e-13,,,
2020-11-19,3.270000e+01,-1.161000e+02,2.964978e-10,1.174696e-11,1.363325e-11,9.348082e-12,2.301094e-11,4.518062e-09,7.166776e-12,7.951789e-14,2.941541e-13,3.628569e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.429120e-12,6.049685e-13,3.162643e-12,1.846758e-12,2.117841e-12,1.582592e-12,8.753745e-13,9.007886e-13,7.251490e-14,6.935225e-13,2.642784e-13,3.876497e-13,2.451049e-14,1.097042e-13,6.802507e-14,3.136100e-13,8.708565e-14,1.362371e-11,5.784249e-13,6.049685e-13,1.480710e-11,6.230972e-12,6.764386e-13,1.429120e-12,8.336530e-12,9.007886e-13,3.552326e-12,7.251490e-14,4.525630e-12,5.009401e-12,2.117841e-12,7.246294e-12,1.437354e-11,6.692380e-14,6.692380e-14,2.964978e-10,9.348082e-12,2.301094e-11,1.363325e-11,4.518062e-09,4.860552e-09,,,,,,,,,
2020-11-19,3.310000e+01,-9.970000e+01,1.185991e-10,5.873481e-12,6.816626e-12,4.847153e-12,1.278386e-11,2.259031e-09,2.388925e-12,3.975894e-14,2.941541e-13,2.177141e-12,9.544406e-13,3.346190e-14,1.338476e-12,7.145598e-13,3.257523e-13,1.581322e-12,9.233789e-13,1.270705e-12,6.330370e-13,4.376872e-13,9.007886e-13,3.625745e-14,3.467612e-13,1.510162e-13,2.261290e-13,1.400599e-14,6.268811e-14,3.710458e-14,1.742278e-13,4.354282e-14,6.800672e-12,3.175633e-13,3.257523e-13,7.443987e-12,3.478343e-12,3.911512e-13,7.145598e-13,4.584054e-12,9.007886e-13,1.776163e-12,3.625745e-14,2.713209e-12,2.504700e-12,1.270705e-12,2.428684e-12,6.204089e-12,3.346190e-14,3.346190e-14,1.185991e-10,4.847153e-12,1.278386e-11,6.816626e-12,2.259031e-09,2.402078e-09,,,,,,,,,
2020-11-19,3.310000e+01,-1.155000e+02,1.363890e-09,4.698784e-11,7.498289e-11,4.674041e-11,1.073844e-10,2.202555e-08,3.344496e-11,3.876497e-13,1.764924e-12,1.814284e-11,7.635525e-12,3.011571e-13,1.070781e-11,7.002685e-12,2.931770e-12,1.541789e-11,1.108055e-11,1.058921e-11,6.963406e-12,3.939185e-12,6.305520e-12,3.263170e-13,3.536965e-12,1.359146e-12,1.970553e-12,1.260539e-13,5.641930e-13,3.339413e-13,1.585473e-12,4.281711e-13,5.571617e-11,2.911778e-12,2.931770e-12,6.155972e-11,2.931533e-11,3.455752e-12,7.002685e-12,3.977377e-11,6.305520e-12,1.464699e-11,3.263170e-13,2.127883e-11,2.649843e-11,1.058921e-11,3.383260e-11,7.092024e-11,3.011571e-13,3.011571e-13,1.363890e-09,4.674041e-11,1.073844e-10,7.498289e-11,2.202555e-08,2.361860e-08,,,3.896828e-13,4.549124e-14,3.896828e-13,3.896828e-13,4.549124e-14,,
2020-11-19,3.390000e+01,-1.075000e+02,1.778987e-10,5.873481e-12,1.022494e-11,7.270731e-12,1.789740e-11,3.388547e-09,4.777851e-12,5.963842e-14,2.941541e-13,2.902855e-12,9.544407e-13,3.346190e-14,1.338476e-12,1.000384e-12,4.653605e-13,2.371983e-12,1.846758e-12,1.694273e-12,9.495555e-13,4.376872e-13,9.007886e-13,4.834327e-14,5.548180e-13,1.887703e-13,2.907373e-13,1.750749e-14,9.403216e-14,4.947278e-14,2.439189e-13,6.531424e-14,7.117190e-12,4.527381e-13,4.653605e-13,8.035289e-12,4.412113e-12,4.970151e-13,1.000384e-12,5.909512e-12,9.007886e-13,1.776163e-12,4.834327e-14,2.725295e-12,4.218741e-12,1.694273e-12,4.837490e-12,1.075050e-11,3.346190e-14,3.346190e-14,1.778987e-10,7.270731e-12,1.789740e-11,1.022494e-11,3.388547e-09,1.175016e+03,6.000092e+02,5.750067e+02,,,,,,6.000092e+02,5.750067e+02
2020-11-19,3.430000e+01,-1.189000e+02,3.557974e-10,1.174696e-11,2.044988e-11,1.315656e-11,3.068126e-11,6.212335e-09,9.555701e-12,1.093371e-13,5.883082e-13,5.079996e-12,1.908881e-12,1.003857e-13,2.676952e-12,2.000767e-12,7.911127e-13,4.348635e-12,2.770137e-12,2.964978e-12,1.899111e-12,8.753745e-13,1.801577e-12,9.668653e-14,9.709316e-13,3.775406e-13,5.491704e-13,3.501498e-14,1.567203e-13,9.276146e-14,4.355694e-13,1.161142e-13,1.423438e-11,8.011653e-13,7.911127e-13,1.582666e-11,7.959809e-12,9.617259e-13,2.000767e-12,1.092230e-11,1.801577e-12,3.552326e-12,9.668653e-14,5.450590e-12,7.118772e-12,2.964978e-12,9.665038e-12,1.974879e-11,1.003857e-13,1.003857e-13,3.557974e-10,1.315656e-11,3.068126e-11,2.044988e-11,6.212335e-09,5.908665e+02,4.545008e+02,1.363657e+02,,,,,,4.545008e+02,1.363657e+02
