date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,c2h6sfire,isoprene_isoprene,isoprene_total,other_dms,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top
2020-11-21,3.190000e+01,-9.709999e+01,2.371983e-10,1.174696e-11,1.363325e-11,8.309406e-12,2.045417e-11,3.953304e-09,4.777850e-12,6.957815e-14,2.941541e-13,3.628569e-12,9.544406e-13,6.692380e-14,1.338476e-12,1.286207e-12,5.118964e-13,2.767313e-12,1.846758e-12,1.694273e-12,1.266074e-12,8.753745e-13,9.007886e-13,6.042908e-14,6.241703e-13,2.265243e-13,3.553456e-13,2.100899e-14,9.403216e-14,6.184097e-14,2.787644e-13,7.982850e-14,1.330719e-11,5.144661e-13,5.118964e-13,1.433355e-11,5.207180e-12,6.028789e-13,1.286207e-12,7.096266e-12,9.007886e-13,2.213850e-12,6.042908e-14,3.175068e-12,4.614070e-12,1.694273e-12,4.847428e-12,1.115577e-11,6.692380e-14,6.692380e-14,2.371983e-10,8.309406e-12,2.045417e-11,1.363325e-11,3.953304e-09,4.232899e-09,,,,,,,,,
2020-11-21,3.190000e+01,-9.430000e+01,2.371983e-10,1.174696e-11,1.363325e-11,7.963181e-12,3.068126e-11,2.259031e-09,4.777850e-12,3.975894e-14,5.883082e-13,2.902855e-12,9.544406e-13,5.019285e-13,2.676952e-12,1.143296e-12,6.515045e-13,5.139296e-12,1.846758e-12,1.694273e-12,1.582592e-12,8.753745e-13,9.007886e-13,1.087723e-13,6.241703e-13,2.265243e-13,2.261290e-13,1.050449e-14,2.977685e-13,1.731547e-13,1.219594e-13,7.257137e-14,1.391786e-11,6.654540e-13,6.515045e-13,1.523482e-11,4.481466e-12,4.631578e-13,1.143296e-12,6.087919e-12,9.007886e-13,3.552326e-12,1.087723e-13,4.561887e-12,6.986053e-12,1.694273e-12,4.817609e-12,1.349794e-11,5.019285e-13,5.019285e-13,2.371983e-10,7.963181e-12,3.068126e-11,1.363325e-11,2.259031e-09,2.548689e-09,3.896828e-13,1.819649e-13,3.896828e-13,3.896828e-13,1.819649e-13,,,,
2020-11-21,3.270000e+01,-9.430000e+01,1.778987e-10,5.873481e-12,1.022494e-11,5.885830e-12,2.301094e-11,1.694273e-09,2.388925e-12,2.981921e-14,5.883082e-13,2.177141e-12,9.544406e-13,4.015428e-13,1.338476e-12,8.574717e-13,5.118964e-13,3.557974e-12,1.846758e-12,1.270705e-12,1.266074e-12,8.753745e-13,9.007886e-13,8.460071e-14,4.854658e-13,1.510162e-13,1.615207e-13,1.050449e-14,2.194084e-13,1.298660e-13,8.711388e-14,5.805710e-14,7.727863e-12,4.944454e-13,5.118964e-13,8.734204e-12,3.617048e-12,3.230414e-13,8.574717e-13,4.797561e-12,9.007886e-13,2.213850e-12,8.460071e-14,3.199240e-12,5.404731e-12,1.270705e-12,2.418744e-12,9.094180e-12,4.015428e-13,4.015428e-13,1.778987e-10,5.885830e-12,2.301094e-11,1.022494e-11,1.694273e-09,1.911430e-09,,1.364737e-13,,,1.364737e-13,,,,
2020-11-21,3.290000e+01,-9.450000e+01,3.557974e-10,1.762044e-11,1.704156e-11,1.073298e-11,4.090834e-11,3.106168e-09,7.166776e-12,5.466855e-14,8.824622e-13,3.628569e-12,1.908881e-12,7.026998e-13,2.676952e-12,1.572031e-12,9.307208e-13,6.720617e-12,2.770137e-12,2.117841e-12,2.215629e-12,1.313062e-12,1.801577e-12,1.571156e-13,9.015793e-13,3.020324e-13,2.907373e-13,1.750749e-14,4.074727e-13,2.411798e-13,1.568050e-13,1.015999e-13,2.071853e-11,9.070574e-13,9.307208e-13,2.255631e-11,6.439029e-12,6.102772e-13,1.572031e-12,8.621338e-12,1.801577e-12,3.990014e-12,1.571156e-13,5.948706e-12,9.490754e-12,2.117841e-12,7.221444e-12,1.883004e-11,7.026998e-13,7.026998e-13,3.557974e-10,1.073298e-11,4.090834e-11,1.704156e-11,3.106168e-09,3.530921e-09,3.896828e-13,2.729474e-13,3.896828e-13,3.896828e-13,2.729474e-13,,,,
2020-11-21,3.350000e+01,-1.109000e+02,1.126692e-09,4.111437e-11,6.475795e-11,3.981590e-11,9.204377e-11,1.863700e-08,2.866710e-11,3.280113e-13,1.764924e-12,1.596570e-11,6.681084e-12,2.676952e-13,9.369331e-12,6.002302e-12,2.466410e-12,1.304590e-11,9.233789e-12,8.894934e-12,6.013851e-12,3.501498e-12,5.404732e-12,2.779738e-13,2.982147e-12,1.170376e-12,1.679815e-12,1.050449e-13,4.858328e-13,2.844685e-13,1.358977e-12,3.628569e-13,4.889314e-11,2.492135e-12,2.466410e-12,5.385169e-11,2.562893e-11,2.955236e-12,6.002302e-12,3.458647e-11,5.404732e-12,1.287083e-11,2.779738e-13,1.855353e-11,2.227969e-11,8.894934e-12,2.899512e-11,6.016974e-11,2.676952e-13,2.676952e-13,1.126692e-09,3.981590e-11,9.204377e-11,6.475795e-11,1.863700e-08,1.996031e-08,3.896828e-13,,3.896828e-13,3.896828e-13,,,,,
2020-11-21,3.630000e+01,-1.183000e+02,1.541789e-09,7.048177e-11,8.179951e-11,4.916399e-11,1.840875e-10,1.440132e-08,2.627818e-11,2.534633e-13,3.824003e-12,1.669142e-11,8.589966e-12,3.212342e-12,1.472323e-11,6.859774e-12,4.141707e-12,3.083577e-11,1.385068e-11,9.742071e-12,1.044511e-11,5.689934e-12,8.107097e-12,7.009773e-13,4.091783e-12,1.321392e-12,1.356774e-12,7.703296e-14,1.849299e-12,1.082217e-12,7.317566e-13,4.571997e-13,8.475088e-11,4.120473e-12,4.141707e-12,9.301306e-11,2.937316e-11,2.755199e-12,6.859774e-12,3.898814e-11,8.107097e-12,2.041317e-11,7.009773e-13,2.922124e-11,4.468646e-11,9.742071e-12,2.653164e-11,8.096017e-11,3.212342e-12,3.212342e-12,1.541789e-09,4.916399e-11,1.840875e-10,8.179951e-11,1.440132e-08,7.045562e+02,1.558731e-12,1.182772e-12,1.558731e-12,1.558731e-12,1.182772e-12,5.000076e+02,2.045486e+02,5.000076e+02,2.045486e+02
2020-11-21,3.670000e+01,-1.057000e+02,1.601088e-09,5.873481e-11,8.861614e-11,5.504982e-11,1.278386e-10,2.597886e-08,3.822280e-11,4.572278e-13,2.353233e-12,2.177141e-11,8.589966e-12,3.680809e-13,1.204628e-11,8.288893e-12,3.443667e-12,1.818520e-11,1.292731e-11,1.270705e-11,8.229480e-12,4.376873e-12,7.206309e-12,3.867461e-13,4.161135e-12,1.585670e-12,2.325898e-12,1.470629e-13,6.738972e-13,3.895981e-13,1.881660e-12,5.079996e-13,6.931752e-11,3.453154e-12,3.443667e-12,7.621435e-11,3.452251e-11,4.058631e-12,8.288893e-12,4.687004e-11,7.206309e-12,1.642315e-11,3.867461e-13,2.401621e-11,3.111250e-11,1.270705e-11,3.868003e-11,8.249958e-11,3.680809e-13,3.680809e-13,1.601088e-09,5.504982e-11,1.278386e-10,8.861614e-11,2.597886e-08,2.785150e-08,7.793657e-13,4.549124e-14,7.793657e-13,7.793657e-13,4.549124e-14,,,,
2020-11-21,3.730000e+01,-1.207000e+02,1.778987e-10,1.762044e-11,2.044988e-11,4.500928e-12,1.534063e-11,1.976652e-09,7.166776e-12,3.478908e-14,2.941541e-13,2.902855e-12,9.544406e-13,,1.338476e-12,5.716478e-13,7.911127e-13,3.953304e-12,5.540274e-12,2.117841e-12,2.532148e-12,4.376872e-13,9.007886e-13,1.329440e-13,4.161135e-13,1.132622e-13,6.460829e-14,7.002996e-15,6.268811e-14,1.174978e-13,4.878377e-13,1.378856e-13,2.044674e-11,8.059093e-13,7.911127e-13,2.204376e-11,4.273409e-12,1.848734e-13,5.716478e-13,5.029930e-12,9.007886e-13,1.776163e-12,1.329440e-13,2.809896e-12,9.493578e-12,2.117841e-12,7.201565e-12,1.881298e-11,,,1.778987e-10,4.500928e-12,1.534063e-11,2.044988e-11,1.976652e-09,2.194842e-09,7.793657e-13,,7.793657e-13,7.793657e-13,,,,,
2020-11-21,3.750000e+01,-1.211000e+02,9.487930e-10,3.524088e-11,5.112469e-11,3.185273e-11,7.414637e-11,1.496608e-08,2.150033e-11,2.634030e-13,1.176616e-12,1.233713e-11,4.772203e-12,2.007714e-13,6.692379e-12,4.716094e-12,2.001050e-12,1.067392e-11,7.387031e-12,7.200661e-12,4.747777e-12,2.626123e-12,4.503943e-12,2.296305e-13,2.427329e-12,9.060973e-13,1.356774e-12,8.403595e-14,3.918007e-13,2.288116e-13,1.080212e-12,2.902855e-13,4.116528e-11,1.991110e-12,2.001050e-12,4.515744e-11,1.953667e-11,2.346907e-12,4.716094e-12,2.659967e-11,4.503943e-12,9.318503e-12,2.296305e-13,1.405208e-11,1.806095e-11,7.200661e-12,2.176373e-11,4.702534e-11,2.007714e-13,2.007714e-13,9.487930e-10,3.185273e-11,7.414637e-11,5.112469e-11,1.496608e-08,1.607200e-08,3.896828e-13,,3.896828e-13,3.896828e-13,,,,,
2020-11-21,3.770000e+01,-1.209000e+02,2.371983e-10,5.873481e-12,1.363325e-11,7.963181e-12,1.789740e-11,3.670925e-09,4.777850e-12,6.460829e-14,2.941541e-13,2.902855e-12,9.544406e-13,6.692380e-14,1.338476e-12,1.143296e-12,5.118964e-13,2.767313e-12,1.846758e-12,1.694273e-12,1.266074e-12,8.753745e-13,9.007886e-13,6.042908e-14,6.241703e-13,2.265243e-13,3.230414e-13,2.100899e-14,9.403216e-14,5.565687e-14,2.613416e-13,7.257137e-14,7.433709e-12,4.836021e-13,5.118964e-13,8.429207e-12,4.481466e-12,5.705747e-13,1.143296e-12,6.195336e-12,9.007886e-13,2.213850e-12,6.042908e-14,3.175068e-12,4.614070e-12,1.694273e-12,4.842459e-12,1.115080e-11,6.692380e-14,6.692380e-14,2.371983e-10,7.963181e-12,1.789740e-11,1.363325e-11,3.670925e-09,3.947617e-09,,,,,,,,,
