date,lat,lon,cofire,ch4fire,nmhcfire,noxfire,pm2p5fire,crfire,ch3ohfire,c2h5ohfire,c3h8fire,c2h4fire,c3h6fire,terpenesfire,toluenefire,hialkenesfire,hialkanesfire,ch2ofire,c2h4ofire,c3h6ofire,c2h6fire,c7h8fire,c6h6fire,c8h10fire,c4h8fire,c5h10fire,c6h12fire,c8h16fire,c4h10fire,c5h12fire,c6h14fire,c7h16fire,alkanes_light_alkanes_c2_c3,alkanes_medium_alkanes_c4_c6,alkanes_higher_alkanes_c>4,alkanes_total,alkenes_light_alkenes_c2_c4,alkenes_medium_alkenes_c5_c8,alkenes_higher_alkenes_c>4,alkenes_total,aromatics_benzene,aromatics_toluene,aromatics_xylene,aromatics_total,ovocs_aldehydes,ovocs_ketones,ovocs_alcohols,ovocs_total,terpenes_monoterpenes,terpenes_total,other_carbon_monoxide,other_nox,other_particulate_matter,other_non_methane_hydrocarbons,other_combustion_rate,other_total,c5h8fire,isoprene_isoprene,isoprene_total,mami,apt,other_mean_altitude_of_maximum_injection,other_altitude_of_plume_top,c2h6sfire,other_dms
2020-11-28,3.310000e+01,-1.159000e+02,4.743965e-10,1.762044e-11,2.726650e-11,1.592636e-11,3.835157e-11,7.624229e-09,1.194463e-11,1.341864e-13,5.883082e-13,6.531423e-12,2.863322e-12,1.003857e-13,4.015428e-12,2.429503e-12,1.023793e-12,5.534626e-12,3.693516e-12,3.812115e-12,2.532148e-12,1.313062e-12,1.801577e-12,1.087723e-13,1.248341e-12,4.530487e-13,6.783870e-13,4.201798e-14,1.880643e-13,1.174978e-13,5.401060e-13,1.451427e-13,2.074090e-11,9.908109e-13,1.023793e-12,2.275550e-11,1.064309e-11,1.173454e-12,2.429503e-12,1.424604e-11,1.801577e-12,5.328489e-12,1.087723e-13,7.238839e-12,9.228141e-12,3.812115e-12,1.207881e-11,2.511907e-11,1.003857e-13,1.003857e-13,4.743965e-10,1.592636e-11,3.835157e-11,2.726650e-11,7.624229e-09,8.180170e-09,,,,,,,,,
2020-11-28,3.330000e+01,-1.105000e+02,9.487930e-10,3.524088e-11,5.112469e-11,3.185273e-11,7.414637e-11,1.496608e-08,2.150033e-11,2.634030e-13,1.176616e-12,1.233713e-11,4.772203e-12,2.007714e-13,6.692379e-12,4.716094e-12,2.001050e-12,1.067392e-11,7.387031e-12,7.200661e-12,4.747777e-12,2.626123e-12,4.503943e-12,2.296305e-13,2.427329e-12,9.060973e-13,1.324470e-12,8.403595e-14,3.918007e-13,2.288116e-13,1.080212e-12,2.902855e-13,4.116528e-11,1.991110e-12,2.001050e-12,4.515744e-11,1.953667e-11,2.314603e-12,4.716094e-12,2.656736e-11,4.503943e-12,9.318503e-12,2.296305e-13,1.405208e-11,1.806095e-11,7.200661e-12,2.176373e-11,4.702534e-11,2.007714e-13,2.007714e-13,9.487930e-10,3.185273e-11,7.414637e-11,5.112469e-11,1.496608e-08,1.607200e-08,3.896828e-13,3.896828e-13,3.896828e-13,,,,,,
2020-11-28,3.350000e+01,-1.109000e+02,3.557974e-10,1.174696e-11,2.044988e-11,1.281033e-11,3.068126e-11,6.212335e-09,9.555700e-12,1.093371e-13,5.883082e-13,5.079995e-12,1.908881e-12,1.003857e-13,2.676952e-12,2.000767e-12,7.911126e-13,4.348634e-12,2.770137e-12,2.964978e-12,1.899111e-12,8.753744e-13,1.801577e-12,9.668652e-14,9.709316e-13,3.775406e-13,5.491704e-13,3.501498e-14,1.567203e-13,9.276146e-14,4.355694e-13,1.161142e-13,1.423438e-11,8.011653e-13,7.911126e-13,1.582666e-11,7.959808e-12,9.617259e-13,2.000767e-12,1.092230e-11,1.801577e-12,3.552326e-12,9.668652e-14,5.450590e-12,7.118771e-12,2.964978e-12,9.665037e-12,1.974879e-11,1.003857e-13,1.003857e-13,3.557974e-10,1.281033e-11,3.068126e-11,2.044988e-11,6.212335e-09,1.068235e+03,,,,7.727649e+02,2.954698e+02,7.727649e+02,2.954698e+02,,
2020-11-28,3.350000e+01,-1.083000e+02,4.743965e-10,1.762044e-11,2.726650e-11,1.627259e-11,3.835157e-11,7.624229e-09,1.194463e-11,1.341864e-13,5.883082e-13,6.531423e-12,2.863322e-12,1.003857e-13,4.015428e-12,2.429503e-12,1.023793e-12,5.534626e-12,3.693516e-12,3.812115e-12,2.532148e-12,1.313062e-12,1.801577e-12,1.087723e-13,1.248341e-12,4.530487e-13,6.783870e-13,4.201798e-14,2.037364e-13,1.174978e-13,5.575288e-13,1.451427e-13,2.074090e-11,1.023906e-12,1.023793e-12,2.278860e-11,1.064309e-11,1.173454e-12,2.429503e-12,1.424604e-11,1.801577e-12,5.328489e-12,1.087723e-13,7.238839e-12,9.228141e-12,3.812115e-12,1.207881e-11,2.511907e-11,1.003857e-13,1.003857e-13,4.743965e-10,1.627259e-11,3.835157e-11,2.726650e-11,7.624229e-09,8.180517e-09,3.896828e-13,3.896828e-13,3.896828e-13,,,,,,
2020-11-28,3.350000e+01,-1.081000e+02,5.336961e-10,1.762044e-11,2.726650e-11,1.765749e-11,4.090834e-11,8.188987e-09,1.194463e-11,1.441262e-13,5.883082e-13,7.257137e-12,2.863322e-12,1.338476e-13,4.015428e-12,2.572415e-12,1.116865e-12,5.929956e-12,3.693516e-12,3.812115e-12,2.532148e-12,1.313062e-12,2.702366e-12,1.208582e-13,1.317693e-12,4.908027e-13,7.429953e-13,4.551947e-14,2.194084e-13,1.236819e-13,5.923744e-13,1.596570e-13,2.074090e-11,1.095122e-12,1.116865e-12,2.295289e-11,1.143815e-11,1.279317e-12,2.572415e-12,1.528988e-11,2.702366e-12,5.328489e-12,1.208582e-13,8.151714e-12,9.623472e-12,3.812115e-12,1.208875e-11,2.552434e-11,1.338476e-13,1.338476e-13,5.336961e-10,1.765749e-11,4.090834e-11,2.726650e-11,8.188987e-09,8.808516e-09,3.896828e-13,3.896828e-13,3.896828e-13,,,,,,
2020-11-28,3.470000e+01,-9.570000e+01,6.522952e-10,2.349392e-11,3.408313e-11,2.181219e-11,5.113543e-11,1.016564e-08,1.433355e-11,1.789153e-13,8.824622e-13,8.708565e-12,3.817763e-12,1.338476e-13,5.353904e-12,3.286975e-12,1.349545e-12,7.115948e-12,4.616895e-12,5.082820e-12,3.165185e-12,1.750749e-12,2.702366e-12,1.571156e-13,1.664454e-12,6.418190e-13,9.045160e-13,5.952546e-14,2.664245e-13,1.546024e-13,7.317566e-13,1.959427e-13,2.754157e-11,1.348726e-12,1.349545e-12,3.023984e-11,1.419078e-11,1.605860e-12,3.286975e-12,1.908362e-11,2.702366e-12,7.104653e-12,1.571156e-13,9.964135e-12,1.173284e-11,5.082820e-12,1.451247e-11,3.132813e-11,1.338476e-13,1.338476e-13,6.522952e-10,2.181219e-11,5.113543e-11,3.408313e-11,1.016564e-08,1.003477e+03,3.896828e-13,3.896828e-13,3.896828e-13,7.284879e+02,2.749891e+02,7.284879e+02,2.749891e+02,,
2020-11-28,3.630000e+01,-1.185000e+02,3.557974e-10,1.762044e-11,2.044988e-11,1.107921e-11,4.346511e-11,3.388547e-09,7.166776e-12,5.963842e-14,8.824622e-13,3.628569e-12,1.908881e-12,7.361617e-13,2.676952e-12,1.572031e-12,9.307208e-13,7.115948e-12,3.693516e-12,2.117841e-12,2.215629e-12,1.313062e-12,1.801577e-12,1.571156e-13,9.015793e-13,3.020324e-13,3.230414e-13,1.750749e-14,4.231447e-13,2.473639e-13,1.742278e-13,1.015999e-13,2.071853e-11,9.463363e-13,9.307208e-13,2.259559e-11,6.439029e-12,6.425814e-13,1.572031e-12,8.653642e-12,1.801577e-12,3.990014e-12,1.571156e-13,5.948706e-12,1.080946e-11,2.117841e-12,7.226414e-12,2.015372e-11,7.361617e-13,7.361617e-13,3.557974e-10,1.107921e-11,4.346511e-11,2.044988e-11,3.388547e-09,3.819611e-09,3.896828e-13,3.896828e-13,3.896828e-13,,,,,2.729474e-13,2.729474e-13
2020-11-28,3.630000e+01,-1.183000e+02,1.245291e-09,5.873481e-11,6.816626e-11,4.016213e-11,1.508495e-10,1.185991e-08,2.150033e-11,2.087345e-13,3.235695e-12,1.378856e-11,6.681085e-12,2.610028e-12,1.204628e-11,5.573566e-12,3.350595e-12,2.530114e-11,1.108055e-11,8.047797e-12,8.545999e-12,4.814560e-12,6.305520e-12,5.680334e-13,3.328908e-12,1.094868e-12,1.098341e-12,6.302696e-14,1.504515e-12,8.843259e-13,5.923744e-13,3.773711e-13,7.051650e-11,3.358586e-12,3.350595e-12,7.722568e-11,2.379855e-11,2.256235e-12,5.573566e-12,3.162835e-11,6.305520e-12,1.686084e-11,5.680334e-13,2.373440e-11,3.638169e-11,8.047797e-12,2.170906e-11,6.613855e-11,2.610028e-12,2.610028e-12,1.245291e-09,4.016213e-11,1.508495e-10,6.816626e-11,1.185991e-08,9.890664e+02,1.169048e-12,1.169048e-12,1.169048e-12,7.509102e+02,2.381562e+02,7.509102e+02,2.381562e+02,9.553159e-13,9.553159e-13
2020-11-28,3.710000e+01,-9.690001e+01,6.522952e-10,2.349392e-11,3.749144e-11,2.250464e-11,5.113543e-11,1.073040e-08,1.672248e-11,1.888550e-13,8.824622e-13,8.708564e-12,3.817763e-12,1.673095e-13,5.353904e-12,3.429887e-12,1.396081e-12,7.511278e-12,5.540274e-12,5.082820e-12,3.481703e-12,1.750749e-12,2.702366e-12,1.571156e-13,1.733806e-12,6.418190e-13,9.368202e-13,5.952546e-14,2.664245e-13,1.607865e-13,7.666022e-13,2.031998e-13,2.785809e-11,1.397013e-12,1.396081e-12,3.065118e-11,1.426013e-11,1.638165e-12,3.429887e-12,1.932818e-11,2.702366e-12,7.104652e-12,1.571156e-13,9.964134e-12,1.305155e-11,5.082820e-12,1.691133e-11,3.504570e-11,1.673095e-13,1.673095e-13,6.522952e-10,2.250464e-11,5.113543e-11,3.749144e-11,1.073040e-08,1.149382e-08,3.896828e-13,3.896828e-13,3.896828e-13,,,,,,
2020-11-28,3.830000e+01,-1.219000e+02,2.964978e-10,2.349392e-11,3.067482e-11,6.924505e-12,2.556771e-11,3.106168e-09,1.194463e-11,5.466855e-14,5.883082e-13,4.354282e-12,1.908881e-12,,1.338476e-12,8.574717e-13,1.256473e-12,6.325287e-12,8.310411e-12,3.388546e-12,3.798222e-12,4.376872e-13,9.007886e-13,2.054589e-13,6.241703e-13,1.510162e-13,9.691243e-14,1.050449e-14,9.403216e-14,1.793388e-13,7.491794e-13,2.177141e-13,2.788045e-11,1.240264e-12,1.256473e-12,3.037719e-11,6.887334e-12,2.584331e-13,8.574717e-13,8.003239e-12,9.007886e-13,1.776163e-12,2.054589e-13,2.882411e-12,1.463570e-11,3.388546e-12,1.199929e-11,3.002354e-11,,,2.964978e-10,6.924505e-12,2.556771e-11,3.067482e-11,3.106168e-09,3.465833e-09,1.169048e-12,1.169048e-12,1.169048e-12,,,,,,
2020-11-28,3.870000e+01,-9.550000e+01,3.557974e-10,1.174696e-11,1.704156e-11,1.142543e-11,2.556771e-11,5.365199e-09,7.166776e-12,9.442750e-14,5.883082e-13,4.354282e-12,1.908881e-12,6.692380e-14,2.676952e-12,1.714943e-12,6.980406e-13,3.953304e-12,2.770137e-12,2.541410e-12,1.899111e-12,8.753745e-13,1.801577e-12,8.460071e-14,9.015793e-13,3.397865e-13,4.845622e-13,3.151348e-14,1.410483e-13,8.039327e-14,4.007239e-13,1.088571e-13,1.423438e-11,7.310224e-13,6.980406e-13,1.566344e-11,7.164743e-12,8.558621e-13,1.714943e-12,9.735548e-12,1.801577e-12,3.552326e-12,8.460071e-14,5.438504e-12,6.723441e-12,2.541410e-12,7.261203e-12,1.652605e-11,6.692380e-14,6.692380e-14,3.557974e-10,1.142543e-11,2.556771e-11,1.704156e-11,5.365199e-09,5.775031e-09,,,,,,,,,
